@subscriber_role:=rdv_id
12
@jusplogin :=idns_id
90
@jusp:=idns_id
87
rdv_value	core_start_year	core_end_year	id_value	id_value	tipp_id
Yes	2012	2013	5585	sus	12138
Yes	2012	2013	5597	sus	12153
Yes	2012	2013	5598	sus	12154
Yes	2012	2013	5640	sus	12201
Yes	2012	2013	5669	sus	12233
Yes	2012	2013	5689	sus	12258
Yes	2012	2013	5707	sus	12282
Yes	2012	2013	5735	sus	12318
Yes	2012	2013	5754	sus	12339
Yes	2012	2013	5839	sus	12450
Yes	2012	2013	5921	sus	12552
Yes	2012	2013	5928	sus	12563
Yes	2012	2013	5942	sus	12582
Yes	2012	2013	5955	sus	12596
Yes	2012	2013	6003	sus	12655
Yes	2012	2013	6016	sus	12672
Yes	2012	2012	6240	uea	8936
Yes	2012	2012	4932	uea	8945
Yes	2004	2012	6266	uea	8895
Yes	2008	2012	6267	uea	8896
Yes	2005	2012	6268	uea	8897
Yes	2008	2012	6269	uea	8898
Yes	2012	2012	6307	uea	8899
Yes	2011	2012	6386	uea	8900
Yes	2004	2012	6278	uea	8902
Yes	2005	2012	6279	uea	8904
Yes	2005	2012	6281	uea	8906
Yes	2008	2012	6287	uea	8913
Yes	2004	2012	6288	uea	8916
Yes	2008	2012	6291	uea	8921
Yes	2008	2012	6294	uea	8912
Yes	2012	2012	6295	uea	8977
Yes	2012	2014	200003	sal	1197
Yes	2012	2014	201956	sal	1216
Yes	2012	2014	201206	sal	1219
Yes	2012	2014	201610	sal	1260
Yes	2012	2014	201744	sal	1286
Yes	2012	2014	200039	sal	1295
Yes	2012	2014	200495	sal	1300
Yes	2012	2014	200042	sal	1301
Yes	2012	2014	200048	sal	1324
Yes	2012	2014	200659	sal	1352
Yes	2012	2014	200875	sal	1365
Yes	2012	2014	201684	sal	1370
Yes	2012	2014	200729	sal	1377
Yes	2012	2014	200515	sal	1378
Yes	2012	2014	200072	sal	1379
Yes	2012	2014	200610	sal	1380
Yes	2012	2014	200073	sal	1381
Yes	2012	2014	200075	sal	1382
Yes	2012	2014	201550	sal	1384
Yes	2012	2014	200077	sal	1385
Yes	2012	2014	201535	sal	1386
Yes	2012	2014	201271	sal	1387
Yes	2012	2014	201583	sal	1389
Yes	2012	2014	200081	sal	1390
Yes	2012	2014	200634	sal	1391
Yes	2012	2014	200516	sal	1392
Yes	2012	2014	201191	sal	1401
Yes	2012	2014	201154	sal	1403
Yes	2012	2014	201545	sal	1429
Yes	2012	2014	201138	sal	1430
Yes	2012	2014	201710	sal	1431
Yes	2012	2014	200100	sal	1432
Yes	2012	2014	201969	sal	1433
