@issn_type_id:=idns_id
7
@eissn_type_id:=idns_id
6
@doi_type_id:=idns_id
8
@e_issn2_type_id:=idns_id
91
ti_id	ISBN	EISSN	DOI	EISSN2	tipp_coverage_note
78	0306-3674	NULL	NULL	NULL	Includes 4 Injury Prevention and Health Protection issues
178	0301-7249	NULL	NULL	NULL	Now: Faraday Discussions
184	1464-0325	NULL	NULL	NULL	Now: Environmental Science: Processes & Impacts (ESPI)
185	0959-9428	NULL	NULL	NULL	Journal split into 3 sections from 2013, Now: sections A, B & C
193	0956-5000	NULL	NULL	NULL	Now: Physical Chemistry Chemical Physics
196	0300-922X	NULL	NULL	NULL	Now: Organic & Biomolecular Chemistry
197	0300-9580	NULL	NULL	NULL	Now: Organic & Biomolecular Chemistry
205	1477-0520	NULL	NULL	NULL	Merged: Journal of the Chemical Society Perkin Transactions 1 and Journal of the Chemical Society Perkin Transactions 2
326	0268-2575	NULL	10.1002/(ISSN)1097-4660	NULL	now: Journal of Chemical Technology and Biotechnology; previously split: Journal of Chemical Technology and Biotechnology. Part A+B Technology 1983-1985; Journal of Chemical Technology and Biotechnology 1979-1982; Journal of Applied Chemistry and Biotechnology 1971-1977; Journal of Applied Chemistry 1951-1970; Journal of the Society of Chemical Industry 1882-1950
339	0362-2525	NULL	10.1002/(ISSN)1097-4687	NULL	merged: of IJAN & Journal of Andrology
402	1932-8486	NULL	10.1002/(ISSN)1932-8494	NULL	previously:split A+B 2003-2006
413	0108-7681	NULL	10.1111/(ISSN)1600-5740	NULL	now: Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials; previously: Acta Crystallographica 1983-1989
440	0903-4641	NULL	10.1111/(ISSN)1600-0463	NULL	previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
453	1326-6756	NULL	10.1111/(ISSN)1440-6055	NULL	now: Austral Entomology 2014-present
466	0024-4074	NULL	10.1111/(ISSN)1095-8339	NULL	now: Botanical Journal of the Linnean Society; previously: The Journal of the Linnean Society of London. Botany 1865-1968; Journal of the Proceedings of the Linnean Society. Botany 1856-1865
535	0928-8244	NULL	10.1111/(ISSN)1574-695X	NULL	now: Pathogens and Disease
644	1041-2972	NULL	10.1111/(ISSN)1745-7599	NULL	now: Journal of the Amercian Association of Nurse Practitioners
775	1434-193X	NULL	10.1002/(ISSN)1099-0690	NULL	now: European Journal of Organic Chemistry 1998-present; previously: Liegbigs Annalen  1994-1997; Liebigs Annalen der Chemie 1979-1994; Justus Liebigs Annalen der Chemie 1840-1978; Annalen der Pharmacie 1832-1839
806	0004-3591	NULL	10.1002/(ISSN)1529-0131	NULL	now: Arthritis and Rheumatology 2014-
829	1436-8730	NULL	10.1002/(ISSN)1522-2624	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
909	0014-8962	NULL	10.1002/(ISSN)1522-239X	NULL	now: Feddes Repertorium; previously: Feddes Repertorium Specierum Novarum Regni Vegetabilis 1943-1963; Repertorium Specierum Novarum Regni Vegetabilis 1910-1942; Repertorium Novarum Specierum Regni Vegetabilis 1905-1909
938	1430-144X	NULL	10.1002/(ISSN)1546-3109	NULL	now: International Transactions on Electrical Energy Systems
960	0373-8493	NULL	NULL	NULL	now: Zoosystematics and Evolution
1042	1758-3489	NULL	NULL	NULL	Formerly Library History
1043	 0024-2306	NULL	NULL	NULL	Now published as Library & Information History 
1052	1758-1206	NULL	NULL	NULL	Formerly Transactions of the Newcommen Society
1151	2042-6445	NULL	NULL	NULL	Formerly The Journal of the Institute of Wood Science
1198	0066-3832	NULL	10.1111/(ISSN)1467-8314	NULL	incorporated: History
1246	0007-1102	NULL	10.1111/(ISSN)2044-8317	NULL	now: British Journal of Mathematical and Statistical Psychology 1965-present; previously: British Journal of Statistical Psychology 1953-1964; The British Journal of Psychology. Statistical Section 1947-1952
1292	0160-7960	NULL	10.1002/(ISSN)2161-007X	NULL	now: Counseling and Values 1973-present; previously: The National Catholic Guidance Conference Journal 1964-1971; The Catholic Counselor 1956-1964
1589	1533-6077	NULL	10.1111/(ISSN)1758-2237	NULL	Absorbed
1590	1520-8583	NULL	10.1111/(ISSN)1520-8583	NULL	Absorbed
1617	1744-5396	NULL	10.1111/(ISSN)1744-540X	NULL	incorporated: Juncture
1629	0962-8797	NULL	10.1111/(ISSN)1467-9388	NULL	now: Review of European, Comparative and International Environmental Law
1742	0309-7765	NULL	NULL	NULL	Original title of Brontë Studies
1825	1540-7063	NULL	NULL	NULL	Formerly American Zoologist
1935	0002-9092	NULL	NULL	NULL	A subscription to American Journal of Agricultural Economics also includes Applied Economic Perspectives and Policy 
1937	0002-9262	NULL	NULL	NULL	A subscription to the American Journal of Epidemiology includes Epidemiologic Reviews
1950	0033-362X	NULL	NULL	NULL	In 2013, subscriptions to Public Opinion Quarterly will include a subscription to Journal of Survey Statistics and Methodology
1962	1462-0324	NULL	NULL	NULL	Formerly British JOurnal of Rheumatology
