Title ID,Current Title,Updated Title
1175,ABACUS,Abacus
1176,ABOUT CAMPUS,About Campus
410,ACADEMIC EMERGENCY MEDICINE,Academic Emergency Medicine
1177,ACCOUNTING & FINANCE,Accounting and Finance
1178,ACCOUNTING PERSPECTIVES,Accounting Perspectives
411,ACTA ANAESTHESIOLOGICA SCANDINAVICA,Acta Anaesthesiologica Scandinavica
1179,ACTA ARCHAEOLOGICA,Acta Archaeologica
412,ACTA CRYSTALLOGRAPHICA SECTION A,Acta Crystallographica Section A
413,ACTA CRYSTALLOGRAPHICA SECTION B,Acta Crystallographica Section B
414,ACTA CRYSTALLOGRAPHICA SECTION C,Acta Crystallographica Section C
415,ACTA CRYSTALLOGRAPHICA SECTION D,Acta Crystallographica Section D
416,ACTA GEOLOGICA SINICA (ENGLISH EDITION),Acta Geologica Sinica 
417,ACTA NEUROLOGICA SCANDINAVICA,Acta Neurologica Scandinavica
899,ACTA NEUROPSYCHIATRICA (ELECTRONIC),Acta Neuropsychiatrica 
418,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Acta Obstetricia et Gynecologica Scandinavica
419,ACTA OPHTHALMOLOGICA,Acta Ophthalmologica
420,ACTA PAEDIATRICA,Acta Paediatrica
421,ACTA PHYSIOLOGICA,Acta Physiologica
422,ACTA PSYCHIATRICA SCANDINAVICA,Acta Psychiatrica Scandinavica
423,ACTA ZOOLOGICA,Acta Zoologica
424,ADDICTION,Addiction
425,ADDICTION BIOLOGY,Addiction Biology
1180,ADULTSPAN JOURNAL,Adultspan Journal
4680,ADVANCED ENERGY MATERIALS,Advanced Energy Materials
426,ADVANCED FUNCTIONAL MATERIALS,Advanced Functional Materials
4681,ADVANCED HEALTHCARE MATERIALS,Advanced Healthcare Materials
753,ADVANCED MATERIALS,Advanced Materials
234,ADVANCES IN POLYMER TECHNOLOGY,Advances in Polymer Technology
1181,"AFRICA RESEARCH BULLETIN: ECONOMIC, FINANCIAL AND TECHNICAL SERIES","Africa Research Bulletin: Economic, Financial and Technical Series"
1182,"AFRICA RESEARCH BULLETIN: POLITICAL, SOCIAL AND CULTURAL SERIES","Africa Research Bulletin: Political, Social and Cultural Series"
1183,AFRICAN DEVELOPMENT REVIEW,African Development Review
427,AFRICAN JOURNAL OF ECOLOGY,African Journal of Ecology
235,AGGRESSIVE BEHAVIOR,Aggressive Behavior
900,AGING CELL,Aging Cell
1184,AGRIBUSINESS : AN INTERNATIONAL JOURNAL,Agribusiness : An International Journal
804,AGRICULTURAL AND FOREST ENTOMOLOGY,Agricultural and Forest Entomology
1185,AGRICULTURAL ECONOMICS,Agricultural Economics
754,AICHE JOURNAL,Aiche Journal
