IID/LoginID,JID,YYYY
abd,5430,2013
abd,5424,2013
ast,633,2009
ast,804,2009
ast,605,2009
ast,603,2009
ast,1343,2009
ast,1190,2009
ast,578,2009
ast,2071,2009
ast,563,2009
ast,1036,2009
ast,1704,2009
ast,547,2009
ast,546,2009
ast,2191,2009
ast,923,2009
ast,512,2009
ast,3048,2009
ast,905,2009
ast,3346,2009
ast,453,2009
ast,1900,2009
ast,2056,2009
ast,1885,2009
ast,3360,2009
ast,3343,2009
ast,406,2009
ast,3981,2009
ast,1216,2009
ast,2135,2009
ast,886,2009
ast,1919,2009
ast,3243,2009
ast,1653,2009
ast,1022,2009
ast,1723,2009
ast,2656,2009
ast,1923,2009
ast,315,2009
ast,277,2009
ast,275,2009
ast,256,2009
ast,2717,2009
ast,245,2009
ast,1465,2009
ast,2573,2009
ast,1889,2009
ast,3654,2009
ast,2156,2009
ast,4159,2009
ast,1196,2009
ast,1240,2009
ast,192,2009
ast,3599,2009
ast,1113,2009
ast,1705,2009
ast,179,2009
ast,168,2009
ast,2122,2009
ast,167,2009
ast,3751,2009
ast,145,2009
ast,3693,2009
ast,2168,2009
ast,2765,2009
ast,2833,2009
ast,936,2009
ast,100,2009
ast,3615,2009
ast,97,2009
ast,79,2009
ast,67,2009
ast,39,2009
ast,1254,2009
ast,15,2009
ast,1809,2009
ast,5583,2009
ast,743,2012
ast,804,2010
ast,605,2010
ast,603,2010
ast,1343,2010
ast,1190,2010
ast,578,2010
ast,2071,2010
ast,563,2010
ast,1036,2010
ast,1704,2010
ast,547,2010
ast,546,2010
ast,2191,2010
ast,923,2010
ast,512,2010
ast,3048,2010
ast,905,2010
ast,3346,2010
ast,453,2010
ast,1900,2010
ast,2056,2010
ast,1885,2010
ast,3360,2010
ast,3343,2010
ast,406,2010
ast,3981,2010
ast,1216,2010
ast,2135,2010
ast,886,2010
ast,1919,2010
ast,3243,2010
ast,1653,2010
ast,1022,2010
ast,1723,2010
ast,2656,2010
ast,1923,2010
ast,315,2010
ast,277,2010
ast,275,2010
ast,256,2010
ast,2717,2010
ast,245,2010
ast,1465,2010
ast,2573,2010
ast,1889,2010
ast,3654,2010
ast,2156,2010
ast,4159,2010
ast,1196,2010
ast,1240,2010
ast,192,2010
ast,3599,2010
ast,1113,2010
ast,1705,2010
ast,179,2010
ast,168,2010
ast,2122,2010
ast,167,2010
ast,3751,2010
ast,145,2010
ast,3693,2010
ast,2168,2010
ast,2765,2010
ast,2833,2010
ast,936,2010
ast,100,2010
ast,3615,2010
ast,97,2010
ast,79,2010
ast,67,2010
ast,39,2010
ast,5583,2010
ast,1254,2010
ast,15,2010
ast,1809,2010
ast,15,2011
ast,39,2011
ast,67,2011
ast,79,2011
ast,97,2011
ast,100,2011
ast,145,2011
ast,167,2011
ast,168,2011
ast,179,2011
ast,192,2011
ast,245,2011
ast,256,2011
ast,275,2011
ast,277,2011
ast,315,2011
ast,406,2011
ast,453,2011
ast,512,2011
ast,546,2011
ast,547,2011
ast,563,2011
ast,578,2011
ast,603,2011
ast,605,2011
ast,633,2011
ast,804,2011
ast,886,2011
ast,905,2011
ast,923,2011
ast,936,2011
ast,1022,2011
ast,1036,2011
ast,1113,2011
ast,1190,2011
ast,1196,2011
ast,1216,2011
ast,1240,2011
ast,1254,2011
ast,1343,2011
ast,1465,2011
ast,1653,2011
ast,1704,2011
ast,1705,2011
ast,1723,2011
ast,1809,2011
ast,1885,2011
ast,1889,2011
ast,1900,2011
ast,1919,2011
ast,1923,2011
ast,2056,2011
ast,2071,2011
ast,2122,2011
ast,2135,2011
ast,2156,2011
ast,2168,2011
ast,2191,2011
ast,2573,2011
ast,2656,2011
ast,2717,2011
ast,2765,2011
ast,2833,2011
ast,3048,2011
ast,3243,2011
ast,3343,2011
ast,3346,2011
ast,3360,2011
ast,3599,2011
ast,3615,2011
ast,3654,2011
ast,3693,2011
ast,3751,2011
ast,3981,2011
ast,4159,2011
ast,5583,2011
ast,115,2012
ast,929,2012
ast,125,2012
ast,1745,2012
ast,940,2012
ast,180,2012
ast,2660,2012
ast,1491,2012
ast,1509,2012
ast,1546,2012
ast,1713,2012
ast,377,2012
ast,2677,2012
ast,5067,2012
ast,3076,2012
ast,4470,2012
ast,568,2012
ast,1494,2012
ast,5388,2012
ast,5082,2012
ast,5081,2012
ast,6671,2012
ast,6711,2012
ast,6742,2012
ast,6776,2012
ast,6777,2012
ast,6778,2012
ast,6780,2012
ast,782,2011
ast,6810,2012
ast,6816,2012
ast,6825,2012
ast,6842,2012
ast,2024,2012
ast,6659,2012
ast,6934,2012
ast,7086,2012
ast,6963,2012
ast,6987,2012
ast,7010,2012
ast,7036,2012
ast,7037,2012
ast,7052,2012
ast,7059,2012
ast,7066,2012
ast,7070,2012
ast,7074,2012
ast,7078,2012
ast,7082,2012
ast,7123,2012
ast,7127,2012
ast,7135,2012
ast,7153,2012
ast,7154,2012
ast,7156,2012
ast,7164,2012
ast,7193,2012
ast,7221,2012
ast,9801,2012
ast,9958,2012
ast,3365,2011
ast,9655,2012
ast,9657,2012
ast,9660,2012
ast,9524,2012
ast,9665,2012
ast,9666,2012
ast,9990,2012
ast,9855,2012
ast,9673,2012
ast,10633,2012
ast,11031,2012
ast,9816,2012
ast,10172,2012
ast,9819,2012
ast,11067,2012
ast,10661,2012
ast,10043,2012
ast,9868,2012
ast,9832,2012
ast,9833,2012
ast,10587,2012
ast,11168,2012
ast,9835,2012
ast,10840,2012
ast,9572,2012
ast,9573,2012
ast,9729,2012
ast,10685,2012
ast,9735,2012
ast,9586,2012
ast,10694,2012
ast,9748,2012
ast,9838,2012
ast,9839,2012
ast,9752,2012
ast,9753,2012
ast,10699,2012
ast,10428,2012
ast,10560,2012
ast,9844,2012
ast,9759,2012
ast,9847,2012
ast,11311,2012
ast,10721,2012
ast,9772,2012
ast,2130,2011
ast,4310,2011
ast,623,2011
ast,1993,2011
ast,1732,2011
ast,2592,2011
