SO Name,JC American Chemical Society Legacy Archives,,,,,,,,,,,,,,,,,,,
SO Identifier,acs_legacyarchives_jc.cvs,,,,,,,,,,,,,,,,,,,
Provider,American Chemical Society,,,,,,,,,,,,,,,,,,,
Package Identifier,Legacy Archives,,,,,,,,,,,,,,,,,,,
Package Name,Legacy Archives,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Accounts of Chemical Research,0001-4842,1520-4898,01/01/1968,1,1,01/12/1995,,,achre4,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/achre4,ACS Publications,administrative,
Analytical Chemistry,0003-2700,1520-6882,01/01/1929,1,1,01/12/1995,,,ancham,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/ancham,ACS Publications,administrative,
Biochemistry,0006-2960,1520-4995,01/01/1962,1,1,01/12/1995,,,bichaw,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bichaw,ACS Publications,administrative,
Bioconjugate Chemistry,1043-1802,1520-4812,01/01/1990,1,1,01/12/1995,,,bcches,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bcches,ACS Publications,administrative,
Biotechnology Progress,8756-7938,1520-6033,01/01/1990,6,1,01/11/1995,11,6,bipret,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bipret,ACS Publications,administrative,
Chemical Research in Toxicology,0893-228X,1520-5010,01/01/1988,1,1,01/12/1995,,,crtoec,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/crtoec,ACS Publications,administrative,
Chemical Reviews,0009-2665,1520-6890,01/04/1924,1,1,01/12/1995,,,chreay,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/chreay,ACS Publications,administrative,
Chemistry of Materials,0897-4756,1520-5002,01/01/1989,1,1,01/12/1995,,,cmatex,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/cmatex,ACS Publications,administrative,
Energy & Fuels,0887-0624,1520-5029,01/01/1987,1,1,01/12/1995,,,enfuem,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/enfuem,ACS Publications,administrative,
Environmental Science & Technology,0013-936X,1520-5851,01/01/1967,1,1,01/12/1995,,,esthag,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/esthag,ACS Publications,administrative,
