SO Name,NESLI2 Annual Reviews Biomed Collection of 25 2012-2014,,,,,,,,,,,,,,,,,,,
SO Identifier,AnnualReviews_biomedcollectionof25_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Annual Reviews,,,,,,,,,,,,,,,,,,,
Package Identifier,Biomed Collection of 25,,,,,,,,,,,,,,,,,,,
Package Name,Annual Reviews Biomed Collection of 25,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annual Review of Analytical Chemistry,1936-1327,1936-1335,2008,1,,,,,anchem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/anchem,Annual Reviews,administrative,
Annual Review of Biochemistry,0066-4154,1545-4509,1996,1,,,,,biochem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/biochem,Annual Reviews,administrative,
Annual Review of Biomedical Engineering,1523-9829,1545-4274,1999,1,,,,,bioeng,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/bioeng,Annual Reviews,administrative,
Annual Review of Biophysics,1936-122x,1936-1238,2008,37,,,,,biophys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/biophys,Annual Reviews,administrative,
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,1995,11,,,,,cellbio,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/cellbio,Annual Reviews,administrative,
Annual Review of Chemical and Biomolecular Engineering,1947-5438,1947-5446,2010,1,,,,,chembioeng,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/chembioeng,Annual Reviews,administrative,
Annual Review of Clinical Psychology,1548-5943,1548-5951,2005,1,,,,,clinpsy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/clinpsy,Annual Reviews,administrative,
"Annual Review of Ecology, Evolution and Systematics",1543-592X,1545-2069,2003,34,,,,,ecolsys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/ecolsys,Annual Reviews,administrative,
Annual Review of Entomology,0066-4170,1545-2050,1956,1,,,,,ento,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/ento,Annual Reviews,administrative,
Annual Review of Food Science and Technology,1941-1413,1941-1421,2010,1,,,,,food,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/food,Annual Reviews,administrative,
Annual Review of Genetics,0066-4197,1545-2948,1967,1,,,,,genet,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/genet,Annual Reviews,administrative,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293x,2000,1,,,,,genom,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/genom,Annual Reviews,administrative,
Annual Review of Immunology,0732-0582,1545-3278,1983,1,,,,,immunol,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/immunol,Annual Reviews,administrative,
Annual Review of Marine Science,1941-1405,1941-0611,2009,1,,,,,marine,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/marine,Annual Reviews,administrative,
Annual Review of Medicine,0066-4129,1545-326x,1950,1,,,,,med,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/med,Annual Reviews,administrative,
Annual Review of Microbiology,0066-4227,1545-3251,1947,1,,,,,micro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/micro,Annual Reviews,administrative,
Annual Review of Neuroscience,0147-006X,1545-4126,1978,1,,,,,neuro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/neuro,Annual Reviews,administrative,
Annual Review of Nutrition,0199-9885,1545-4312,1981,1,,,,,nutr,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/nutr,Annual Reviews,administrative,
Annual Review of Pathology: Mechanisms of Disease,1553-4006,1553-4014,2006,1,,,,,pathmechdis,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/pathmechdis,Annual Reviews,administrative,
Annual Review of Pharmacology and Toxicology,0362-1642,1545-4304,1976,16,,,,,pharmtox,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/pharmtox,Annual Reviews,administrative,
Annual Review of Physiology,0066-4278,1545-1585,1939,1,,,,,physiol,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/physiol,Annual Reviews,administrative,
Annual Review of Phytopathology,0066-4286,1545-2107,1963,1,,,,,phyto,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/phyto,Annual Reviews,administrative,
Annual Review of Plant Biology,1543-5008,1545-2123,2002,53,,,,,arplant,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/arplant,Annual Reviews,administrative,
Annual Review of Psychology,0066-4308,1545-2085,1950,1,,,,,psych,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/psych,Annual Reviews,administrative,
Annual Review of Public Health,0163-7525,1545-2093,1980,1,,,,,publhealth,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/publhealth,Annual Reviews,administrative,
