SO Name,NESLI2 Annual Reviews economics  collection 2012-2014,,,,,,,,,,,,,,,,,,,,
SO Identifier,AnnualReviews_economicscollection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,,
Provider,Annual Reviews,,,,,,,,,,,,,,,,,,,,
Package Identifier,Economics collection ,,,,,,,,,,,,,,,,,,,,
Package Name,Annual Reviews Economics collection,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name
Annual Review of Economics,1941-1383,1941-1391,2009,1,,,,,economics,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/economics,Annual Reviews,administrative,,
Annual Review of Financial Economics,1941-1367,1941-1375,2009,1,,,,,financial,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/financial,Annual Reviews,administrative,,
Annual Review of Resource Economics,1941-1340,1941-1359,2009,1,,,,,resource,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/resource,Annual Reviews,administrative,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
