SO Name,NESLI2 Annual Reviews Electronic Back Volume Collection 2012-2014,,,,,,,,,,,,,,,,,,,
SO Identifier,AnnualReviews_electronicbackvolumecollection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Annual Reviews,,,,,,,,,,,,,,,,,,,
Package Identifier,Electronic Back Volume Collection,,,,,,,,,,,,,,,,,,,
Package Name,Annual Reviews Electronic Back Volume Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annual Review of Anthropology,0084-6570,1545-4290,1972,,,2007,,,anthro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/anthro,Annual Reviews,administrative,
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,1963,,,2007,,,astro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/astro,Annual Reviews,administrative,
Annual Review of Biochemistry,0066-4154,1545-4509,1932,,,2007,,,biochem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/biochem,Annual Reviews,administrative,
Annual Review of Biomedical Engineering,1523-9829,1545-4274,1999,,,2007,,,bioeng,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/bioeng,Annual Reviews,administrative,
Annual Review of Biophysics,1936-122x,1936-1238,1972,,,2007,,,biophys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/biophys,Annual Reviews,administrative,
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,1985,,,2007,,,cellbio,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/cellbio,Annual Reviews,administrative,
Annual Review of Clinical Psychology,1548-5943,1548-5951,2005,,,2007,,,clinpsy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/clinpsy,Annual Reviews,administrative,
Annual Review of Computer Science,0163-5719,,1986,,,1990,,,arcompsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/arcompsci,Annual Reviews,administrative,
Annual Review of Earth and Planetary Sciences,0084-6597,1545-4495,1973,,,2007,,,earth,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/earth,Annual Reviews,administrative,
"Annual Review of Ecology, Evolution and Systematics",1543-592X,1545-2069,1970,,,2007,,,ecolsys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/ecolsys,Annual Reviews,administrative,
Annual Review of Entomology,0066-4170,1545-2050,1956,,,2007,,,ento,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/ento,Annual Reviews,administrative,
Annual Review of Environment and Resources,1543-5938,1545-4487,1976,,,2007,,,energy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/energy,Annual Reviews,administrative,
Annual Review of Fluid Mechanics,0066-4189,1545-4479,1969,,,2007,,,fluid,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/fluid,Annual Reviews,administrative,
Annual Review of Genetics,0066-4197,1545-2948,1967,,,2007,,,genet,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/genet,Annual Reviews,administrative,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293x,2000,,,2007,,,genom,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/genom,Annual Reviews,administrative,
Annual Review of Immunology,0732-0582,1545-3278,1983,,,2007,,,immunol,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/immunol,Annual Reviews,administrative,
Annual Review of Law and Social Science,1550-3585,1550-3631,2005,,,2007,,,lawsocsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/lawsocsci,Annual Reviews,administrative,
Annual Review of Materials Research,1531-7331,1545-4118,1971,,,2007,,,matsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/matsci,Annual Reviews,administrative,
Annual Review of Medicine,0066-4129,1545-326x,1950,,,2007,,,med,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/med,Annual Reviews,administrative,
Annual Review of Microbiology,0066-4227,1545-3251,1947,,,2007,,,micro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/micro,Annual Reviews,administrative,
