SO Name,NESLI2 Annual Reviews Sciences Collection of 37 2012-2014,,,,,,,,,,,,,,,,,,,
SO Identifier,AnnualReviews_sciencescollectionof37_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Annual Reviews,,,,,,,,,,,,,,,,,,,
Package Identifier,Sciences Collection of 37,,,,,,,,,,,,,,,,,,,
Package Name,Annual Reviews Sciences Collection of 37,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annual Review of Analytical Chemistry,1936-1327,1936-1335,2008,1,,,,,anchem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/anchem ,Annual Reviews,administrative,
Annual Review of Anthropology,0084-6570,1545-4290,1972,1,,,,,anthro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/anthro,Annual Reviews,administrative,
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,1963,1,,,,,astro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/astro,Annual Reviews,administrative,
Annual Review of Biochemistry,0066-4154,1545-4509,1932,1,,,,,biochem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/biochem,Annual Reviews,administrative,
Annual Review of Biomedical Engineering,1523-9829,1545-4274,1999,1,,,,,bioeng,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/bioeng,Annual Reviews,administrative,
Annual Review of Biophysics ,0084-6589,0084-6589,2008,37,,,,,biophys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/biophys,Annual Reviews,administrative,
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,1995,11,,,,,cellbio,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/cellbio,Annual Reviews,administrative,
Annual Review of Chemical and Biomolecular Engineering,1947-5438,1947-5446,2010,1,,,,,chembioeng,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/chemeng,Annual Reviews,administrative,
Annual Review of Clinical Psychology,1548-5943,1548-5951,2005,1,,,,,clinpsy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/clinpsy,Annual Reviews,administrative,
Annual Review of Condensed Matter Physics,1947-5454,1947-5462,2010,1,,,,,conmatphys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/condmatphys,Annual Reviews,administrative,
Annual Review of Earth and Planetary Sciences,0084-6597,1545-4495,1973,1,,,,,earth,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/earth,Annual Reviews,administrative,
"Annual Review of Ecology, Evolution, and Systematics",1543-592X,1545-2069,2003,34,,,,,ecolsys,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/ecolsys,Annual Reviews,administrative,
Annual Review of Entomology,0066-4170,1545-4487,1956,1,,,,,ento,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/ento,Annual Reviews,administrative,
Annual Review of Environment and Resources,1543-5938,1545-2050,2003,28,,,,,energy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/energy,Annual Reviews,administrative,
Annual Review of Fluid Mechanics,0066-4189,1545-4479,1969,1,,,,,fluid,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/fluid,Annual Reviews,administrative,
Annual Review of Food Science and Technology,1941-1413,1941-1421,2010,1,,,,,food,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/food,Annual Reviews,administrative,
Annual Review of Genetics,0066-4197,1545-2948,1967,1,,,,,genet,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/genet,Annual Reviews,administrative,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,2000,1,,,,,genom,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/genom,Annual Reviews,administrative,
Annual Review of Immunology,0732-0582,1545-3278,1983,1,,,,,immunol,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/immunol,Annual Reviews,administrative,
Annual Review of Law and Social Science,1550-3585,1550-3631,2005,1,,,,,lawsocsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/lawsocsci,Annual Reviews,administrative,
Annual Review of Materials Research,1531-7331,1545-4118,2001,31,,,,,marine,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/matsci,Annual Reviews,administrative,
Annual Review of Marine Science,1941-1405,1941-0611,2009,1,,,,,matsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/marine,Annual Reviews,administrative,
Annual Review of Medicine,0066-4219,1545-326X,1950,1,,,,,med,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/med,Annual Reviews,administrative,
Annual Review of Microbiology,0066-4227,1545-3251,1947,1,,,,,micro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/micro,Annual Reviews,administrative,
Annual Review of Neuroscience,0147-006X,1545-4126,1978,1,,,,,neuro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/neuro,Annual Reviews,administrative,
Annual Review of Nuclear and Particle Science,0163-8998,1545-4134,1979,29,,,,,nucl,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/nucl,Annual Reviews,administrative,
Annual Review of Nutrition,0199-9885,1545-4312,1981,1,,,,,nutr,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/nutr,Annual Reviews,administrative,
Annual Review of Pathology,1553-4006,1553-4014,2006,1,,,,,pathmechdis,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/pathmechdis,Annual Reviews,administrative,
Annual Review of Pharmacology and Toxicology,0362-1642,1545-4304,1976,16,,,,,pharmtox,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/pharmtox,Annual Reviews,administrative,
Annual Review of Physical Chemistry,0066-426X,1545-1593,1950,1,,,,,physchem,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/physchem,Annual Reviews,administrative,
Annual Review of Physiology,0066-4278,1545-1585,1939,1,,,,,physiol,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/physiol,Annual Reviews,administrative,
Annual Review of Phytopathology,0066-4286,1545-2107,1963,1,,,,,phyto,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/phyto,Annual Reviews,administrative,
Annual Review of Plant Biology,1543-5008,1545-2123,2002,53,,,,,arplant,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/arplant,Annual Reviews,administrative,
Annual Review of Political Science,1094-2939,1545-1577,1998,1,,,,,polisci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/polisci,Annual Reviews,administrative,
Annual Review of Psychology,0066-4308,1545-2085,1950,1,,,,,psych,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/psych,Annual Reviews,administrative,
Annual Review of Public Health,0163-7525,1545-2093,1980,1,,,,,publhealth,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/publhealth,Annual Reviews,administrative,
Annual Review of Sociology,0360-0572,1545-2115,1975,1,,,,,soc,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://arjournals.annualreviews.org/loi/soc,Annual Reviews,administrative,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
