SO Name,NESLI2 Annual Reviews social sciences collection 2012-2014,,,,,,,,,,,,,,,,,,,
SO Identifier,AnnualReviews_socialsciencescollection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Annual Reviews,,,,,,,,,,,,,,,,,,,
Package Identifier,Social sciences collection,,,,,,,,,,,,,,,,,,,
Package Name,Annual Reviews Social sciences collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annual Review of Anthropology,0084-6570,1545-4290,1972,1,,,,,anthro,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/anthro,Annual Reviews,administrative,
Annual Review of Clinical Psychology,1548-5943,1548-5951,2005,1,,,,,clinpsy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/clinpsy,Annual Reviews,administrative,
Annual Review of Environment and Resources,1543-5938,1545-4487,2003,28,,,,,energy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/energy,Annual Reviews,administrative,
Annual Review of Energy and the Environment,1056-3466,,1991,16,,2002,27,,energy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/energy,Annual Reviews,administrative,
Annual Review of Energy,0362-1626,,1976,1,,1990,15,,energy,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/energy,Annual Reviews,administrative,
Annual Review of Law and Social Science,1550-3585,1550-3631,2005,1,,,,,lawsocsci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/lawsocsci,Annual Reviews,administrative,
Annual Review of Political Science,1094-2939,1545-1577,1998,1,,,,,polisci,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/polisci,Annual Reviews,administrative,
Annual Review of Psychology,0066-4308,1545-2085,1950,1,,,,,psych,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/psych,Annual Reviews,administrative,
Annual Review of Public Health,0163-7525,1545-2093,1980,1,,,,,publhealth,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/publhealth,Annual Reviews,administrative,
Annual Review of Sociology,0360-0572,1545-2115,1975,1,,,,,soc,,fulltext,,Annual Reviews,,Annual Reviews,host ,http://www.annualreviews.org/journal/soc,Annual Reviews,administrative,
