SO Name,NESLI2 Expert Reviews SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ER_Collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Expert Reviews Ltd,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Expert Review of Anticancer Therapy,1473-7140,1744-8328,01/06/2001,1,1,,,,ERA,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/era,Expert Reviews,administrative,
Expert Review of Anti-infective Therapy,1478-7210,1744-8336,01/03/2003,1,1,,,,ERI,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/eri,Expert Reviews,administrative,
Expert Review of Cardiovascular Therapy,1477-9072,1744-8344,01/05/2003,1,1,,,,ERC,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/erc,Expert Reviews,administrative,
Expert Review of Clinical Immunology,1744-666X,1744-8409,01/05/2005,1,1,,,,ECI,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/eci,Expert Reviews,administrative,
Expert Review of Clinical Pharmacology,1751-2433,1751-2441,01/01/2008,1,1,,,,ECP,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/ecp,Expert Reviews,administrative,
Expert Review of Dermatology,1746-9872,1746-9880,01/02/2006,1,1,,,,EDM,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/edm,Expert Reviews,administrative,
Expert Review of Endocrinology & Metabolism,1744-6651,1744-8417,01/01/2006,1,1,,,,EEM,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/eem,Expert Reviews,administrative,
Expert Review of Gastroenterology & Hepatology,1747-4124,1747-4132,01/10/2007,1,1,,,,EGH,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/egh,Expert Reviews,administrative,
Expert Review of Hematology,1747-4086,1747-4094,01/10/2008,1,1,,,,EHM,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/ehm,Expert Reviews,administrative,
Expert Review of Medical Devices,1743-4440,1745-2422,01/09/2004,1,1,,,,ERD,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/erd,Expert Reviews,administrative,
Expert Review of Molecular Diagnostics,1473-7159,1744-8352,01/05/2001,1,1,,,,ERM,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/erm,Expert Reviews,administrative,
Expert Review of Neurotherapeutics,1473-7175,1744-8360,01/09/2001,1,1,,,,ERN,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/ern,Expert Reviews,administrative,
Expert Review of Obstetrics & Gynecology,1747-4108,1747-4116,01/09/2006,1,1,,,,EOG,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/eog,Expert Reviews,administrative,
Expert Review of Ophthalmology,1746-9899,1746-9902,01/10/2006,1,1,,,,EOP,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/eop,Expert Reviews,administrative,
Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,01/10/2001,1,1,,,,ERP,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/erp,Expert Reviews,administrative,
Expert Review of Proteomics,1478-9450,1744-8387,01/06/2004,1,1,,,,EPR,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/epr,Expert Reviews,administrative,
Expert Review of Respiratory Medicine,1747-6348,1747-6356,01/08/2007,1,1,,,,ERS,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/ers,Expert Reviews,administrative,
Expert Review of Vaccines,1476-0584,1744-8395,01/06/2002,1,1,,,,ERV,,Full text,,Expert Reviews Ltd,,Expert Reviews,host,http://www.expert-reviews.com/loi/erv,Expert Reviews,administrative,
