SO Name,JC IEEE/IET Electronic Library 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,IEEE_IEEEIEL_2012_2012_jc,,,,,,,,,,,,,,,,,,,
Provider,IEEE,,,,,,,,,,,,,,,,,,,
Package Identifier,IEEE/IET Electronic Library ,,,,,,,,,,,,,,,,,,,
Package Name,IEEE/IET Electronic Library ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
"Acoustics, Speech and Signal Processing, IEEE Transactions on",0096-3518,,1974,22,1,1990,38,12,29,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=29,IEEE Xplore,administrative,
"Acoustics, Speech, and Signal Processing Newsletter, IEEE",,,1974,28,1,1983,62,1,8342,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=8342,IEEE Xplore,administrative,
"Advanced Packaging, IEEE Transactions on",1521-3323,,1999,22,1,2010,,99,6040,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=6040,IEEE Xplore,administrative,
"Aeronautical and Navigational Electronics, IRE Transactions on",0096-1639,,1955,2,1,1960,7,4,4201388,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=4201388,IEEE Xplore,administrative,
"Aeronautical and Navigational Electronics, Transactions of the IRE Professional Group on",,,1953,10,1,1954,1,4,5062323,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=5062323,IEEE Xplore,administrative,
"Aerospace and Electronic Systems Magazine, IEEE",0885-8985,,1986,1,1,,,,62,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=62,IEEE Xplore,administrative,
"Aerospace and Electronic Systems, IEEE Transactions on",0018-9251,,1965,1,1,,,,7,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=7,IEEE Xplore,administrative,
"Aerospace and Navigational Electronics, IEEE Transactions on",0096-1957,,1963,10,1,1965,12,2,4319312,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=4319312,IEEE Xplore,administrative,
"Aerospace and Navigational Electronics, IRE Transactions on",0096-1647,,1961,8,1,1962,9,4,5483689,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=5483689,IEEE Xplore,administrative,
"Aerospace, IEEE Transactions on",0536-1516,,1963,1,1,1965,3,3,4319334,,,,,,IEEE Xplore,host,http://ieeexplore.ieee.org/servlet/opac?punumber=4319334,IEEE Xplore,administrative,
