SO Name,NESLI2  Option 1 : IOP Electronic Package 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,IOP_option 1_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,IOP,,,,,,,,,,,,,,,,,,,
Package Identifier,Option 1 ,,,,,,,,,,,,,,,,,,,
Package Name,Option 1 : IOP Electronic Package,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Bioinspiration & Biomimetics,1748-3182,1748-3190,01/01/2002,,,,,,1748-3190,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-3190,IOPScience,administrative,
Biomedical Materials,1748-6041,1748-605X,01/01/2002,,,,,,1748-605X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-605X,IOPScience,administrative,
Chinese Physics,1009-1963,1741-4199,01/01/2002,31/12/2007,,,,,1009-1963,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1009-1963,IOPScience,administrative,
Chinese Physics B,1674-1056,,01/01/2002,,,,,,1674-1056,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1674-1056,IOPScience,administrative,
Chinese Physics Letters,0256-307X,1741-3540,01/01/2002,,,,,,0256-307X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0256-307X,IOPScience,administrative,
Classical and Quantum Gravity,0264-9381,1361-6382,01/01/2002,,,,,,0264-9381,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0264-9381,IOPScience,administrative,
Environmental Research Letters,,1748-9326,01/01/2002,,,,,,1748-9326,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-9326,IOPScience,administrative,
EPL (Europhysics Letters),0295-5075,1286-4854,01/01/2002,,,,,,0295-5075,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0295-5075,IOPScience,administrative,
European Journal of Physics,0143-0807,1361-6404,01/01/2002,,,,,,0143-0807,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0143-0807,IOPScience,administrative,
Inverse Problems,0266-5611,1361-6420,01/01/2002,,,,,,0266-5611,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0266-5611,IOPScience,administrative,
Journal of Cosmology and Astroparticle Physics,,1475-7516,01/01/2002,,,,,,1475-7516,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1475-7516,IOPScience,administrative,
