SO Name,NESLI2  Option 2 : 2. IOPscience extra 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,IOP_option 2_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,IOP,,,,,,,,,,,,,,,,,,,
Package Identifier,Option 12,,,,,,,,,,,,,,,,,,,
Package Name,Option 2 : 2. IOPscience extra,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Physica Sinica (Overseas Edition),1004-423X,,01/01/1992,,,31/12/1999,,,1004-423X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1004-423X,IOPScience,administrative,
Biofabrication,1758-5082,1758-5090,01/03/2009,,,,,,1758-5090,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1758-5090,IOPScience,administrative,
Bioinspiration & Biomimetics,1748-3182,1748-3190,01/01/2006,,,,,,1748-3190,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-3190,IOPScience,administrative,
Biomedical Materials,1748-6041,1748-605X,01/01/2006,,,,,,1748-605X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-605X,IOPScience,administrative,
British Journal of Applied Physics,0508-3443,,01/01/1950,,,31/12/1967,,,0508-3443,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0508-3443,IOPScience,administrative,
Chinese Journal of Astronomy and Astrophysics,1009-9271,,01/01/2001,,,31/12/2008,,,1009-9271,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1009-9271,IOPScience,administrative,
Chinese Journal of Chemical Physics,1003-7713,,01/01/1987,,,31/12/2007,,,1003-7713,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1003-7713,IOPScience,administrative,
Chinese Journal of Chemical Physics,1674-0068,,01/01/2008,,,,,,1674-0068,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1674-0068,IOPScience,administrative,
Chinese Journal of Semiconductors,0253-4177,,01/01/1980,,,31/12/2008,,,0253-4177,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0253-4177,IOPScience,administrative,
Chinese Physics,1009-1963,1741-4199,01/01/2000,,,31/12/2007,,,1009-1963,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1009-1963,IOPScience,administrative,
Chinese Physics B,1674-1056,,01/01/2008,,,,,,1674-1056,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1674-1056,IOPScience,administrative,
Chinese Physics C,1674-1137,,01/01/2008,,,,,,1674-1137,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1674-1137,IOPScience,administrative,
Chinese Physics Letters,0256-307X,1741-3540,01/01/1984,,,,,,0256-307X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0256-307X,IOPScience,administrative,
Classical and Quantum Gravity,0264-9381,1361-6382,01/01/1984,,,,,,0264-9381,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0264-9381,IOPScience,administrative,
Clinical Physics and Physiological Measurement,0143-0815,,01/01/1980,,,31/12/1992,,,0143-0815,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0143-0815,IOPScience,administrative,
Communications in Theoretical Physics,0253-6102,,01/01/1982,,,,,,0253-6102,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0253-6102,IOPScience,administrative,
Computational Science & Discovery,1749-4680,1749-4699,01/01/2008,,,,,,1749-4699,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1749-4699,IOPScience,administrative,
Distributed Systems Engineering,0967-1846,1361-6390,01/09/1993,,,31/12/1999,,,0967-1846,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0967-1846,IOPScience,administrative,
EPL (Europhysics Letters),0295-5075,1286-4854,01/01/1986,,,,,,0295-5075,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0295-5075,IOPScience,administrative,
European Journal of Physics,0143-0807,1361-6404,01/01/1980,,,,,,0143-0807,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0143-0807,IOPScience,administrative,
Fluid Dynamics Research,0169-5983,1873-7005,01/11/1986,,,,,,1873-7005,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1873-7005,IOPScience,administrative,
Inverse Problems,0266-5611,1361-6420,01/01/1985,,,,,,0266-5611,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0266-5611,IOPScience,administrative,
Izvestiya: Mathematics,1064-5632,1468-4810,01/07/1995,,,,,,1064-5632,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1064-5632,IOPScience,administrative,
Journal of Breath Research,1752-7155,1752-7163,01/02/2007,,,,,,1752-7163,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1752-7163,IOPScience,administrative,
Journal of Cosmology and Astroparticle Physics,,1475-7516,01/01/2003,,,,,,1475-7516,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1475-7516,IOPScience,administrative,
Journal of Geophysics and Engineering,1742-2132,1742-2140,01/03/2004,,,,,,1742-2140,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1742-2140,IOPScience,administrative,
Journal of Instrumentation,,1748-0221,01/01/2006,,,,,,1748-0221,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1748-0221,IOPScience,administrative,
Journal of Micromechanics and Microengineering,0960-1317,1361-6439,01/01/1991,,,,,,0960-1317,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0960-1317,IOPScience,administrative,
Journal of Neural Engineering,1741-2560,1741-2552,01/01/2004,,,,,,1741-2552,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1741-2552,IOPScience,administrative,
"Journal of Nuclear Energy. Part C, Plasma Physics, Accelerators, Thermonuclear Research",0368-3281,,01/01/1959,,,31/12/1966,,,0368-3281,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0368-3281,IOPScience,administrative,
Journal of Optics,0150-536X,,01/01/1977,,,31/12/1998,,,0150-536X,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0150-536X,IOPScience,administrative,
Journal of Optics,2040-8978,2040-8986,01/01/2010,,,,,,2040-8986,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/2040-8986,IOPScience,administrative,
Journal of Optics A: Pure and Applied Optics,1464-4258,1741-3567,01/01/1999,,,31/12/2009,,,1464-4258,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1464-4258,IOPScience,administrative,
Journal of Optics B: Quantum and Semiclassical Optics,1464-4266,1741-3575,01/01/1999,,,31/12/2005,,,1464-4266,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1464-4266,IOPScience,administrative,
Journal of Physics A: General Physics,0022-3689,,01/01/1968,,,31/12/1972,,,0022-3689,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0022-3689,IOPScience,administrative,
Journal of Physics A: Mathematical and General,0305-4470,1361-6447,01/01/1975,,,31/12/2006,,,0305-4470,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0305-4470,IOPScience,administrative,
Journal of Physics A: Mathematical and Theoretical,1751-8113,1751-8121,01/01/2007,,,,,,1751-8121,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1751-8121,IOPScience,administrative,
"Journal of Physics A: Mathematical, Nuclear and General",0301-0015,,01/01/1973,,,31/12/1974,,,0301-0015,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0301-0015,IOPScience,administrative,
Journal of Physics B: Atomic and Molecular Physics,0022-3700,,01/01/1968,,,31/12/1987,,,0022-3700,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0022-3700,IOPScience,administrative,
"Journal of Physics B: Atomic, Molecular and Optical Physics",0953-4075,1361-6455,01/01/1988,,,,,,0953-4075,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0953-4075,IOPScience,administrative,
Journal of Physics C: Solid State Physics,0022-3719,,01/01/1968,,,31/12/1988,,,0022-3719,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0022-3719,IOPScience,administrative,
Journal of Physics D: Applied Physics,0022-3727,1361-6463,01/01/1968,,,,,,0022-3727,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0022-3727,IOPScience,administrative,
Journal of Physics E: Scientific Instruments,0022-3735,,01/01/1968,,,31/12/1989,,,0022-3735,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0022-3735,IOPScience,administrative,
Journal of Physics F: Metal Physics,0305-4608,,01/01/1971,,,31/12/1988,,,0305-4608,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0305-4608,IOPScience,administrative,
Journal of Physics G: Nuclear and Particle Physics,0954-3899,1361-6471,01/01/1989,,,,,,0954-3899,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0954-3899,IOPScience,administrative,
Journal of Physics G: Nuclear Physics,0305-4616,,01/01/1975,,,31/12/1988,,,0305-4616,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0305-4616,IOPScience,administrative,
Journal of Physics: Condensed Matter,0953-8984,1361-648X,01/01/1989,,,,,,0953-8984,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0953-8984,IOPScience,administrative,
Journal of Radiological Protection,0952-4746,1361-6498,01/01/1988,,,,,,0952-4746,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0952-4746,IOPScience,administrative,
Journal of Scientific Instruments,0950-7671,,01/01/1923,,,31/12/1967,,,0950-7671,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0950-7671,IOPScience,administrative,
Journal of Semiconductors,1674-4926,,01/01/2009,,,,,,1674-4926,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1674-4926,IOPScience,administrative,
Journal of Statistical Mechanics: Theory and Experiment,,1742-5468,01/01/2004,,,,,,1742-5468,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1742-5468,IOPScience,administrative,
Journal of the Society for Radiological Protection,0260-2814,,01/01/1981,,,31/12/1987,,,0260-2814,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0260-2814,IOPScience,administrative,
Mathematics of the USSR-Izvestiya,0025-5726,,01/01/1967,,,31/12/1992,,,0025-5726,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0025-5726,IOPScience,administrative,
Mathematics of the USSR-Sbornik,0025-5734,,01/01/1967,,,30/06/1993,,,0025-5734,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0025-5734,IOPScience,administrative,
Measurement Science and Technology,0957-0233,1361-6501,01/01/1990,,,,,,0957-0233,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0957-0233,IOPScience,administrative,
Metrologia,0026-1394,1681-7575,01/01/1965,,,,,,0026-1394,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0026-1394,IOPScience,administrative,
Modelling and Simulation in Materials Science and Engineering,0965-0393,1361-651X,01/10/1992,,,,,,0965-0393,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0965-0393,IOPScience,administrative,
Nanotechnology,0957-4484,1361-6528,01/01/1990,,,,,,0957-4484,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0957-4484,IOPScience,administrative,
New Journal of Physics,,1367-2630,01/12/1998,,,,,,1367-2630,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/1367-2630,IOPScience,administrative,
Nonlinearity,0951-7715,1361-6544,01/01/1988,,,,,,0951-7715,,full text,,IOP,,IOPScience,host,http://iopscience.iop.org/0951-7715,IOPScience,administrative,
