SO Name,NESLI2 IOS  SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ios_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,IOS Press,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
AI Communications,0921-7126,1875-8452,01/01/1987,0,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103140,Metapress,administrative,
Analytical Cellular Pathology,2210-7177,2210-7185,01/01/1997,13,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/121830,Metapress,administrative,
Applied Bionics and Biomechanics,1176-2322,1754-2103,01/01/2003,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/122258,Metapress,administrative,
Applied Ontology,1570-5838,1875-8533,01/01/2005,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/119850,Metapress,administrative,
"Asian Journal of Water, Environment and Pollution",0972-9860,1875-8568,01/01/2004,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/112105,Metapress,administrative,
Asymptotic Analysis,0921-7134,1875-8576,01/01/1998,16,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103142,Metapress,administrative,
Behavioural Neurology,0953-4180,1875-8584,01/01/1998,11,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103143,Metapress,administrative,
Bio-Medical Materials and Engineering,0959-2989,1878-3619,01/01/1997,7,6,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103145,Metapress,administrative,
BioFactors,0951-6433,1872-8081,01/01/1997,6,1,01/01/2008,34,4,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103144,Metapress,administrative,
Breast Disease,0888-6008,1558-1551,01/01/1998,10,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/105653,Metapress,administrative,
"Bridge Structures - Assessment, Design & Construction",1573-2487,1744-8999,01/01/2005,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/121802,Metapress,administrative,
Cancer Biomarkers,1574-0153,1875-8592,01/01/2005,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/113507,Metapress,administrative,
Cellular Oncology,1570-5870,1875-8606,01/01/2004,24,,01/01/2010,32,5-6,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/111799,Metapress,administrative,
Cheminformatics,1572-4778,1875-8614,01/01/2004,1,1,01/01/2004,1,1,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/112106,Metapress,administrative,
Climate law,1878-6553,1878-6561,01/01/2010,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/121801,Metapress,administrative,
Clinical Hemorheology and Microcirculation,1386-0291,1875-8622,01/01/1997,17,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103148,Metapress,administrative,
Disease Markers,0278-0240,1875-8630,01/01/1998,14,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/105291,Metapress,administrative,
