SO Name,NESLI2 Project Muse Humanities Collection 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,Project muse_humanities collection_2012-2013_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Project Muse,,,,,,,,,,,,,,,,,,,
Package Identifier,Humanities Collection,,,,,,,,,,,,,,,,,,,
Package Name,Humanities Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
a/b: Auto/Biography Studies,0898-9575,2151-7290,2009,24,1,,,,,,,,The Autobiography Society,,Project Muse,host,http://muse.jhu.edu/journals/ab_autobiography_studies,,Project Muse,administrative
American Imago,0065-860X,1085-7931,1995,52,1,,,,,,,,The Johns Hopkins University Press,,Project Muse,host,http://muse.jhu.edu/journals/american_imago,,Project Muse,administrative
American Journal of Philology,0002-9475,1086-3168,1996,117,1,,,,,,,,The Johns Hopkins University Press,,Project Muse,host,http://muse.jhu.edu/journals/american_journal_of_philology,,Project Muse,administrative
American Journal of Theology & Philosophy,0194-3448,2156-4795,2010,31,1,,,,,,,,University of Illinois Press,,Project Muse,host,http://muse.jhu.edu/journals/american_journal_of_theology_and_philosophy,,Project Muse,administrative
American Literary History,0896-7148,1468-4365,2000,12,1&2,,,,,,,,Oxford University Press,,Project Muse,host,http://muse.jhu.edu/journals/american_literary_history,,Project Muse,administrative
American Literary Realism,1540-3084,1940-5103,2007,40,1,,,,,,,,University of Illinois Press,,Project Muse,host,http://muse.jhu.edu/journals/american_literary_realism,,Project Muse,administrative
American Literary Scholarship,0065-9142,1527-2125,1998,,,,,,,,,,Duke University Press,,Project Muse,host,http://muse.jhu.edu/journals/american_literary_scholarship,,Project Muse,administrative
American Music,0734-4392,1945-2349,2009,27,1,,,,,,,,University of Illinois Press,,Project Muse,host,http://muse.jhu.edu/journals/american_music,,Project Muse,administrative
"American Periodicals: A Journal of History, Criticism, and Bibliography",1054-7479,1548-4238,2003,13,,,,,,,,,The Ohio State University Press,,Project Muse,host,http://muse.jhu.edu/journals/american_periodicals,,Project Muse,administrative
Archives of Asian Art,0066-6637,1944-6497,2008,58,,,,,,,,,University of Hawai'i Press,,Project Muse,host,http://muse.jhu.edu/journals/archives_of_asian_art,,Project Muse,administrative
Arethusa,0004-0975,1080-6504,1996,29,1,,,,,,,,The Johns Hopkins University Press,,Project Muse,host,http://muse.jhu.edu/journals/arethusa,,Project Muse,administrative
