SO Name,SHEDL Project muse 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_premium collection_2012-2013_shedl,,,,,,,,,,,,,,,,,,,
Provider,PROJECT MUSE,,,,,,,,,,,,,,,,,,,
Package Identifier,premium collection,,,,,,,,,,,,,,,,,,,
Package Name,premium collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
a/b: Auto/Biography Studies,0898-9575,2151-7290,2009,24,1,,,,,,,,The Autobiography Society,,Project muse,host,http://muse.jhu.edu/journals/ab_autobiography_studies,Project muse,administrative,
Ab Imperio,,2164-9731,,,,,,,,,,,Ab Imperio,,Project muse,host,http://muse.jhu.edu/journals/ab_imperio,Project muse,administrative,
Advertising & Society Review,,1534-7311,2000,1,1,,,,,,,,Advertising Educational Foundation,,Project muse,host,http://muse.jhu.edu/journals/advertising_and_society_review,Project muse,administrative,
Africa: The Journal of the International African Institute,0001-9720,1750-0184,2006,76,1,,,,,,,,Cambridge University Press,,Project muse,host,http://muse.jhu.edu/journals/africa_the_journal_of_the_international_african_institute,Project muse,administrative,
Africa Today,0001-9887,1527-1978,1999,46,1,,,,,,,,Indiana University Press,,Project muse,host,http://muse.jhu.edu/journals/africa_today,Project muse,administrative,
African American Review,1062-4783,1945-6182,2009,43,1,,,,,,,,Saint Louis University,,Project muse,host,http://muse.jhu.edu/journals/african_american_review,Project muse,administrative,
African Conflict & Peacebuilding Review,2156-695X,2156-7263,2011,1,1,,,,,,,,Indiana University Press,,Project muse,host,http://muse.jhu.edu/journals/african_conflict_and_peacebuilding_review,Project muse,administrative,
African Economic History,0145-2258,2163-9108,2008,36,,,,,,,,,"African Studies Program, University of Wisconsin-Madison",,Project muse,host,http://muse.jhu.edu/journals/african_economic_history,Project muse,administrative,
African Studies Review,0002-0206,1555-2462,2005,48,1,,,,,,,,African Studies Association,,Project muse,host,http://muse.jhu.edu/journals/african_studies_review,Project muse,administrative,
Alabama Review,0002-4341,,,,,,,,,,,,The University of Alabama Press,,Project muse,host,http://muse.jhu.edu/journals/alabama_review,Project muse,administrative,
Aleph: Historical Studies in Science and Judaism,1565-1525,1565-5423,2001,1,,,,,,,,,Indiana University Press,,Project muse,host,http://muse.jhu.edu/journals/aleph_historical_studies_in_science_and_judaism,Project muse,administrative,
American Annals of the Deaf,0002-726X,1543-0375,2003,148,1,,,,,,,,Gallaudet University Press,,Project muse,host,http://muse.jhu.edu/journals/american_annals_of_the_deaf,Project muse,administrative,
American Book Review,0149-9408,2153-4578,2009,31,1,,,,,,,,American Book Review,,Project muse,host,http://muse.jhu.edu/journals/american_book_review,Project muse,administrative,
American Catholic Studies,0002-7790,2161-8534,2011,122,1,,,,,,,,American Catholic Historical Society,,Project muse,host,http://muse.jhu.edu/journals/american_catholic_studies,Project muse,administrative,
American Imago,0065-860X,1085-7931,1995,52,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_imago,Project muse,administrative,
The American Indian Quarterly,0095-182X,1534-1828,2000,24,3,,,,,,,,University of Nebraska Press,,Project muse,host,http://muse.jhu.edu/journals/american_indian_quarterly,Project muse,administrative,
American Jewish History,0164-0178,1086-3141,1996,84,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_jewish_history,Project muse,administrative,
The American Journal of Bioethics,1526-5161,1536-0075,2001,1,1,2004,4,2,,,,,The MIT Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_bioethics,Project muse,administrative,
American Journal of Mathematics,0002-9327,1080-6377,1996,118,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_mathematics,Project muse,administrative,
American Journal of Philology,0002-9475,1086-3168,1996,117,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_philology,Project muse,administrative,
