SO Name,SHEDL Project Muse Social Science collection 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_socialscience collection_2012-2013_shedl,,,,,,,,,,,,,,,,,,,
Provider,Project Muse ,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Science collection,,,,,,,,,,,,,,,,,,,
Package Name,Social Science collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Advertising & Society Review,,1534-7311,2000,1,1,,,,,,,,Advertising Educational Foundation,,Project Muse ,host,http://muse.jhu.edu/journals/advertising_and_society_review,Project Muse ,administrative,
Africa: The Journal of the International African Institute,0001-9720,1750-0184,2006,76,1,,,,,,,,Cambridge University Press,,Project Muse ,host,http://muse.jhu.edu/journals/africa_the_journal_of_the_international_african_institute,Project Muse ,administrative,
Africa Today,0001-9887,1527-1978,1999,46,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/africa_today,Project Muse ,administrative,
African Economic History,0145-2258,2163-9108,2008,36,,,,,,,,,"African Studies Program, University of Wisconsin-Madison",,Project Muse ,host,http://muse.jhu.edu/journals/african_economic_history,Project Muse ,administrative,
African Studies Review,0002-0206,1555-2462,2005,48,1,,,,,,,,African Studies Association,,Project Muse ,host,http://muse.jhu.edu/journals/african_studies_review,Project Muse ,administrative,
American Annals of the Deaf,0002-726X,1543-0375,2003,148, ,,,,,,,,Gallaudet University Press,,Project Muse ,host,http://muse.jhu.edu/journals/american_annals_of_the_deaf,Project Muse ,administrative,
The American Indian Quarterly,0095-182X,1534-1828,2000,24,3,,,,,,,,University of Nebraska Press,,Project Muse ,host,http://muse.jhu.edu/journals/american_indian_quarterly,Project Muse ,administrative,
Anthropological Quarterly,0003-5491,1534-1518,2000,73,3,,,,,,,,George Washington University Institute for Ethnographic Research,,Project Muse ,host,http://muse.jhu.edu/journals/anthropological_quarterly,Project Muse ,administrative,
ASEAN Economic Bulletin,0217-4472,1793-2831,2003,20,1,,,,,,,,Institute of Southeast Asian Studies,,Project Muse ,host,http://muse.jhu.edu/journals/asean_economic_bulletin,Project Muse ,administrative,
Brookings Papers on Economic Activity,0007-2303,1533-4465,2000,,1,,,,,,,,Brookings Institution Press,,Project Muse ,host,http://muse.jhu.edu/journals/brookings_papers_on_economic_activity,Project Muse ,administrative,
Brookings Papers on Education Policy,1096-2719,1533-4457,2000,,,,2007,,,,,,Brookings Institution Press,,Project Muse ,host,http://muse.jhu.edu/journals/brookings_papers_on_education_policy,Project Muse ,administrative,
Brookings Trade Forum,1520-5479,1534-0635,2000,,,,2009,,,,,,Brookings Institution Press,,Project Muse ,host,http://muse.jhu.edu/journals/brookings_trade_forum,Project Muse ,administrative,
Brookings-Wharton Papers on Urban Affairs,1528-7084,1533-4449,2000,,,,2009,,,,,,Brookings Institution Press,,Project Muse ,host,http://muse.jhu.edu/journals/brookings-wharton_papers_on_urban_affairs,Project Muse ,administrative,
Bulletin of the History of Medicine,0007-5140,1086-3176,1996,70,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/bulletin_of_the_history_of_medicine,Project Muse ,administrative,
Canadian Ethnic Studies,0008-3496,1913-8253,1007,39,  ,,,,,,,,Canadian Ethnic Studies Association,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_ethnic_studies,Project Muse ,administrative,
The Canadian Historical Review,0008-3755,1710-1093,2004,85,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_historical_review,Project Muse ,administrative,
Canadian Journal of Criminology and Criminal Justice,1707-7753,1911-0219,2006,48,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_journal_of_criminology_and_criminal_justice,Project Muse ,administrative,
Canadian Journal of Law and Society,0829-3201,1911-0227,2005,20,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_journal_of_law_and_society,Project Muse ,administrative,
Canadian Journal of Women and the Law,0832-8781,1911-0235,2005,17,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_journal_of_women_and_the_law,Project Muse ,administrative,
Canadian Journal on Aging / La Revue canadienne du vieillissement,0714-9808,1710-1107,2004,23,1,,,,,,,,Cambridge University Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_journal_on_aging,Project Muse ,administrative,
Canadian Public Policy,0317-0861,1911-9917,2009,3,5,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/canadian_public_policy,Project Muse ,administrative,
China: An International Journal,0219-7472,0219-8614,2003,1,1,,,,,,,,NUS Press Pte Ltd,,Project Muse ,host,http://muse.jhu.edu/journals/china,Project Muse ,administrative,
"Comparative Studies of South Asia, Africa and the Middle East",1089-201X,1548-226X,2000,20,1,,,,,,,,Duke University Press,,Project Muse ,host,http://muse.jhu.edu/journals/comparative_studies_of_south_asia_africa_and_the_middle_east,Project Muse ,administrative,
Comparative Technology Transfer and Society,1542-0132,1543-3404,2003,1,1,,2009,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/comparative_technology_transfer_and_society,Project Muse ,administrative,
The Contemporary Pacific,1043-898X,1527-9464,2000,12,1,,,,,,,,University of Hawai'i Press,,Project Muse ,host,http://muse.jhu.edu/journals/contemporary_pacific,Project Muse ,administrative,
Contemporary Southeast Asia: A Journal of International and Strategic Affairs,0129-797X,1793-284X,2003,25,1,,,,,,,,Institute of Southeast Asian Studies,,Project Muse ,host,http://muse.jhu.edu/journals/contemporary_southeast_asia_a_journal_of_international_and_strategic_affairs,Project Muse ,administrative,
Demography,0070-3370,1533-7790,2000,37,4,,2010,,,,,,Population Association of America,,Project Muse ,host,http://muse.jhu.edu/journals/demography,Project Muse ,administrative,
Diaspora: A Journal of Transnational Studies,1044-2057,1911-1568,1991,1,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/diaspora_a_journal_of_transnational_studies,Project Muse ,administrative,
e-Service Journal,1528-8226,1528-8234,2001,1,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/eservice_journal,Project Muse ,administrative,
