SO Name,NESLI2 Project muse 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_standard collection_2012-2013_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,PROJECT MUSE,,,,,,,,,,,,,,,,,,,
Package Identifier,Standard collection,,,,,,,,,,,,,,,,,,,
Package Name,Standard collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Advertising & Society Review,,1534-7311,2000,1,1,,,,,,,,Advertising Educational Foundation,,Project muse,host,http://muse.jhu.edu/journals/advertising_and_society_review,Project muse,administrative,
Africa: The Journal of the International African Institute,0001-9720,1750-0184,2006,76,1,,,,,,,,Cambridge University Press,,Project muse,host,http://muse.jhu.edu/journals/africa_the_journal_of_the_international_african_institute,Project muse,administrative,
Africa Today,0001-9887,1527-1978,1999,46,1,,,,,,,,Indiana University Press,,Project muse,host,http://muse.jhu.edu/journals/africa_today,Project muse,administrative,
African American Review,1062-4783,1945-6182,2009,43,1,,,,,,,,Saint Louis University,,Project muse,host,http://muse.jhu.edu/journals/african_american_review,Project muse,administrative,
African Studies Review,0002-0206,1555-2462,2005,48,1,,,,,,,,African Studies Association,,Project muse,host,http://muse.jhu.edu/journals/african_studies_review,Project muse,administrative,
Aleph: Historical Studies in Science and Judaism,1565-1525,1565-5423,2001,1,,,,,,,,,Indiana University Press,,Project muse,host,http://muse.jhu.edu/journals/aleph_historical_studies_in_science_and_judaism,Project muse,administrative,
American Annals of the Deaf,0002-726X,1543-0375,2003,148,1,,,,,,,,Gallaudet University Press,,Project muse,host,http://muse.jhu.edu/journals/american_annals_of_the_deaf,Project muse,administrative,
American Imago,0065-860X,1085-7931,1995,52,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_imago,Project muse,administrative,
The American Indian Quarterly,0095-182X,1534-1828,2000,24,3,,,,,,,,University of Nebraska Press,,Project muse,host,http://muse.jhu.edu/journals/american_indian_quarterly,Project muse,administrative,
American Jewish History,0164-0178,1086-3141,1996,84,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_jewish_history,Project muse,administrative,
The American Journal of Bioethics,1526-5161,1536-0075,2001,1,1,2004,,,,,,,The MIT Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_bioethics,Project muse,administrative,
American Journal of Mathematics,0002-9327,1080-6377,1996,118,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_mathematics,Project muse,administrative,
American Journal of Philology,0002-9475,1086-3168,1996,117,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_journal_of_philology,Project muse,administrative,
American Literary History,0896-7148,1468-4365,2000,12,1,,,,,,,,Oxford University Press,,Project muse,host,http://muse.jhu.edu/journals/american_literary_history,Project muse,administrative,
American Literary Realism,1540-3084,1940-5103,2007,40,1,,,,,,,,University of Illinois Press,,Project muse,host,http://muse.jhu.edu/journals/american_literary_realism,Project muse,administrative,
American Literary Scholarship,0065-9142,1527-2125,1998,,,,,,,,,,Duke University Press,,Project muse,host,http://muse.jhu.edu/journals/american_literary_scholarship,Project muse,administrative,
American Literature,0002-9831,1527-2117,1999,71,3,2004,,,,,,,Duke University Press,,Project muse,host,http://muse.jhu.edu/journals/american_literature,Project muse,administrative,
American Music,0734-4392,1945-2349,2009,27,1,,,,,,,,University of Illinois Press,,Project muse,host,http://muse.jhu.edu/journals/american_music,Project muse,administrative,
"American Periodicals: A Journal of History, Criticism, and Bibliography",1054-7479,1548-4238,2003,13,,,,,,,,,The Ohio State University Press,,Project muse,host,http://muse.jhu.edu/journals/american_periodicals,Project muse,administrative,
American Quarterly,0003-0678,1080-6490,1996,48,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/american_quarterly,Project muse,administrative,
American Speech,0003-1283,1527-2133,2000,75,1,1999,,,,,,,Duke University Press,,Project muse,host,http://muse.jhu.edu/journals/american_speech,Project muse,administrative,
American Studies,0026-3079,2153-6856,2007,48,1,,,,,,,,Mid-American Studies Association,,Project muse,host,http://muse.jhu.edu/journals/american_studies,Project muse,administrative,
The Americas,0003-1615,1533-6247,2000,57,2,,,,,,,,The Academy of American Franciscan History,,Project muse,host,http://muse.jhu.edu/journals/the_americas,Project muse,administrative,
Anthropological Linguistics,0003-5483,1944-6527,2009,51,,,,,,,,,University of Nebraska Press,,Project muse,host,http://muse.jhu.edu/journals/anthropological_linguistics,Project muse,administrative,
Anthropological Quarterly,0003-5491,1534-1518,2000,73,3,,,,,,,,George Washington University Institute for Ethnographic Research,,Project muse,host,http://muse.jhu.edu/journals/anthropological_quarterly,Project muse,administrative,
Archives of Asian Art,0066-6637,1944-6497,2008,58,,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/archives_of_asian_art,Project muse,administrative,
Arethusa,0004-0975,1080-6504,1996,29,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/arethusa,Project muse,administrative,
"Arizona Quarterly: A Journal of American Literature, Culture, and Theory",0004-1610,1558-9595,,62,1,,,,,,,,University of Arizona,,Project muse,host,http://muse.jhu.edu/journals/arizona_quarterly_a_journal_of_american_literature_culture_and_theory,Project muse,administrative,
Asian Music,0044-9202,1553-5630,2005,36,1,,,,,,,,University of Texas Press,,Project muse,host,http://muse.jhu.edu/journals/asian_music,Project muse,administrative,
Asian Perspectives,0066-8435,1535-8283,2000,39,1,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/asian_perspectives,Project muse,administrative,
Asian Theatre Journal,0742-5457,1527-2109,1999,16,2,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/asian_theatre_journal,Project muse,administrative,
Biography,0162-4962,1529-1456,1978,1,1,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/biography,Project muse,administrative,
Black Music Research Journal,0276-3605,1946-1615,2010,30,1,,,,,,,,University of Illinois Press,,Project muse,host,http://muse.jhu.edu/journals/black_music_research_journal,Project muse,administrative,
