SO Name,NESLI2 Wiley Online Library Medicine and  2012_2014,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Medicine and Nursing_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Medicine and Nursing,,,,,,,,,,,,,,,,,,,
Package Name,Medicine and Nursing,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
JOURNAL OF APPLIED BIOBEHAVIORAL RESEARCH,1071-2089,1751-9861,1997,,,,,,,,,,,10.1111/(ISSN)1751-9861,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-9861,Wiley Online Library,administrative,
MYCOSES,0933-7407,1439-0507,1997,,,,,,,,,,,10.1111/(ISSN)1439-0507,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0507,Wiley Online Library,administrative,
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,1997,,,,,,,,,free back issues after 1 year back to 1998,,10.1002/(ISSN)1096-8652,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652,Wiley Online Library,administrative,
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274,1997,,,,,,,,,,,10.1002/(ISSN)1097-0274,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274,Wiley Online Library,administrative,
APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,1997,,,,,,,,,,,10.1002/(ISSN)1099-0720,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720,Wiley Online Library,administrative,
BIOPHARMACEUTICS AND DRUG DISPOSITION,0142-2782,1099-081X,1997,,,,,,,,,,,10.1002/(ISSN)1099-081X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-081X,Wiley Online Library,administrative,
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,1997,,,,,,,,,,,10.1002/(ISSN)1522-726X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-726X,Wiley Online Library,administrative,
CELL BIOCHEMISTRY AND FUNCTION  (ELECTRONIC),0263-6484,1099-0844,1997,,,,,,,,,,,10.1002/(ISSN)1099-0844,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0844,Wiley Online Library,administrative,
CHILD ABUSE REVIEW,0952-9136,1099-0852,1997,,,,,,,,,,,10.1002/(ISSN)1099-0852,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0852,Wiley Online Library,administrative,
CLINICAL PSYCHOLOGIST,1328-4207,1742-9552,1997,,,,,,,,,,,10.1111/(ISSN)1742-9552,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9552,Wiley Online Library,administrative,
CONCEPTS IN MAGNETIC RESONANCE,1546-6086,1552-5023,1997,,,,,,,,,,,10.1002/(ISSN)1552-5023,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-5023,Wiley Online Library,administrative,
CRIMINAL BEHAVIOUR AND MENTAL HEALTH,0957-9664,1471-2857,1997,,,,,,,,,,,10.1002/(ISSN)1471-2857,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1471-2857,Wiley Online Library,administrative,
DEPRESSION AND ANXIETY,1091-4269,1520-6394,1997,,,,,,,,,,,10.1002/(ISSN)1520-6394,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6394,Wiley Online Library,administrative,
DIAGNOSTIC CYTOPATHOLOGY,8755-1039,1097-0339,1997,,,,,,,,,,,10.1002/(ISSN)1097-0339,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0339,Wiley Online Library,administrative,
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,1997,,,,,,,,,,,10.1002/(ISSN)1098-2280,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2280,Wiley Online Library,administrative,
EUROPEAN JOURNAL OF PERSONALITY,0890-2070,1099-0984,1997,,,,,,,,,,,10.1002/(ISSN)1099-0984,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0984,Wiley Online Library,administrative,
"GENES, CHROMOSOMES AND CANCER",1045-2257,1098-2264,1997,,,,,,,,,,,10.1002/(ISSN)1098-2264,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2264,Wiley Online Library,administrative,
HEAD & NECK: JOURNAL FOR THE SCIENCES &  SPECIALTIES OF THE HEAD AND NECK,1043-3074,1097-0347,1997,,,,,,,,,,,10.1002/(ISSN)1097-0347,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0347,Wiley Online Library,administrative,
HEALTH ECONOMICS,1057-9230,1099-1050,1997,,,,,,,,,,,10.1002/(ISSN)1099-1050,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1050,Wiley Online Library,administrative,
HEMATOLOGICAL ONCOLOGY,0278-0232,1099-1069,1997,,,,,,,,,,,10.1002/(ISSN)1099-1069,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1069,Wiley Online Library,administrative,
HEPATOLOGY,0270-9139,1527-3350,1997,,,,,,,,,free back issues after 1 year back to 1996,,10.1002/(ISSN)1527-3350,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-3350,Wiley Online Library,administrative,
HUMAN PSYCHOPHARMACOLOGY: CLINICAL AND  EXPERIMENTAL,0885-6222,1099-1077,1997,,,,,,,,,,,10.1002/(ISSN)1099-1077,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1077,Wiley Online Library,administrative,
INTERNATIONAL JOURNAL OF CANCER,0020-7136,1097-0215,1997,,,,,,,,,,,10.1002/(ISSN)1097-0215,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0215,Wiley Online Library,administrative,
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,0885-6230,1099-1166,1997,,,,,,,,,,,10.1002/(ISSN)1099-1166,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1166,Wiley Online Library,administrative,
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND  MANAGEMENT,0749-6753,1099-1751,1997,,,,,,,,,,,10.1002/(ISSN)1099-1751,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1751,Wiley Online Library,administrative,
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND  TECHNOLOGY,0899-9457,1098-1098,1997,,,,,,,,,,,10.1002/(ISSN)1098-1098,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1098,Wiley Online Library,administrative,
JOURNAL OF CLINICAL APHERESIS,0733-2459,1098-1101,1997,,,,,,,,,,,10.1002/(ISSN)1098-1101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1101,Wiley Online Library,administrative,
JOURNAL OF CLINICAL LABORATORY ANALYSIS,0887-8013,1098-2825,1997,,,,,,,,,,,10.1002/(ISSN)1098-2825,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2825,Wiley Online Library,administrative,
JOURNAL OF CLINICAL ULTRASOUND,0091-2751,1097-0096,1997,,,,,,,,,,,10.1002/(ISSN)1097-0096,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0096,Wiley Online Library,administrative,
JOURNAL OF MEDICAL VIROLOGY,0146-6615,1096-9071,1997,,,,,,,,,,,10.1002/(ISSN)1096-9071,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9071,Wiley Online Library,administrative,
JOURNAL OF SURGICAL ONCOLOGY,0022-4790,1096-9098,1997,,,,,,,,,,,10.1002/(ISSN)1096-9098,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9098,Wiley Online Library,administrative,
LASERS IN SURGERY AND MEDICINE,0196-8092,1096-9101,1997,,,,,,,,,,,10.1002/(ISSN)1096-9101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9101,Wiley Online Library,administrative,
MEDICINAL RESEARCH REVIEWS,0198-6325,1098-1128,1997,,,,,,,,,,,10.1002/(ISSN)1098-1128,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1128,Wiley Online Library,administrative,
MICROSURGERY,0738-1085,1098-2752,1997,,,,,,,,,,,10.1002/(ISSN)1098-2752,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2752,Wiley Online Library,administrative,
MOLECULAR CARCINOGENESIS,0899-1987,1098-2744,1997,,,,,,,,,,,10.1002/(ISSN)1098-2744,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2744,Wiley Online Library,administrative,
MUSCLE AND NERVE,0148-639X,1097-4598,1997,,,,,,,,,,,10.1002/(ISSN)1097-4598,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4598,Wiley Online Library,administrative,
NEUROUROLOGY AND URODYNAMICS,0733-2467,1520-6777,1997,,,,,,,,,,,10.1002/(ISSN)1520-6777,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6777,Wiley Online Library,administrative,
NMR IN BIOMEDICINE,0952-3480,1099-1492,1997,,,,,,,,,,,10.1002/(ISSN)1099-1492,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1492,Wiley Online Library,administrative,
PEDIATRIC BLOOD & CANCER,1545-5009,1545-5017,1997,,,,,,,,,,,10.1002/(ISSN)1545-5017,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1545-5017,Wiley Online Library,administrative,
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,1053-8569,1099-1557,1997,,,,,,,,,,,10.1002/(ISSN)1099-1557,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1557,Wiley Online Library,administrative,
PHYTOTHERAPY RESEARCH,0951-418X,1099-1573,1997,,,,,,,,,,,10.1002/(ISSN)1099-1573,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1573,Wiley Online Library,administrative,
PRENATAL DIAGNOSIS,0197-3851,1097-0223,1997,,,,,,,,,,,10.1002/(ISSN)1097-0223,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0223,Wiley Online Library,administrative,
PSYCHO-ONCOLOGY,1057-9249,1099-1611,1997,,,,,,,,,,,10.1002/(ISSN)1099-1611,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1611,Wiley Online Library,administrative,
RESEARCH IN NURSING & HEALTH,0160-6891,1098-240X,1997,,,,,,,,,,,10.1002/(ISSN)1098-240X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-240X,Wiley Online Library,administrative,
REVIEWS IN MEDICAL VIROLOGY,1052-9276,1099-1654,1997,,,,,,,,,,,10.1002/(ISSN)1099-1654,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1654,Wiley Online Library,administrative,
STRESS AND HEALTH,1532-3005,1532-2998,1997,,,,,,,,,,,10.1002/(ISSN)1532-2998,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-2998,Wiley Online Library,administrative,
THE JOURNAL OF PATHOLOGY,0022-3417,1096-9896,1997,,,,,,,,,,,10.1002/(ISSN)1096-9896,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9896,Wiley Online Library,administrative,
THE PROSTATE,0270-4137,1097-0045,1997,,,,,,,,,,,10.1002/(ISSN)1097-0045,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0045,Wiley Online Library,administrative,
