SO Name,NESLI2 Wiley Online Library Opt in Titles 2012_2014,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Opt in Titles_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Opt in Titles,,,,,,,,,,,,,,,,,,,
Package Name,Opt in Titles,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ADVANCED ENERGY MATERIALS,1614-6832,1614-6840,2011,,,,,,,,,,,10.1002/(ISSN)1614-6840,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840,Wiley online Library,administrative,
ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,2012,,,,,,,,,,,10.1002/(ISSN)2192-2659,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659,Wiley online Library,administrative,
BASIC AND APPLIED PATHOLOGY,,1755-9294,2008,,,,,,,,,,,10.1111/(ISSN)1755-9294,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-9294,Wiley online Library,administrative,
CLINICAL LIVER DISEASE,n/a,2046-2484,2012,,,,,,,,,,,10.1111/(ISSN)2046-2484,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2046-2484,Wiley online Library,administrative,
CLINICAL OBESITY,1758-8103,1758-8111,2011,,,,,,,,,,,10.1111/(ISSN)1758-8111,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-8111,Wiley online Library,administrative,
GLOBAL STRATEGY JOURNAL,2042-5791,2042-5805,2011,,,,,,,,,,,10.1002/(ISSN)2042-5805,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2042-5805,Wiley online Library,administrative,
GREENHOUSE GASES: SCIENCE AND TECHNOLOGY,-,2152-3878,2011,,,,,,,,,,,10.1002/(ISSN)2152-3878,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2152-3878,Wiley online Library,administrative,
INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY,2042-6976,2042-6984,2011,,,,,,,,,,,10.1002/(ISSN)2042-6984,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2042-6984,Wiley online Library,administrative,
PSYCH JOURNAL,2046-0252,2046-0260,2012,,,,,,,,,,,10.1002/(ISSN)2046-0260,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2046-0260,Wiley online Library,administrative,
RESEARCH SYNTHESIS METHODS,1759-2879,1759-2887,2009,,,,,,,,,,,10.1002/(ISSN)1759-2887,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1759-2887,Wiley online Library,administrative,
REVIEW OF BEHAVIORAL FINANCE  ,-,1940-5987,2009,,,,,,,,,,,10.1002/(ISSN)1940-5987,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1940-5987,Wiley online Library,administrative,
THORACIC CANCER,1759-7706,1759-7714,2010,,,,,,,,,,,10.1111/(ISSN)1759-7714,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-7714,Wiley online Library,administrative,
THOUGHT: A JOURNAL OF PHILOSOPHY ,-,2161-2234,2012,,,,,,,,,,,10.1111/(ISSN)2161-2234,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-2234,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: COMPUTATIONAL MOLECULAR SCIENCE,1759-0876,1759-0884,,,,,,,,,,,,10.1111/(ISSN)1759-0884,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-0884,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY,1942-4787,1942-4795,,,,,,,,,,,,10.1111/(ISSN)1942-4795,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1942-4795,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: DEVELOPMENTAL BIOLOGY,1759-7684,1759-7692,,,,,,,,,,,,10.1111/(ISSN)1759-7692,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-7692,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: ENERGY AND ENVIRONMENT,2041-8396,2041-840X,,,,,,,,,,,,10.1002/(ISSN)2041-840X,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2041-840X,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: MEMBRANE TRANSPORT AND SIGNALLING,2190-460X,2190-4618,,,,,,,,,,,,10.1002/(ISSN)2190-4618,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2190-4618,Wiley online Library,administrative,
WILEY INTERDISCIPLINARY REVIEWS: RNA,1757-7004,1757-7012,,,,,,,,,,,,10.1002/(ISSN)1757-7012,Wiley online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1757-7012,Wiley online Library,administrative,
