SO Name,NESLI2 Wiley Online Library Social Sciences and Humanities 2012_2014,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_SSH Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Sciences and Humanities,,,,,,,,,,,,,,,,,,,
Package Name,Social Sciences and Humanities,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,0969-6016,1475-3995,1997,,,,,,,,,,,10.1111/(ISSN)1475-3995,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-3995,Wiley Online Library,administrative,
JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,-,1083-6101,1997,,,,,,,,,,,10.1111/(ISSN)1083-6101,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101,Wiley Online Library,administrative,
MANAGEMENT REPORT FOR NONUNION ORGANIZATIONS,0745-4880,1530-8286,1997,,,,,,,,,,,10.1002/(ISSN)1530-8286,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1530-8286,Wiley Online Library,administrative,
AGRIBUSINESS : AN INTERNATIONAL JOURNAL,0742-4477,1520-6297,1997,,,,,,,,,,,10.1002/(ISSN)1520-6297,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297,Wiley Online Library,administrative,
ALTERNATIVES TO THE HIGH COST OF LITIGATION,1549-4373,1549-4381,1997,,,,,,,,,,,10.1002/(ISSN)1549-4381,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381,Wiley Online Library,administrative,
APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,1997,,,,,,,,,,,10.1002/(ISSN)1099-0720,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720,Wiley Online Library,administrative,
BEHAVIORAL INTERVENTIONS,1072-0847,1099-078X,1997,,,,,,,,,,,10.1002/(ISSN)1099-078X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-078X,Wiley Online Library,administrative,
BEHAVIORAL SCIENCES & THE LAW,0735-3936,1099-0798,1997,,,,,,,,,,,10.1002/(ISSN)1099-0798,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0798,Wiley Online Library,administrative,
BELL LABS TECHNICAL JOURNAL,1089-7089,1538-7305,1997,,,,,,,,,,,10.1002/(ISSN)1538-7305,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1538-7305,Wiley Online Library,administrative,
BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,1099-0836,1997,,,,,,,,,,,10.1002/(ISSN)1099-0836,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0836,Wiley Online Library,administrative,
