SO Name,NESLI2 Wileyl Online Library Science Technology and Medicine 2012_2014,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_STM Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Science Technology and Medicine,,,,,,,,,,,,,,,,,,,
Package Name,Science Technology and Medicine,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION  SCIENCE AND TECHNOLOGY,1532-2882,1532-2890,1997,,,,,,,,,,,10.1002/(ISSN)1532-2890,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-2890,Wiley Online Library,administrative,
SCANNING - THE JOURNAL OF SCANNING MICROSCOPIES,0161-0457,1932-8745,1997,,,,,,,,,,,10.1002/(ISSN)1932-8745,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8745,Wiley Online Library,administrative,
BULLETIN OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC),-,1550-8366,1997,,,,,,,,,,,10.1002/(ISSN)1550-8366,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8366,Wiley Online Library,administrative,
JOURNAL OF APPLIED BIOBEHAVIORAL RESEARCH,1071-2089,1751-9861,1997,,,,,,,,,,,10.1111/(ISSN)1751-9861,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-9861,Wiley Online Library,administrative,
MYCOSES,0933-7407,1439-0507,1997,,,,,,,,,,,10.1111/(ISSN)1439-0507,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0507,Wiley Online Library,administrative,
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,1997,,,,,,,,,,,10.1002/(ISSN)1098-2329,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329,Wiley Online Library,administrative,
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,1997,,,,,,,,,,,10.1002/(ISSN)1098-2337,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337,Wiley Online Library,administrative,
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,1997,,,,,,,,,free back issues after 1 year back to 1998,,10.1002/(ISSN)1096-8652,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652,Wiley Online Library,administrative,
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300,1997,,,,,,,,,,,10.1002/(ISSN)1520-6300,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300,Wiley Online Library,administrative,
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274,1997,,,,,,,,,,,10.1002/(ISSN)1097-0274,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274,Wiley Online Library,administrative,
AMERICAN JOURNAL OF MEDICAL GENETICS,1552-4868,1552-4833,1997,,,,,,,,,,,10.1002/(ISSN)1552-4876,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876,Wiley Online Library,administrative,
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,1096-8644,1997,,,,,,,,,,,10.1002/(ISSN)1096-8644,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644,Wiley Online Library,administrative,
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345,1997,,,,,,,,,,,10.1002/(ISSN)1098-2345,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345,Wiley Online Library,administrative,
APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,1997,,,,,,,,,,,10.1002/(ISSN)1099-0739,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0739,Wiley Online Library,administrative,
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,1524-1904,1526-4025,1997,,,,,,,,,,,10.1002/(ISSN)1526-4025,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025,Wiley Online Library,administrative,
AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,1052-7613,1099-0755,1997,,,,,,,,,,,10.1002/(ISSN)1099-0755,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0755,Wiley Online Library,administrative,
ARCHAEOLOGICAL PROSPECTION,1075-2196,1099-0763,1997,,,,,,,,,,,10.1002/(ISSN)1099-0763,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0763,Wiley Online Library,administrative,
BIOELECTROMAGNETICS,0197-8462,1521-186X,1997,,,,,,,,,,,10.1002/(ISSN)1521-186X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-186X,Wiley Online Library,administrative,
BIOMEDICAL CHROMATOGRAPHY,0269-3879,1099-0801,1997,,,,,,,,,,,10.1002/(ISSN)1099-0801,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0801,Wiley Online Library,administrative,
BIOPHARMACEUTICS AND DRUG DISPOSITION,0142-2782,1099-081X,1997,,,,,,,,,,,10.1002/(ISSN)1099-081X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-081X,Wiley Online Library,administrative,
BIOPOLYMERS,0006-3525,1097-0282,1997,,,,,,,,,,,10.1002/(ISSN)1097-0282,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0282,Wiley Online Library,administrative,
BIOTECHNOLOGY & BIOENGINEERING,0006-3592,1097-0290,1997,,,,,,,,,,,10.1002/(ISSN)1097-0290,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0290,Wiley Online Library,administrative,
BIRTH DEFECTS RESEARCH,1542-9768,1542-0760,1997,,,,,,,,,,,10.1002/(ISSN)1542-0760,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-0760,Wiley Online Library,administrative,
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,1997,,,,,,,,,,,10.1002/(ISSN)1522-726X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-726X,Wiley Online Library,administrative,
CELL BIOCHEMISTRY AND FUNCTION  (ELECTRONIC),0263-6484,1099-0844,1997,,,,,,,,,,,10.1002/(ISSN)1099-0844,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0844,Wiley Online Library,administrative,
CHIRALITY,0899-0042,1520-636X,1997,,,,,,,,,,,10.1002/(ISSN)1520-636X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-636X,Wiley Online Library,administrative,
CLINICAL ANATOMY,0897-3806,1098-2353,1997,,,,,,,,,,,10.1002/(ISSN)1098-2353,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2353,Wiley Online Library,administrative,
COLOR RESEARCH & APPLICATION,0361-2317,1520-6378,1997,,,,,,,,,,,10.1002/(ISSN)1520-6378,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6378,Wiley Online Library,administrative,
COMMUNICATIONS ON PURE & APPLIED MATHEMATICS,0010-3640,1097-0312,1997,,,,,,,,,,,10.1002/(ISSN)1097-0312,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0312,Wiley Online Library,administrative,
COMPLEXITY (ELECTRONIC),1076-2787,1099-0526,1997,,,,,,,,,,,10.1002/(ISSN)1099-0526,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526,Wiley Online Library,administrative,
