SO Name,NESLI2 ACS collection 2012-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ACS_collection_2012-2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,ACS,,,,,,,,,,,,,,,,,,,
Package Identifier,Web Editions,,,,,,,,,,,,,,,,,,,
Package Name,ACS Web Editions,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ACS Applied Materials & Interfaces,1944-8244,1944-8252,28/01/2009,1,1,,,,aamick,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/aamick,ACS Publications,administrative,
ACS Catalysis,2155-5435,2155-5435,07/01/2011,1,1,,,,accacs,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/accacs,ACS Publications,administrative,
ACS Chemical Biology,1554-8929,1554-8937,01/02/2006,1,1,,,,acbcct,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/acbcct,ACS Publications,administrative,
ACS Chemical Neuroscience,,1948-7193,20/01/2010,1,1,,,,acncdm,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/acncdm,ACS Publications,administrative,
ACS Combinatorial Chemistry,1520-4766,1520-4774,01/01/1999,1,1,08/11/2010,12,6,acsccc,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/acsccc,ACS Publications,administrative,
ACS Combinatorial Science,2156-8952,2156-8944,01/01/2011,13,1,,,,acsccc,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/acsccc,ACS Publications,administrative,
ACS Medicinal Chemistry Letters,,1948-5875,08/04/2010,1,1,,,,amclct,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/amclct,ACS Publications,administrative,
ACS Macro Letters,,2161-1653,17/01/2012,1,1,,,,amlccd,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/amlccd,ACS Publications,administrative,
ACS Synthetic Biology,,2161-5063,20/01/2012,1,1,,,,asbcd6,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/asbcd6,ACS Publications,administrative,
ACS Nano,1936-0851,1936-086X,01/08/2007,1,1,,,,ancac3,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/ancac3,ACS Publications,administrative,
Accounts of Chemical Research,0001-4842,1520-4898,01/01/1968,1,1,,,,achre4,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/achre4,ACS Publications,administrative,
Analytical Chemistry,0003-2700,1520-6882,01/01/1929,1,1,,,,ancham,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/ancham,ACS Publications,administrative,
Biochemistry,0006-2960,1520-4995,01/01/1962,1,1,,,,bichaw,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bichaw,ACS Publications,administrative,
Bioconjugate Chemistry,1043-1802,1520-4812,01/01/1990,1,1,,,,bcches,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bcches,ACS Publications,administrative,
Biomacromolecules,1525-7797,1526-4602,01/03/2000,1,1,,,,bomaf6,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bomaf6,ACS Publications,administrative,
Biotechnology Progress,8756-7938,1520-6033,01/01/1990,6,1,01/11/1995,11,6,bipret,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/bipret,ACS Publications,administrative,
Chemical Research in Toxicology,0893-228X,1520-5010,01/01/1988,1,1,,,,crtoec,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/crtoec,ACS Publications,administrative,
Chemical Reviews,0009-2665,1520-6890,01/04/1924,1,1,,,,chreay,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/chreay,ACS Publications,administrative,
Chemistry of Materials,0897-4756,1520-5002,01/01/1989,1,1,,,,cmatex,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/cmatex,ACS Publications,administrative,
Crystal Growth & Design,1528-7483,1528-7505,01/01/2001,1,1,,,,cgdefu,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/cgdefu,ACS Publications,administrative,
Energy & Fuels,0887-0624,1520-5029,01/01/1987,1,1,,,,enfuem,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/enfuem,ACS Publications,administrative,
Environmental Science & Technology,0013-936X,1520-5851,01/01/1967,1,1,,,,esthag,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/esthag,ACS Publications,administrative,
Industrial & Engineering Chemistry,0019-7866,1541-5724,01/01/1909,1,1,01/12/1970,62,12,iechad,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/iechad,ACS Publications,administrative,
Industrial & Engineering Chemistry Fundamentals,0196-4313,1541-4833,01/02/1962,1,1,01/11/1986,25,4,iecfa7,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/iecfa7,ACS Publications,administrative,
Industrial & Engineering Chemistry Process Design and Development,0196-4305,1541-5716,01/01/1962,1,1,01/10/1986,25,4,iepdaw,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/iepdaw,ACS Publications,administrative,
Industrial & Engineering Chemistry Product Research and Development,0196-4321,1541-4841,01/03/1962,1,1,01/12/1986,25,4,iepra6,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/iepra6,ACS Publications,administrative,
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,01/01/1987,26,1,,,,iecred,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/iecred,ACS Publications,administrative,
Inorganic Chemistry,0020-1669,1520-510X,01/02/1962,1,1,,,,inocaj,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/inocaj,ACS Publications,administrative,
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,01/04/1953,1,1,,,,jafcau,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jafcau,ACS Publications,administrative,
Journal of Chemical & Engineering Data,0021-9568,1520-5134,01/01/1956,1,1,,,,jceaax,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jceaax,ACS Publications,administrative,
Journal of Chemical Information and Modeling,1549-9596,1549-960X,01/01/1961,1,1,,,,jcisd8,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jcisd8,ACS Publications,administrative,
Journal of Chemical Theory and Computation,1549-9618,1549-9626,01/01/2005,1,1,,,,jctcce,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jctcce,ACS Publications,administrative,
Journal of Medicinal Chemistry,0022-2623,1520-4804,01/02/1959,1,1,,,,jmcmar,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jmcmar,ACS Publications,administrative,
Journal of Natural Products,0163-3864,1520-6025,01/01/1979,42,1,,,,jnprdf,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jnprdf,ACS Publications,administrative,
Journal of Proteome Research,1535-3893,1535-3907,01/02/2002,1,1,,,,jprobs,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jprobs,ACS Publications,administrative,
Journal of the American Chemical Society,0002-7863,1520-5126,01/01/1879,1,1,,,,jacsat,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jacsat,ACS Publications,administrative,
Langmuir,0743-7463,1520-5827,01/01/1985,1,1,,,,langd5,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/langd5,ACS Publications,administrative,
Macromolecules,0024-9297,1520-5835,01/01/1968,1,1,,,,mamobx,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/mamobx,ACS Publications,administrative,
Molecular Pharmaceutics,1543-8384,1543-8392,01/01/2004,1,1,,,,mpohbp,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/mpohbp,ACS Publications,administrative,
Nano Letters,1530-6984,1530-6992,01/01/2001,1,1,,,,nalefd,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/nalefd,ACS Publications,administrative,
Organic Letters,1523-7060,1523-7052,01/07/1999,1,1,,,,orlef7,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/orlef7,ACS Publications,administrative,
Organic Process Research & Development,1083-6160,1520-586X,01/01/1997,1,1,,,,oprdfk,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/oprdfk,ACS Publications,administrative,
Organometallics,0276-7333,1520-6041,01/01/1982,1,1,,,,orgnd7,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/orgnd7,ACS Publications,administrative,
The Journal of Organic Chemistry,0022-3263,1520-6904,01/03/1936,1,1,,,,joceah,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/joceah,ACS Publications,administrative,
The Journal of Physical Chemistry,0022-3654,1541-5740,01/10/1896,1,1,01/01/1996,100,9,jpchax,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jpchax,ACS Publications,administrative,
The Journal of Physical Chemistry A,1089-5639,1520-5215,01/01/1997,101,1,,,,jpcafh,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jpcafh,ACS Publications,administrative,
The Journal of Physical Chemistry B,1520-6106,1520-5207,01/01/1997,101,1,,,,jpcbfk,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jpcbfk,ACS Publications,administrative,
The Journal of Physical Chemistry C,1932-7447,1932-7455,01/01/2007,111,1,,,,jpccck,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jpccck,ACS Publications,administrative,
The Journal of Physical Chemistry Letters,1948-7185,,07/01/2010,1,1,,,,jpclcd,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jpclcd,ACS Publications,administrative,
Journal of chemical documentation,0021-9576,,01/01/1961,1,1,01/01/1974,14,4,jcisd8,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jcisd8,ACS Publications,administrative,
Journal Of Chemical Information And Computer Sciences,0095-2338,,01/01/1975,15,1,01/01/2004,44,4,jcisd8,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/loi/jcisd8,ACS Publications,administrative,
