SO Name,SHEDL ACS collection 2012-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ACS_collection_2012-2012_shedl,,,,,,,,,,,,,,,,,,,
Provider,American Chemical Society,,,,,,,,,,,,,,,,,,,
Package Identifier,Web Editions,,,,,,,,,,,,,,,,,,,
Package Name,ACS Web Editions,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Accounts of Chemical Research ,0001-4842 ,1520-4898 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/achre4/index.html ,ACS Publications,administrative,
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2009,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/aamick/index.html,ACS Publications,administrative,
ACS Catalysis,,2155-5435,2010,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/accacs/index.html,ACS Publications,administrative,
ACS Chemical Biology ,1554-8929 ,1554-8937 ,2006,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/acbcct/index.html ,ACS Publications,administrative,
ACS Chemical Neuroscience,,1948-7193,2010,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/acncdm/index.html,ACS Publications,administrative,
ACS Combinatorial Chemistry,2156-8952,2156-8944,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/acsccc/index.html ,ACS Publications,administrative,
ACS Macro ,,2161-1653,2012,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/amlccd/index.html ,ACS Publications,administrative,
ACS Medicinal Chemistry Letters  (new in 2010),,1948-5875,2010,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/amclct/index.html ,ACS Publications,administrative,
ACS Nano,1936-0851,1936-086X,2007,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/ancac3/index.html ,ACS Publications,administrative,
ACS Synthetic Biology ,,2161-5063,2012,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/synthbio/index.html ,ACS Publications,administrative,
