SO Name,NESLI2 AIP select  2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,aip_select collection_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,AIP,,,,,,,,,,,,,,,,,,,
Package Identifier,AIP Select,,,,,,,,,,,,,,,,,,,
Package Name,AIP Select,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Applied Physics Letters,0003-6951,1077-3118,1962-09-01,1,1,,,,APPLAB,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?APPLAB,scitation,administrative,
Chaos: An Interdisciplinary Journal of Nonlinear Science,1054-1500,1089-7682,1991-07,1,1,,,,CHAOEH,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?CHAOEH,scitation,administrative,
Journal of Applied Physics,0021-8979,1089-7550 ,1937-01-01,8,1,,,,JAPIAU,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?JAPIAU,scitation,administrative,
Journal of Mathematical Physics,0022-2488  ,1089-7658,1960-01,1,1,,,,JMAPAQ,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?JMAPAQ,scitation,administrative,
Physics of Fluids,0031-9171,1089-7666,1958-01,1,1,1988-12,31,12,PFLDAS,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PFLDAS,scitation,administrative,
Physics of Fluids,1070-6631 ,1089-7666,1994-01,6,1,,,,PHFLE6,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PHFLE6,scitation,administrative,
Physics of Fluids A: Fluid Dynamics,0899-8213,1089-7666,1989-01,1,1,1993-12,5,12,PFADEB,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PFADEB,scitation,administrative,
Physics of Fluids B: Plasma Physics,0899-8221,1089-7674,1989-01,1,,1993-12,5,12,PFBPEI,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PFBPEI,scitation,administrative,
Physics of Plasmas,1070-664X  ,1089-7674,1994-01,1,,,,,PHPAEN,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PHPAEN,scitation,administrative,
Physics Today,0031-9228,,1948-05,1,1,,,,PHTOAD,,full text,The backfiles volumes 1-27 (1948-1974) were released 1/27/2009,American Institute of Physics,,scitation,host,http://link.aip.org/link/?PHTOAD,scitation,administrative,
Review of Scientific Instruments,0034-6748,1089-7623,1930-01,1,1,,,,RSINAK,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?RSINAK,scitation,administrative,
The Journal of Chemical Physics,0021-9606,1089-7690,1933-01,1,1,,,,JCPSA6,,full text,,American Institute of Physics,,scitation,host,http://link.aip.org/link/?JCPSA6,scitation,administrative,
