SO Name,NESLI2 ASCE Journals Collection  2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,asce_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,ASCE,,,,,,,,,,,,,,,,,,,
Package Identifier,Journals Collection,,,,,,,,,,,,,,,,,,,
Package Name,Journals Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ASCE Conference Proceedings,,,2000-01,,,,,,ASCECP,,full text,Conference Proceedings; Backfile content added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?ASCECP,scitation,administrative,
International Journal of Geomechanics,1532-3641,1943-5622,2001-01,1,1,,,,IJGNAI,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?IJGNAI,scitation,administrative,
Journal of Aerospace Engineering,0893-1321,1943-5525,1988-01,1,1,,,,JAEEEZ,,full text,Backfile content (1988-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JAEEEZ,scitation,administrative,
Journal of Architectural Engineering,1076-0431,1943-5568,1995-03,1,1,,,,JAEIED,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JAEIED,scitation,administrative,
Journal of Bridge Engineering,1084-0702,1943-5592,1996-02,1,1,,,,JBENF2,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JBENF2,scitation,administrative,
Journal of Cold Regions Engineering,0887-381X,1943-5495,1987-03,1,1,,,,JCRGEI,,full text,Backfile content (1987-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JCRGEI,scitation,administrative,
Journal of Composites for Construction,1090-0268,1943-5614,1997-02,1,1,,,,JCCOF2,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JCCOF2,scitation,administrative,
Journal of Computing in Civil Engineering,0887-3801,1943-5487,1987-01,1,1,,,,JCCEE5,,full text,Backfile content (1987-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JCCEE5,scitation,administrative,
Journal of Construction Engineering and Management,0733-9364,1943-7862,1983-03,109,1,,,,JCEMD4,,full text,Backfile content (1983-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JCEMD4,scitation,administrative,
Journal of Energy Engineering,0733-9402,1943-7897,1983-03,109,1,,,,JLEED9,,full text,Backfile content (1983-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JLEED9,scitation,administrative,
Journal of Engineering Mechanics,0733-9399,1943-7889,1983-02,109,1,,,,JENMDT,,full text,Backfile content (1983-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JENMDT,scitation,administrative,
Journal of Environmental Engineering,0733-9372,1943-7870,1983-02,109,1,,,,JOEEDU,,full text,Backfile content (1983-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JOEEDU,scitation,administrative,
Journal of Geotechnical and Geoenvironmental Engineering,1090-0241,1943-5606,1997-01,123,1,,,,JGGEFK,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JGGEFK,scitation,administrative,
Journal of Geotechnical Engineering,0733-9410,,1990-01,116,1,1996-12,122,12,JGENDZ,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JGENDZ,scitation,administrative,
Journal of Hydraulic Engineering,0733-9429,1943-7900,1983-01,109,1,,,,JHEND8,,full text,Backfile content (1983-1989) added,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JHEND8,scitation,administrative,
Journal of Hydrologic Engineering,1084-0699,1943-5584,1996-01,1,1,,,,JHYEFF,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JHYEFF,scitation,administrative,
Journal of Infrastructure Systems,1076-0342,1943-555X,1995-03,1,1,,,,JITSE4,,full text,,American Society of Civil Engineers,,scitation,host,http://link.aip.org/link/?JITSE4,scitation,administrative,
