SO Name,NESLI2 Bepress Research Now Full Access 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,bepress_researchnow Full Access_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Bepress,,,,,,,,,,,,,,,,,,,
Package Identifier,Research Now Full Access,,,,,,,,,,,,,,,,,,,
Package Name,Research Now Full Access,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Asian Journal of Comparative Law,,1932-0205,2006,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/asjcl,,,
Asia-Pacific Journal of Risk and Insurance,,2153-3792,2005,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/apjri,,,
The B.E. Journal of Economic Analysis & Policy,,1555-0494,2002,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/bejeap,,,
The B.E. Journal of Macroeconomics,,1555-0486,2001,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/bejm,,,
The B.E. Journal of Theoretical Economics,,1555-0478,2001,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/bejte,,,
Basic Income Studies,,1932-0183,2006,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/bis ,,,
Business and Politics,,1469-3569,2000,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/bap,,,
California Journal of Politics and Policy,,1944-4370,2009,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/cjpp ,,,
Capitalism and Society,,1932-0213,2006,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/cas,,,
Chemical Product and Process Modeling,,1934-2659,2006,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/cppm,,,
The Economists' Voice,,1553-3832,2004,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ev,,,
The Forum,,1540-8884,2002,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/for,,,
Forum for Health Economics & Policy,,1558-9544,1998,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/fhep,,,
Global Economy Journal,,1524-5861,2000,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/gej,,,
Global Jurist,,1934-2640,2001,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/gj,,,
International Commentary on Evidence,,1554-4567,2003,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ice,,,
International Journal of Biostatistics,,1557-4679,2005,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ijb,,,
International Journal of Chemical Reactor Engineering,,1542-6580,2003,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ijcre,,,
International Journal of Emerging Electric Power Systems,,1553-779X,2004,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ijeeps,,,
International Journal of Food Engineering,,1556-3758,2005,,,,,,,,full text,,De Gruyter,,De Gruyter Online,host,http://www.degruyter.com/loi/ijfe,,,
