SO Name,NESLI2 Berg Full Collection 2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,berg_fullcollection_2011_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Berg,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,fullcollection,,,,,,,,,,,,,,,,,,,,,,
Package Name,Berg Full Collection,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print _identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Anthrozoos,0892-7936,1753-0377,1987,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/anthroz,,,,berg journals,host,http://www.bergjournals.com/anthrozoos
Art in Translation (e-journal),,1756-1310,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/aitj,,,,berg journals,host,http://www.bergjournals.com/artintranslation
Cultural and Social History,1478-0038,1478-0046,2004,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/cash,,,,berg journals,host,http://www.bergjournals.com/culturalandsocialhistory
Design and Culture,1754-7075,1754-7083,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/dgcj,,,,berg journals,host,http://www.bergjournals.com/designandculture
The Design Journal ,1460-6925,1756-3062,1997,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/dsgj,,,,berg journals,host,http://www.bergjournals.com/thedesignjournal 
"Fashion Practice - The Journal of Design, Creative Process & the Fashion Industry",1756-9370,1756-9389,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/fpcj,,,,berg journals,host,http://bergjournals.com/fashionpractice
"Fashion Theory - The Journal of Dress, Body & Culture",1362-704X,1751-7419,1997,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/jdbc,,,,berg journals,host,http://bergjournals.com/fashiontheory
"Food, Culture and Society",1552-8014,1751-7443,1997,7,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/fcs,,,,berg journals,host,http://bergjournals.com/foodcultureandsociety
"Home Cultures - The Journal of Architecture, Design & Domestic Space",1740-6315,1751-7427,2004,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/hcu,,,,berg journals,host,http://www.bergjournals.com/homecultures
Interiors,2041-9112,2041-9120,2010,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/idacj,,,,berg journals,host,http://www.bergjournals.com/interiors
Journal of Modern Craft,1749-6772,1749-6780,2008,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/cftj,,,,berg journals,host,http://www.bergjournals.com/journalofmoderncraft
Material Religion,1743-2200,1751-8342,2005,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/mar,,,,berg journals,host,http://www.bergjournals.com/materialreligion
Photography and Culture,1751-4517,1751-4525,2008,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/pgcj,,,,berg journals,host,http://www.bergjournals.com/photographyandculture
The Senses and Society,1745-8927,1745-8935,2006,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/tsas,,,,berg journals,host,http://www.bergjournals.com/sensesandsociety
Textile: The Journal of Cloth & Culture,1475-9756,1751-8350,2003,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/tjcc,,,,berg journals,host,http://www.bergjournals.com/textile
"Time and Mind: The Journal of Archaeology, Consciousness and Culture",1751-696X,1751-6978,2008,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/tmdj,,,,berg journals,host,http://www.bergjournals.com/timeandmind
