SO Name,SHEDL Berg Visual Culture Collection 2011-2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,berg_visualculturecollection_2011_2012_shedl,,,,,,,,,,,,,,,,,,,,,,
Provider,Berg,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,visualculturecollection,,,,,,,,,,,,,,,,,,,,,,
Package Name,Berg Visual Culture Collection,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL ,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print _identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Art in Translation (e-journal),,1756-1310,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/aitj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/artintranslation
Design and Culture,1754-7075,1754-7083,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/dgcj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/designandculture
The Design Journal ,1460-6925,1756-3062,1997,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/dsgj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/thedesignjournal 
"Fashion Practice - The Journal of Design, Creative Process & the Fashion Industry",1756-9370,1756-9389,2009,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/fpcj,Ingenta Connect,administrative,,berg journals,host,http://bergjournals.com/fashionpractice
"Fashion Theory - The Journal of Dress, Body & Culture",1362-704X,1751-7419,1997,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/jdbc,Ingenta Connect,administrative,,berg journals,host,http://bergjournals.com/fashiontheory
"Home Cultures - The Journal of Architecture, Design & Domestic Space",1740-6315,1751-7427,2004,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/hcu,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/homecultures
Interiors,2041-9112,2041-9120,2010,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/idacj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/interiors
Journal of Modern Craft,1749-6772,1749-6780,2008,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/cftj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/journalofmoderncraft
Material Religion,1743-2200,1751-8342,2005,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/mar,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/materialreligion
Photography and Culture,1751-4517,1751-4525,2008,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/pgcj,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/photographyandculture
The Senses and Society,1745-8927,1745-8935,2006,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/tsas,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/sensesandsociety
Textile: The Journal of Cloth & Culture,1475-9756,1751-8350,2003,1,1,,,,,,fulltext,,Berg,,Ingenta Connect,host,http://www.ingentaconnect.com/content/berg/tjcc,Ingenta Connect,administrative,,berg journals,host,http://www.bergjournals.com/textile
