SO Name,NESLI2  BioOne SMP  2012-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,bioone_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,BioOne,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP ,,,,,,,,,,,,,,,,,,,
Package Name,SMP ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Ornithologica,0001-6454,,01/06/2008,43,1,,,,,,fulltext,,"Museum and Institute of Zoology, Polish Academy of Sciences",,BioOne Online Journals,host,http://www.bioone.org/loi/aorn,BioOne Online Journals,administrative,
The American Biology Teacher,0002-7685,1938-4211,01/01/2000,62,1,,,,,,fulltext,,National Association of Biology Teachers,,BioOne Online Journals,host,http://www.bioone.org/loi/ambt,BioOne Online Journals,administrative,
Transactions of the American Entomological Society,0002-8320,,01/03/2006,132,1,,,,,,fulltext,,The American Entomological Society,,BioOne Online Journals,host,http://www.bioone.org/loi/taes,BioOne Online Journals,administrative,
American Fern Journal,0002-8444,1938-422X,01/01/2001,91,1,,,,,,fulltext,,The American Fern Society,,BioOne Online Journals,host,http://www.bioone.org/loi/amfj,BioOne Online Journals,administrative,
The American Midland Naturalist,0003-0031,1938-4238,01/01/1998,139,1,,,,,,fulltext,,University of Notre Dame,,BioOne Online Journals,host,http://www.bioone.org/loi/amid,BioOne Online Journals,administrative,
American Museum Novitates,0003-0082,,01/02/2000,,,,,,,,fulltext,,American Museum of Natural History,,BioOne Online Journals,host,http://www.bioone.org/loi/novi,BioOne Online Journals,administrative,
Bulletin of the American Museum of Natural History,0003-0090,,01/01/2000,,,,,,,,fulltext,,American Museum of Natural History,,BioOne Online Journals,host,http://www.bioone.org/loi/amnb,BioOne Online Journals,administrative,
Annales Zoologici,0003-4541,,01/03/2008,58,1,,,,,,fulltext,,"Museum and Institute of Zoology, Polish Academy of Sciences",,BioOne Online Journals,host,http://www.bioone.org/loi/annz,BioOne Online Journals,administrative,
The Auk,0004-8038,1938-4254,01/01/2000,117,1,,,,,,fulltext,,The American Ornithologists' Union,,BioOne Online Journals,host,http://www.bioone.org/loi/tauk,BioOne Online Journals,administrative,
Avian Diseases,0005-2086,1938-4351,01/01/2002,46,1,,,,,,fulltext,,American Association of Avian Pathologists,,BioOne Online Journals,host,http://www.bioone.org/loi/avdi,BioOne Online Journals,administrative,
BIOS,0005-3155,,01/03/2004,75,1,,,,,,fulltext,,Beta Beta Beta Biological Society,,BioOne Online Journals,host,http://www.bioone.org/loi/bios,BioOne Online Journals,administrative,
Proceedings of the Biological Society of Washington,0006-324X,,01/04/2005,118,1,,,,,,fulltext,,Biological Society of Washington,,BioOne Online Journals,host,http://www.bioone.org/loi/pbsw,BioOne Online Journals,administrative,
Biology of Reproduction,0006-3363,,01/01/2000,62,1,,,,,,fulltext,,Society for the Study of Reproduction,,BioOne Online Journals,host,http://www.bioone.org/loi/bire,BioOne Online Journals,administrative,
BioScience,0006-3568,,01/01/2000,50,1,,,,,,fulltext,,American Institute of Biological Sciences,,BioOne Online Journals,host,http://www.bioone.org/loi/bisi,BioOne Online Journals,administrative,
BIOTROPICA,0006-3606,,01/03/2000,32,1,,,,,,fulltext,,The Association for Tropical Biology & Conservation,,BioOne Online Journals,host,http://www.bioone.org/loi/bitr,BioOne Online Journals,administrative,
The Botanical Review,0006-8101,,01/01/2002,68,1,,,,,,fulltext,,The New York Botanical Garden,,BioOne Online Journals,host,http://www.bioone.org/loi/brev,BioOne Online Journals,administrative,
Breviora,0006-9698,,01/01/2004,,,,,,,,fulltext,,"Museum of Comparative Zoology, Harvard University",,BioOne Online Journals,host,http://www.bioone.org/loi/brvo,BioOne Online Journals,administrative,
Brittonia,0007-196X,1938-436X,01/01/2002,54,1,,,,,,fulltext,,The New York Botanical Garden,,BioOne Online Journals,host,http://www.bioone.org/loi/brit,BioOne Online Journals,administrative,
The Bryologist,0007-2745,1938-4378,01/03/2000,103,1,,,,,,fulltext,,"The American Bryological and Lichenological Society, Inc.",,BioOne Online Journals,host,http://www.bioone.org/loi/bryo,BioOne Online Journals,administrative,
Cactus and Succulent Journal,0007-9367,,01/01/2005,77,1,,,,,,fulltext,,Cactus and Succulent Society of America,,BioOne Online Journals,host,http://www.bioone.org/loi/casu,BioOne Online Journals,administrative,
The Canadian Entomologist,0008-347X,0008-347X,01/01/2007,139,1,,,,,,fulltext,,Entomological Society of Canada,,BioOne Online Journals,host,http://www.bioone.org/loi/cent,BioOne Online Journals,administrative,
Castanea,0008-7475,1938-4386,01/12/2002,68,,,,,,,fulltext,,Southern Appalachian Botanical Society,,BioOne Online Journals,host,http://www.bioone.org/loi/cast,BioOne Online Journals,administrative,
The Coleopterists Bulletin,0010-065X,1938-4394,01/03/2000,54,1,,,,,,fulltext,,The Coleopterists Society,,BioOne Online Journals,host,http://www.bioone.org/loi/cole,BioOne Online Journals,administrative,
The Condor,0010-5422,1938-5129,01/02/2000,102,1,,,,,,fulltext,,Cooper Ornithological Society,,BioOne Online Journals,host,http://www.bioone.org/loi/cond,BioOne Online Journals,administrative,
Journal of East African Natural History,0012-8317,,01/01/1994,83,1,,,,,,fulltext,,Nature Kenya/East African Natural History Society,,BioOne Online Journals,host,http://www.bioone.org/loi/eanh,BioOne Online Journals,administrative,
Economic Botany,0013-0001,,01/01/2002,56,1,,,,,,fulltext,,The New York Botanical Garden,,BioOne Online Journals,host,http://www.bioone.org/loi/ebot,BioOne Online Journals,administrative,
Entomological News,0013-872X,,01/01/2006,117,1,,,,,,fulltext,,The American Entomological Society,,BioOne Online Journals,host,http://www.bioone.org/loi/entn,BioOne Online Journals,administrative,
Annals of the Entomological Society of America,0013-8746,,01/01/2000,93,1,,,,,,fulltext,,Entomological Society of America,,BioOne Online Journals,host,http://www.bioone.org/loi/esaa,BioOne Online Journals,administrative,
Proceedings of the Entomological Society of Washington,0013-8797,,01/01/2008,110,1,,,,,,fulltext,,Entomological Society of Washington,,BioOne Online Journals,host,http://www.bioone.org/loi/went,BioOne Online Journals,administrative,
Evolution,0014-3820,1558-5646,01/01/2000,54,1,,,,,,fulltext,,The Society for the Study of Evolution,,BioOne Online Journals,host,http://www.bioone.org/loi/evol,BioOne Online Journals,administrative,
Fieldiana Botany,0015-0746,,01/11/2004,,,,,,,,fulltext,,Field Museum of Natural History,,BioOne Online Journals,host,http://www.bioone.org/loi/fbot,BioOne Online Journals,administrative,
Fieldiana Zoology,0015-0754,,01/03/2005,,,,,,,,fulltext,,Field Museum of Natural History,,BioOne Online Journals,host,http://www.bioone.org/loi/fzoo,BioOne Online Journals,administrative,
Florida Entomologist,0015-4040,1938-5102,01/03/2002,85,1,,,,,,fulltext,,Florida Entomological Society,,BioOne Online Journals,host,http://www.bioone.org/loi/flen,BioOne Online Journals,administrative,
