SO Name,NESLI2 BMJ Journals Online Collection 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,bmj_collection_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,BMJ,,,,,,,,,,,,,,,,,,,
Package Identifier,Journals Online Collection ,,,,,,,,,,,,,,,,,,,
Package Name,Journals Online Collection ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annals of the Rheumatic Diseases,0003-4967,1468-2060,01/01/1939,1,1,,,,ARD,,,,BMJ/EULAR,,Highwire,host,http://ard.bmj.com/,Highwire,administrative,
Archives of Disease in Childhood,0003-9888,1468-2044,01/01/1926,1,1,,,,ADC,,,,BMJ/Royal College of Paediatrics and Child Health,,Highwire,host,http://adc.bmj.com/,Highwire,administrative,
ADC Fetal & Neonatal edition,1359-2998,1468-2052, 01/01/1994,70,1,,,,FN,,,,BMJ,,Highwire,host,http://adc.bmj.com/,Highwire,administrative,
ADC Education & Practice edition,1743-0585,1743-0593,01/06/2004,89,1,,,,EP,,,,BMJ,,Highwire,host,http://adc.bmj.com/,Highwire,administrative,
Practical Neurology,1474-7758,1474-7766,01/10/2001,1,1,,,,PN,,,,BMJ,,Highwire,host,http://pn.bmj.com,Highwire,administrative,
British Journal of Ophthalmology,0007-1161,1468-2079,01/01/1917,1,1,,,,BJO,,,,BMJ,,Highwire,host,http://bjo.bmj.com/,Highwire,administrative,
British Journal of Sports Medicine,0306-3674,1473-0480,01/01/1964,1,1,,,,BJSM,,,,BMJ/British Assoc of Sports and Exercise Medicine,,Highwire,host,http://bjsm.bmj.com/,Highwire,administrative,
Emergency Medicine Journal ,1472-0205,1472-0213,01/03/1984,1,1,,,,EMJ,,,,BMJ/College of Emergency Medicine,,Highwire,host,http://emj.bmj.com/,Highwire,administrative,
Evidence-Based Mental Health,1362-0347,148-960X,01/02/1998,1,1,,,,EBMH,,,,BMJ/ RCPsych/British Psychological Society ,,Highwire,host,http://ebmh.bmj.com/,Highwire,administrative,
Evidence-Based Medicine,1356-5524,1473-6810,01/01/2000,5,1,,,,EBM,,,,BMJ,,Highwire,host,http://ebm.bmj.com/,Highwire,administrative,
Evidence-Based Nursing ,1367-6539,1468-9618,01/01/1998,1,1,,,,EBN,,,,BMJ/RCN Publishing Group,,Highwire,host,http://ebn.bmj.com/,Highwire,administrative,
Gut,0017-5749,1468-3288,01/03/1960,1,1,,,,GUT,,,, BMJ/British Society of Gastroenterology,,Highwire,host,http://gut.bmj.com/,Highwire,administrative,
Heart,1355-6037,1468-201X,01/01/1939,1,1,,,,,,,,BMJ/British Cardiovascular Society,,Highwire,host,http://heart.bmj.com/,Highwire,administrative,
Injury Prevention,1353-8047,1475-5785,01/03/1995,1,1,,,,IP,,,,BMJ,,Highwire,host,http://ip.bmj.com/,Highwire,administrative,
Journal of Clinical Pathology,0021-9746,1472-4146,01/11/1947,1,1,,,,JCP,,,,BMJ/ACP,,Highwire,host,http://jcp.bmj.com/,Highwire,administrative,
Journal of Epidemiology and Community Health,0143-005X,1470-2738,01/01/1947,1,1,,,,JECH,,,,BMJ,,Highwire,host,http://jech.bmj.com/,Highwire,administrative,
