SO Name,NESLI2 Brill SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,brill_fullcollection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Brill,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Advanced Composite Materials ,0924-3046,1568-5519,2000,,,,,,15685519,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685519,Brill Online Books and Journals,administrative,
Advanced Robotics  ,0169-1864,1568-5535,2001,,,,,,15685535,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685535,Brill Online Books and Journals,administrative,
African and Asian Studies,1569-2094,1569-2108,2003,,,,,,15692094,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15692094,Brill Online Books and Journals,administrative,
African Journal of Legal Studies ,2210-9730,1708-7384,2004,,,,,,17087384,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17087384,Brill Online Books and Journals,administrative,
African Yearbook of International Law Online ,,2211-6176,,,,,,,22116176,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22116176,Brill Online Books and Journals,administrative,
Amphibia-Reptilia ,0173-5373,1568-5381,2000,,,,,,15685381,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685381,Brill Online Books and Journals,administrative,
Ancient Civilizations from Scythia to Siberia,0929-077X,1570-0577,2000,,,,,,15700577,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700577,Brill Online Books and Journals,administrative,
Animal Biology,1570-7555,1570-7563,2003,,,,,,15707563,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15707563,Brill Online Books and Journals,administrative,
Anthropology of Contemporary Middle East and Central Eurasia ,2211-5722,2211-5730,2012,,,,,,22115730,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22115730,Brill Online Books and Journals,administrative,
Arab Law Quarterly,0268-0556,1573-0255,2000,,,,,,15730255,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15730255,Brill Online Books and Journals,administrative,
Arabica,0570-5398,1570-0585,2000,,,,,,15700585,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700585,Brill Online Books and Journals,administrative,
Aramaic Studies,1477-8351,1745-5227,2003,,,,,,17455227,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455227,Brill Online Books and Journals,administrative,
Archive for the Psychology of Religion/Archiv für Religionspsychologie ,0084-6724,1573-6121,2000,,,,,,15736121,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15736121,Brill Online Books and Journals,administrative,
Aries,1567-9896,1570-0593,2001,,,,,,15700593,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700593,Brill Online Books and Journals,administrative,
Asian Journal of Social Science,1568-4849,1568-5314,2000,,,,,,15685314,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685314,Brill Online Books and Journals,administrative,
Asian Medicine ,1573-420X,1573-4218,2005,,,,,,15734218,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15734218,Brill Online Books and Journals,administrative,
Asia-Pacific Journal on Human Rights and the Law ,1388-1906,1571-8158,2000,,,,,,15718158,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718158,Brill Online Books and Journals,administrative,
Austrian Review of International and European Law Online ,,1573-6512,,,,,,,15736512,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15736512,Brill Online Books and Journals,administrative,
Baltic Yearbook of International Law Online ,,2211-5897,,,,,,,22115897,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22115897,Brill Online Books and Journals,administrative,
Behaviour,0005-7959,1568-539X,2000,,,,,,1568539X,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1568539X,Brill Online Books and Journals,administrative,
Biblical Interpretation,0927-2569,1568-5152,2000,,,,,,15685152,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685152,Brill Online Books and Journals,administrative,
Brill's Annual of Afroasiatic Languages and Linguistics ,1876-6633,1877-6930,2009,,,,,,18776930,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18776930,Brill Online Books and Journals,administrative,
Bustan: The Middle East Book Review ,1878-5301,1878-5328,2010,,,,,,18785328,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18785328,Brill Online Books and Journals,administrative,
Canadian-American Slavic Studies ,0090-8290,2210-2396,2000,,,,,,22102396,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22102396,Brill Online Books and Journals,administrative,
Church History and Religious Culture ,1871-241X,1871-2428,2006,,,,,,18712428,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18712428,Brill Online Books and Journals,administrative,
Comparative Sociology,1569-1322,1569-1330,2002,,,,,,15691322,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15691322,Brill Online Books and Journals,administrative,
Composite Interfaces  ,,1568-5543,2000,,,,,,15685543,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685543,Brill Online Books and Journals,administrative,
