SO Name,"JC CUP Scientific, Technical and Medical Archives ",,,,,,,,,,,,,,,,,,,
SO Identifier,cup_STM archives_jc,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,"Scientific, Technical and Medical Archives ",,,,,,,,,,,,,,,,,,,
Package Name,"Scientific, Technical and Medical Archives ",,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Numerica,0962-4929,1474-0508,1992,1,,1999,8,,ANU,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ANU,cambridge journals,administrative,
AI EDAM,0890-0604,1469-1760,1987,1,,1997,11,,AIE,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_AIE,cambridge journals,administrative,
Behavioral and Brain Sciences,0140-525X,1469-1825,1978,1,,1996,19,,BBS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BBS,cambridge journals,administrative,
Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,1972,1,,1997,25,,BCP,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BCP,cambridge journals,administrative,
British Journal of Anaesthetic and Recovery Nursing,1742-6456,1744-2192,2000,1,,2004,5,,ARN,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ARN,cambridge journals,administrative,
British Journal of Nutrition,0007-1145,1475-2662,1947,1,,2006,96,,BJN,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BJN,cambridge journals,administrative,
Bulletin of Entomological Research,0007-4853,1475-2670,1910,1,,1998,88,,BER,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BER,cambridge journals,administrative,
Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,1969,1,,2007,76,,BAZ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BAZ,cambridge journals,administrative,
Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,1992,1,,1997,6,,CQH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CQH,cambridge journals,administrative,
Cardiology in the Young,1047-9511,1467-1107,1991,1,,2000,10,,CTY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CTY,cambridge journals,administrative,
