SO Name,NESLI2 CUP Full Package 2010-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,cup_full package_2010_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Package,,,,,,,,,,,,,,,,,,,
Package Name,Full Package,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2010,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Nordic Journal of Linguistics,0332-5865,1502-4717,01/06/2003,26,1,,,,NJL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_NJL,Cambridge Journals,administrative,
Annual Review of Applied Linguistics,0267-1905,1471-6356,01/01/1999,19,,,,,APL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_APL,Cambridge Journals,administrative,
European Review,1062-7987,1474-0575,01/02/2001,9,1,,,,ERW,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ERW,Cambridge Journals,administrative,
Journal of French Language Studies,0959-2695,1474-0079,01/03/2000,10,1,,,,JFL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JFL,Cambridge Journals,administrative,
Journal of Radiotherapy in Practice,1460-3969,1467-1131,01/04/1999,1,1,,,,JRP,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JRP,Cambridge Journals,administrative,
Journal of the Society for American Music,1752-1963,1752-1971,01/02/2007,1,1,,,,SAM,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_SAM,Cambridge Journals,administrative,
Leiden Journal of International Law,0922-1565,1478-9698,01/03/1996,9,1,,,,LJL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_LJL,Cambridge Journals,administrative,
Yearbook of International Humanitarian Law,1389-1359,1574-096X,01/12/2004,7,,,,,YHL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_YHL,Cambridge Journals,administrative,
Journal of Psychiatric Intensive Care,1742-6464,1744-2206,01/09/2005,1,1,,,,JPI,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JPI,Cambridge Journals,administrative,
The Journal of Modern African Studies,0022-278X,1469-7777,01/03/1997,35,1,,,,MOA,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_MOA,Cambridge Journals,administrative,
Tempo,0040-2982,1478-2286,01/01/2003,57,223,,,,TEM,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_TEM,Cambridge Journals,administrative,
The Antiquaries Journal,0003-5815,1758-5309,01/09/2006,86,,,,,ANT,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ANT,Cambridge Journals,administrative,
Genetics Research,0016-6723,1469-5073,01/02/1997,69,1,,,,GRH,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_GRH,Cambridge Journals,administrative,
Greece & Rome,0017-3835,1477-4550,01/04/2001,48,1,,,,GAR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_GAR,Cambridge Journals,administrative,
Journal of Plasma Physics,0022-3778,1469-7807,01/01/1997,57,1,,,,PLA,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PLA,Cambridge Journals,administrative,
Aquatic Living Resources,0990-7440,1765-2952,01/03/2002,15,1,,,,ALR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ALR,Cambridge Journals,administrative,
Nutrition Research Reviews,0954-4224,1475-2700,01/06/2005,18,1,,,,NRR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_NRR,Cambridge Journals,administrative,
Dialogue: Canadian Philosophical Review/Revue canadienne de philosophie,0012-2173,1759-0949,01/03/2005,44,1,,,,DIA,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_DIA,Cambridge Journals,administrative,
International Psychogeriatrics,1041-6102,1741-203X,01/01/1996,,,,,,IPG,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_IPG,Cambridge Journals,administrative,
Journal of the Australian Mathematical Society,1446-7887,1446-8107,01/02/2007,82,1,,,,JAZ,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JAZ,Cambridge Journals,administrative,
Netherlands Yearbook of International Law,0167-6768,1574-0951,01/12/2004,35,,,,,NYL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_NYL,Cambridge Journals,administrative,
English Today,0266-0784,1474-0567,01/01/2001,17,1,,,,ENG,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ENG,Cambridge Journals,administrative,
Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,01/02/2001,64,1,,,,BSO,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_BSO,Cambridge Journals,administrative,
The International Journal of Asian Studies,1479-5914,1479-5922,01/01/2004,1,1,,,,ASI,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ASI,Cambridge Journals,administrative,
European Constitutional Law Review (EuConst),1574-0196,1744-5515,01/01/2005,1,1,,,,ECL,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ECL,Cambridge Journals,administrative,
Business History Review,0007-6805,2044-768X,01/03/2009,83,1,,,,BHR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_BHR,Cambridge Journals,administrative,
The Cambridge Law Journal,0008-1973,1469-2139,01/03/1998,57,1,,,,CLJ,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_CLJ,Cambridge Journals,administrative,
Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,01/01/1998,7,1,,,,CQH,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_CQH,Cambridge Journals,administrative,
Speculum,0038-7134,2040-8072,01/01/2005,80,1,,,,SPC,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_SPC,Cambridge Journals,administrative,
Journal of Biosocial Science,0021-9320,1469-7599,01/01/1997,29,1,,,,JBS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JBS,Cambridge Journals,administrative,
Proceedings of the Nutrition Society,0029-6651,1475-2719,01/02/2007,66,1,,,,PNS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PNS,Cambridge Journals,administrative,
