SO Name,JC CUP Economics - Politics Archives ,,,,,,,,,,,,,,,,,,,
SO Identifier,cup_hss_Economic - Politics archives_jc,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,Economics - Politics Archives ,,,,,,,,,,,,,,,,,,,
Package Name,Economics - Politics Archives ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Anglo-Saxon England,0263-6751,1474-0532,1972,1,,2000,29,,ASE,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ASE,cambridge journals,administrative,
Austrian History Yearbook,0067-2378,1558-5255,1965,1,,2000,29,,AHY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_AHY,cambridge journals,administrative,
British Journal of Political Science,0007-1234,1469-2112,1971,1,,1996,26,,JPS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JPS,cambridge journals,administrative,
Camden Fifth Series,0960-1163,1478-5110,1938,,,2002,,,RHC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_RHC,cambridge journals,administrative,
Canadian Journal of Political Science/Revue canadienne de science politique,0008-4239,1744-9324,1968,1,,1999,32,,CJP,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CJP,cambridge journals,administrative,
Central European History,0008-9389,1569-1616,1968,1,,1999,32,,CCC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CCC,cambridge journals,administrative,
Comparative Studies in Society and History,0010-4175,1475-2999,1958,1,,1996,38,,CSS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CSS,cambridge journals,administrative,
Contemporary European History,0960-7773,1469-2171,1992,1,,1998,7,,CEH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CEH,cambridge journals,administrative,
Continuity and Change,0268-4160,1469-218X,1986,1,,1996,11,,CON,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CON,cambridge journals,administrative,
Ecclesiastical Law Journal,0956-618X,1751-8539,1987,1,,2006,8,,ELJ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ELJ,cambridge journals,administrative,
Econometric Theory,0266-4666,1469-4360,1985,1,,1997,13,,ECT,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ECT,cambridge journals,administrative,
Environment and Development Economics,1355-770X,1469-4395,1996,1,,1996,1,,EDE,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_EDE,cambridge journals,administrative,
European Business Organization Law Review (EBOR),1566-7529,1741-6205,2000,1,,2002,3,,EBR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_EBR,cambridge journals,administrative,
Financial History Review,0968-5650,1474-0052,1994,1,,1996,6,,FHR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_FHR,cambridge journals,administrative,
