SO Name,JC CUP Anthropology - Religion Archives ,,,,,,,,,,,,,,,,,,,
SO Identifier,cup_hss_anthropology - religion archives_jc,,,,,,,,,,,,,,,,,,,
Provider,CUP,,,,,,,,,,,,,,,,,,,
Package Identifier,Anthropology - Religion Archives ,,,,,,,,,,,,,,,,,,,
Package Name,Anthropology - Religion Archives ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Ageing & Society,0144-686X,1469-1779,1981,1,,1996,16,,ASO,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ASO,cambridge journals,administrative,
AJS Review,0364-0094,1475-4541,1976,1,,2001,25,,AJS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_AJS,cambridge journals,administrative,
Annual Review of Applied Linguistics,0267-1905,1471-6356,1980,1,,1998,18,,APL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_APL,cambridge journals,administrative,
Applied Psycholinguistics,0142-7164,1469-1817,1980,1,,1998,19,,APS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_APS,cambridge journals,administrative,
Arabic Sciences and Philosophy,0957-4239,1474-0524,1991,1,,1999,9,,ASP,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ASP,cambridge journals,administrative,
Archaeological Dialogues,1380-2038,1478-2294,1994,1,,2002,9,,ARD,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ARD,cambridge journals,administrative,
arq: Architectural Research Quarterly,1359-1355,1474-0516,1995,1,,2000,4,,ARQ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ARQ,cambridge journals,administrative,
British Journal of Music Education,0265-0517,1469-2104,1984,1,,1998,15,,BME,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BME,cambridge journals,administrative,
Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,1917,1,,2000,63,,BSO,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BSO,cambridge journals,administrative,
Cambridge Archaeological Journal,0959-7743,1474-0540,1991,1,,1999,9,,CAJ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CAJ,cambridge journals,administrative,
Cambridge Opera Journal,0954-5867,1474-0621,1989,1,,1999,11,,OPR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_OPR,cambridge journals,administrative,
Church History: Studies in Christianity and Culture,0009-6407,1755-2613,1932,1,,2003,72,,CHH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CHH,cambridge journals,administrative,
Early Music History,0261-1279,1474-0559,1981,1,,2000,19,,EMH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_EMH,cambridge journals,administrative,
Economics and Philosophy,0266-2671,1474-0028,1985,1,,1999,15,,EAP,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_EAP,cambridge journals,administrative,
English Language and Linguistics,1360-6743,1469-4379,1997,1,,1998,2,,ELL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ELL,cambridge journals,administrative,
English Today,0266-0784,1474-0567,1985,1,,2000,16,,ENG,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ENG,cambridge journals,administrative,
European Journal of Sociology / Archives Europ??ennes de Sociologie,0003-9756,1474-0583,1960,1,,2000,41,,EUR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_EUR,cambridge journals,administrative,
European Review,1062-7987,1474-0575,1993,1,,2000,8,,ERW,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ERW,cambridge journals,administrative,
Greece & Rome,0017-3835,1477-4550,1931,1,,2000,47,,GAR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_GAR,cambridge journals,administrative,
International Journal of Middle East Studies,0020-7438,1471-6380,1970,1,,1999,31,,MES,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_MES,cambridge journals,administrative,
Journal of American Studies,0021-8758,1469-5154,1967,1,,1996,30,,AMS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_AMS,cambridge journals,administrative,
Journal of Anglican Studies,1740-3553,1745-5278,2003,1,,2007,5,,AST,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_AST,cambridge journals,administrative,
Journal of Child Language,0305-0009,1469-7602,1974,1,,1996,23,,JCL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JCL,cambridge journals,administrative,
Journal of French Language Studies,0959-2695,1474-0079,1991,1,,1999,9,,JFL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JFL,cambridge journals,administrative,
Journal of Germanic Linguistics,1470-5427,1475-3014,1989,1,,2000,12,,JGL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JGL,cambridge journals,administrative,
Journal of Latin American Studies,0022-216X,1469-767X,1969,1,,1996,28,,LAS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_LAS,cambridge journals,administrative,
Journal of Linguistics,0022-2267,1469-7742,1965,1,,1996,32,,LIN,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_LIN,cambridge journals,administrative,
Journal of Social Policy,0047-2794,1469-7823,1972,1,,1996,25,,JSP,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JSP,cambridge journals,administrative,
Journal of Southeast Asian Studies,0022-4634,1474-0680,1970,1,,2000,31,,SEA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SEA,cambridge journals,administrative,
Journal of the International Phonetic Association,0025-1003,1475-3502,1971,1,,2000,30,,IPA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_IPA,cambridge journals,administrative,
Journal of the Royal Asiatic Society,1356-1863,1474-0591,1834,,,2000,,,JRA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JRA,cambridge journals,administrative,
Language in Society,0047-4045,1469-8013,1972,1,,1997,26,,LSY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_LSY,cambridge journals,administrative,
Language Teaching,0261-4448,1475-3049,1968,1,,2001,34,,LTA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_LTA,cambridge journals,administrative,
Language Variation and Change,0954-3945,1469-8021,1989,1,,1998,10,,LVC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_LVC,cambridge journals,administrative,
Modern Asian Studies,0026-749X,1469-8099,1967,1,,1997,31,,ASS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ASS,cambridge journals,administrative,
New Testament Studies,0028-6885,1469-8145,1954,1,,1998,44,,NTS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_NTS,cambridge journals,administrative,
New Theatre Quarterly,0266-464X,1474-0613,1985,1,,2001,17,,NTQ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_NTQ,cambridge journals,administrative,
Nordic Journal of Linguistics,0332-5865,1502-4717,1978,1,,2002,25,,NJL,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_NJL,cambridge journals,administrative,
Philosophy,0031-8191,1469-817X,1926,1,,1997,72,,PHI,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PHI,cambridge journals,administrative,
Phonology,0952-6757,1469-8188,1984,1,,1996,13,,PHO,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PHO,cambridge journals,administrative,
Plainsong and Medieval Music,0961-1371,1474-0087,1992,1,,1999,8,,PMM,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PMM,cambridge journals,administrative,
Popular Music,0261-1430,1474-0095,1981,1,,1999,18,,PMU,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PMU,cambridge journals,administrative,
ReCALL,0958-3440,1474-0109,1989,1,,1999,11,,REC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_REC,cambridge journals,administrative,
Religious Studies,0034-4125,1469-901X,1965,1,,1996,32,,RES,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_RES,cambridge journals,administrative,
Science in Context,0269-8897,1474-0664,1987,1,,2000,13,,SIC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SIC,cambridge journals,administrative,
Scottish Journal of Theology,0036-9306,1475-3065,1948,1,,2001,54,,SJT,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SJT,cambridge journals,administrative,
Social Philosophy and Policy,0265-0525,1471-6437,1983,1,,2001,18,,SOY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SOY,cambridge journals,administrative,
Studies in Second Language Acquisition,0272-2631,1470-1545,1978,1,,1996,18,,SLA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SLA,cambridge journals,administrative,
Tempo,0040-2982,1478-2286,1939,1,,2002,56,,TEM,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_TEM,cambridge journals,administrative,
The British Journal for the History of Science,0007-0874,1474-001X,1962,1,,2000,33,,BJH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BJH,cambridge journals,administrative,
The China Quarterly,0305-7410,1468-2648,1960,1,,2000,164,,CQY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CQY,cambridge journals,administrative,
The Classical Quarterly,0009-8388,1471-6844,1907,1,,2000,50,,CAQ,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CAQ,cambridge journals,administrative,
The Classical Review,0009-840X,1464-3561,1887,1,,1997,47,,CAR,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_CAR,cambridge journals,administrative,
The Journal of Modern African Studies,0022-278X,1469-7777,1963,1,,1996,34,,MOA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_MOA,cambridge journals,administrative,
Theatre Research International,0307-8833,1474-0672,1975,1,,2000,25,,TRI,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_TRI,cambridge journals,administrative,
Theatre Survey,0040-5574,1475-4533,1956,1,,2000,41,,TSY,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_TSY,cambridge journals,administrative,
Think ,1477-1756,1755-1196,2002,1,,2007,5,,THI,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_THI,cambridge journals,administrative,
Utilitas,0953-8208,1741-6183,1989,1,,2003,15,,UTI,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_UTI,cambridge journals,administrative,
Victorian Literature and Culture,1060-1503,1470-1553,1973,1,,1990,18,,VLC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_VLC,cambridge journals,administrative,
Victorian Literature and Culture,1060-1503,1470-1553,1997,25,,1998,26,,VLC,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_VLC,cambridge journals,administrative,
Ancient Mesoamerica,0956-5361,1469-1787,1990,1,,1998,9,,ATM,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_ATM,cambridge journals,administrative,
Journal of Southeast Asian History,0217-7811,,1960,1,,1969,10,,SEH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_SEH,cambridge journals,administrative,
Transactions of the Royal Asiatic Society of Great Britain and Ireland,0950-4737,,1827,1,,1831,3,,TRA,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_TRA,cambridge journals,administrative,
Bulletin of the British Society for the History of Science,0950-5636,,1949,1,,1949,1,,BBH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BBH,cambridge journals,administrative,
Bulletin of the British Society for the History of Science,0950-5636,,1961,1,,1961,1,,BBH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_BBH,cambridge journals,administrative,
Journal of the Plainsong & Mediaeval Music Society,0143-4918,,1978,1,,1990,13,,JPM,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_JPM,cambridge journals,administrative,
Royal Institute of Philosophy Supplements,1358-2461,1755-3555,1966,1,,2004,55,,PHS,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PHS,cambridge journals,administrative,
Papers of the American Society of Church History,1079-9028,,1889,1,,1896,8,,PCH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PCH,cambridge journals,administrative,
Papers of the American Society of Church History,1079-9028,,1909,1,,1934,9,,PCH,,fulltext,,,,cambridge journals,host,http://journals.cambridge.org/jid_PCH,cambridge journals,administrative,
