SO Name,NESLI2 CUP STM Package 2010-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,cup_stm package_2010_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,STM Package,,,,,,,,,,,,,,,,,,,
Package Name,STM Package,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2010,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Epidemiology & Infection,0950-2688,1469-4409,01/01/1996,,,,,,HYG,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_HYG,Cambridge Journals,administrative,
The Journal of Laryngology & Otology,0022-2151,1748-5460,01/01/1996,,,,,,JLO,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JLO,Cambridge Journals,administrative,
Mathematical Proceedings of the Cambridge Philosophical Society,0305-0041,1469-8064,01/01/1996,,,,,,PSP,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PSP,Cambridge Journals,administrative,
Mathematika,0025-5793,2041-7942,01/01/1996,,,,,,MTK,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_MTK,Cambridge Journals,administrative,
The Lichenologist,0024-2829,1096-1135,01/01/1996,,,,,,LIC,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_LIC,Cambridge Journals,administrative,
Genetical Research,0016-6723,0435-2823,01/01/1996,,,01/02/2007,89,05-Jun,GRH,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_GRH,Cambridge Journals,administrative,
Animal Genetic Resources Information,1014-2339,2076-4022,01/01/1996,,,01/10/2009,45,,AGR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_AGR,Cambridge Journals,administrative,
Prehospital and Disaster Medicine,1049-023X,1945-1938,01/01/1996,,,,,,PDM,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PDM,Cambridge Journals,administrative,
Journal of Materials Research,0884-2914,2044-5326,01/01/1996,,,,,,JMR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JMR,Cambridge Journals,administrative,
International Psychogeriatrics,1041-6102,1741-203X,01/01/1996,,,,,,IPG,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_IPG,Cambridge Journals,administrative,
Antarctic Science,0954-1020,1365-2079,01/01/1996,,,,,,ANS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_ANS,Cambridge Journals,administrative,
Epidemiologia e Psichiatria Sociale,1121-189X,,01/01/1996,,,01/12/2010,19,4,EPS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_EPS,Cambridge Journals,administrative,
Microscopy and Microanalysis,1431-9276,1435-8115,01/01/1996,,,,,,MAM,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_MAM,Cambridge Journals,administrative,
Fetal and Maternal Medicine Review,0965-5395,1469-5065,01/02/1996,8,1,,,,FMR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_FMR,Cambridge Journals,administrative,
Natural Language Engineering,1351-3249,1469-8110,01/03/1996,2,1,,,,NLE,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_NLE,Cambridge Journals,administrative,
British Actuarial Journal,1357-3217,2044-0456,01/04/1996,2,1,,,,BAJ,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_BAJ,Cambridge Journals,administrative,
Organised Sound,1355-7718,1469-8153,01/04/1996,1,1,,,,OSO,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_OSO,Cambridge Journals,administrative,
Experimental Agriculture,0014-4797,1469-4441,01/01/1997,33,1,,,,EAG,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_EAG,Cambridge Journals,administrative,
Geological Magazine,0016-7568,1469-5081,01/01/1997,134,1,,,,GEO,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_GEO,Cambridge Journals,administrative,
