SO Name,NESLI2 Walter De Gruyter SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,degruyter_collection_2012_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Walter De Gruyter,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Zeitschrift f¸r romanische Philologie,,1865-9063,1998,,,,,,zrph,,full text,,De Gruyter,http://dx.doi.org/10.1515/zrph,De Gruyter Online,host,http://dx.doi.org/10.1515/zrph,,,
Zeitschrift f¸r die gesamte Strafrechtswissenschaft      ,,1612-703X,1998,,,,,,zstw ,,full text,,De Gruyter,http://dx.doi.org/10.1515/zstw ,De Gruyter Online,host,http://dx.doi.org/10.1515/zstw ,,,
Zeitschrift f¸r Assyriologie und vorderasiatische Arch‰ologie     ,,1613-1150,1998,,,,,,zava ,,full text,,De Gruyter,http://dx.doi.org/10.1515/zava ,De Gruyter Online,host,http://dx.doi.org/10.1515/zava ,,,
Kant-Studien,,1613-1134,1998,,,,,,kant ,,full text,,De Gruyter,http://dx.doi.org/10.1515/kant ,De Gruyter Online,host,http://dx.doi.org/10.1515/kant ,,,
Zeitschrift f¸r celtische Philologie,,1865-889X,1998,,,,,,zcph,,full text,,De Gruyter,http://dx.doi.org/10.1515/zcph,De Gruyter Online,host,http://dx.doi.org/10.1515/zcph,,,
Zeitschrift f¸r die Neutestamentliche Wissenschaft und die Kunde der ‰lteren Kirche,,1613-009X,1998,,,,,,zntw ,,full text,,De Gruyter,http://dx.doi.org/10.1515/zntw ,De Gruyter Online,host,http://dx.doi.org/10.1515/zntw ,,,
Praehistorische Zeitschrift ,,1613-0804,1998,,,,,,prhz ,,full text,,De Gruyter,http://dx.doi.org/10.1515/prhz ,De Gruyter Online,host,http://dx.doi.org/10.1515/prhz ,,,
Zeitschrift f¸r die Alttestamentliche Wissenschaft,,1613-0103,1998,,,,,,zatw ,,full text,,De Gruyter,http://dx.doi.org/10.1515/zatw ,De Gruyter Online,host,http://dx.doi.org/10.1515/zatw ,,,
Juristische Rundschau,,1612-7064,1998,,,,,,juru ,,full text,,De Gruyter,http://dx.doi.org/10.1515/juru ,De Gruyter Online,host,http://dx.doi.org/10.1515/juru ,,,
Mammalia,,1864-1547,1998,,,,,,mamm ,,full text,,De Gruyter,http://dx.doi.org/10.1515/mamm ,De Gruyter Online,host,http://dx.doi.org/10.1515/mamm ,,,
