SO Name,NESLI2 Duke Standard Collection 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,duke_standardcollection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Duke University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,Standard Collection,,,,,,,,,,,,,,,,,,,
Package Name,Standard Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
American Literary Scholarship,0065-9142,1527-2125,2000,1998,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://als.dukejournals.org,Highwire,administrative,
American Literature,0002-9831,1527-2117,2000,72,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://americanliterature.dukejournals.org,Highwire,administrative,
American Speech,0003-1283,1527-2133,2000,75,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://americanspeech.dukejournals.org,Highwire,administrative,
boundary 2,0190-3659,1527-2141,2000,27,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://boundary2.dukejournals.org,Highwire,administrative,
Camera Obscura,0270-5346,1529-1510,1976,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://cameraobscura.dukejournals.org,Highwire,administrative,
Common Knowledge,0961-754X,1538-4578,2002,8,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://commonknowledge.dukejournals.org,Highwire,administrative,
"Comparative Studies of South Asia, Africa and the Middle East",1089-201X,1548-226X,1981,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://cssaame.dukejournals.org,Highwire,administrative,
Cultural Politics,1743-2197,1751-7435,2012,8,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://culturalpolitics.dukejournals.org,Highwire,administrative,
differences,1040-7391,1527-1986,1999,11,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://differences.dukejournals.org,Highwire,administrative,
"EASTS: East Asian Science, Technology and Society: An International Journal",1875-2160 ,1875-2152,2007,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://easts.dukejournals.org,Highwire,administrative,
Eighteenth-Century Life,0098-2601,1086-3192,2000,24,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://ecl.dukejournals.org,Highwire,administrative,
Ethnohistory,0014-1801,1527-5477,2000,47,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://ethnohistory.dukejournals.org,Highwire,administrative,
French Historical Studies,0016-1071,1527-5493,2000,23,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://fhs.dukejournals.org,Highwire,administrative,
GLQ: A Journal of Lesbian and Gay Studies,1064-2684,1527-9375,1993,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://glq.dukejournals.org,Highwire,administrative,
Hispanic American Historical Review,0018-2168,1527-1900,2000,80,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://hahr.dukejournals.org,Highwire,administrative,
History of Political Economy,0018-2702,1527-1919,1969,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://hope.dukejournals.org,Highwire,administrative,
"Journal of Health Politics, Policy and Law",0361-6878,1527-1927,1976,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://jhppl.dukejournals.org,Highwire,administrative,
Journal of Medieval and Early Modern Studies,1082-9636,1527-8263,2000,30,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://jmems.dukejournals.org,Highwire,administrative,
Labor: Studies in Working-Class History of the Americas,1547-6715,1558-1454,2004,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://labor.dukejournals.org,Highwire,administrative,
Mediterranean Quarterly,1047-4552,1527-1935,2000,11,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://mq.dukejournals.org ,Highwire,administrative,
minnesota review,0026-5667,2157-4189,2011,2005,63,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://minnesotareview.dukejournals.org/,Highwire,administrative,
Modern Language Quarterly,0026-7929,1527-1943,1940,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://mlq.dukejournals.org,Highwire,administrative,
New German Critique,0094-033X,1558-1462,1999,33,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://ngc.dukejournals.org,Highwire,administrative,
Nka: Journal of African Contemporary Art,1075-7163,2152-7792,1994,1994,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://nka.dukejournals.org,Highwire,administrative,
Pedagogy,1531-4200,1533-6255,2001,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://pedagogy.dukejournals.org,Highwire,administrative,
Poetics Today,0333-5372,1527-5507,2000,21,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://poeticstoday.dukejournals.org,Highwire,administrative,
positions: east asia cultures critique,1067-9847,1527-8271,1993,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://positions.dukejournals.org,Highwire,administrative,
Public Culture,0899-2363,1527-8018,1988,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://publicculture.dukejournals.org,Highwire,administrative,
Radical History Review,0163-6545,1534-1453,1978,1975,09-Oct,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://rhr.dukejournals.org,Highwire,administrative,
Small Axe,0799-0537,1534-6714,2001,5,2,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://smallaxe.dukejournals.org,Highwire,administrative,
Social Science History,0145-5532,1527-8034,2000,24,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://ssh.dukejournals.org,Highwire,administrative,
Social Text,0164-2472,1527-1951,2000,18,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://socialtext.dukejournals.org,Highwire,administrative,
South Atlantic Quarterly,0038-2876,1527-8026,2000,99,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://saq.dukejournals.org,Highwire,administrative,
Theater,0161-0775,1527-196X,1968,1,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://theater.dukejournals.org,Highwire,administrative,
Tikkun,0887-9982,2164-0041,2012,27,1,,,,,No embargo on HighWire Press,Full-text,,Duke University Press,,Duke Journals,host,http://tikkun.dukejournals.org,Highwire,administrative,
