SO Name,NESLI2 Project Euclid Prime 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,project euclid_prime_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Project Euclid,,,,,,,,,,,,,,,,,,,
Package Identifier,Prime,,,,,,,,,,,,,,,,,,,
Package Name,Prime,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Abstract and Applied Analysis,1085-3375,1687-0409,1996,1,1,,,,aaa,,Full text,,Hindawi Publishing Corporation,,Project Euclid,host,http://ProjectEuclid.org/aaa,Project Euclid,administrative,
Advances in Theoretical and Mathematical Physics,1095-0761,1095-0753,2003,7,1,,,,atmp,,Full text,,International Press of Boston,,Project Euclid,host,http://ProjectEuclid.org/atmp,Project Euclid,administrative,
African Diaspora Journal of Mathematics,,1539-854X,2009,9,2,,,,adjm,,Full text,,Mathematical Research Publishers,,Project Euclid,host,http://ProjectEuclid.org/adjm,Project Euclid,administrative,
Asian Journal of Mathematics,1093-6106,1945-0036,2004,8,1,,,,ajm,,Full text,,International Press of Boston,,Project Euclid,host,http://ProjectEuclid.org/ajm,Project Euclid,administrative,
Banach Journal of Mathematical Analysis,,1735-8787,2007,1,1,,,,bjma,,Full text,,Tusi Mathematical Research Group,,Project Euclid,host,http://ProjectEuclid.org/bjma,Project Euclid,administrative,
Bulletin of the Belgian Mathematical Society - Simon Stevin,1370-1444,,1994,1,1,,,,bbms,,Full text,,The Belgian Mathematical Society,,Project Euclid,host,http://ProjectEuclid.org/bbms,Project Euclid,administrative,
Communications in Information and Systems,1526-7555,2163-4548,2003,3,3,2010,10,4,cis,,Full text,,International Press of Boston,,Project Euclid,host,http://ProjectEuclid.org/cis,Project Euclid,administrative,
Communications in Mathematical Analysis,,1938-9787,2010,8,1,,,,cma,,Full text,,Mathematical Research Publishers,,Project Euclid,host,http://ProjectEuclid.org/cma,Project Euclid,administrative,
Communications in Mathematical Sciences,1539-6746,1945-0796,2003,1,1,2010,8,4,cms,,Full text,,International Press of Boston,,Project Euclid,host,http://ProjectEuclid.org/cms,Project Euclid,administrative,
Current Developments in Mathematics,1089-6384,,2002,2002,1,2008,2008,1,cdm,,Full text,,International Press of Boston,,Project Euclid,host,http://ProjectEuclid.org/cdm,Project Euclid,administrative,
