SO Name,JC Institution of Civil Engineers Virtual Library Archive,,,,,,,,,,,,,,,,,,,
SO Identifier,ice_ virtuallibraryarchive_jc,,,,,,,,,,,,,,,,,,,
Provider,Institution of Civil Engineers,,,,,,,,,,,,,,,,,,,
Package Identifier, Virtual Library Archive,,,,,,,,,,,,,,,,,,,
Package Name, Virtual Library Archive,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ICE Engineering Division Papers,,0534-2775,1942,1,1942,1951,9,1951,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/idivp,,,
ICE Proceedings,,1753-7789,1952,1,1,1991,91,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/iicep,,,
ICE Proceedings,,0534-2767,1952,1,1,1956,5,6,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/iicep,,,
Journal of the ICE,,0368-2455,1935,1,1,1948,30,8,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/ijoti,,,
Journal of the ICE,,0368-2455,1951,36,5,1951,36,10,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/ijoti,,,
Life of Telford,,7277-3502,1838,1,1838,1838,1,1838,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/ilotl,,,
Minutes of the Proceedings (Institution of Civil Engineers),,1753-7843,1837,1,1837,1920,210,1920,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/imotp,,,
Minutes of the Proceedings (Institution of Civil Engineers),,1753-7843,1922,213,1922,1935,240,1935,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/imotp,,,
ICE Selected Engineering Papers,,1753-7827,1923,1,1,1935,1,180,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/isenp,,,
ICE Transactions,,1753-7851,1836,1,1836,1836,1,1836,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/itrcs,,,
ICE Transactions,,1753-7851,1838,2,1838,1842,3,1842,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/itrcs,,,
Proceedings of the ICE - Water Maritime and Energy,,1753-7819,1992,96,1,1999,136,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/iwtme,,,
Proceedings of the ICE - Civil Engineering,,1751-7672,1992,92,1,2001,144,6,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/cien,,,
Proceedings of the ICE - Geotechnical Engineering,1353-2618,1751-8563,1994,107,1,1998,131,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/geng,,,
Proceedings of the ICE - Geotechnical Engineering,1353-2618,1751-8563,2001,149,1,2001,149,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/geng,,,
Proceedings of the ICE - Municipal Engineer,0965-0903,1751-7699,1992,93,1,2001,145,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/muen,,,
Proceedings of the ICE - Structures and Buildings,0965-0911,1751-7702,1992,94,1,2001,146,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/stbu,,,
Proceedings of the ICE - Transport,,1751-7710,1992,95,1,2001,147,3,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/tran,,,
Proceedings of the ICE - Water and Maritime Engineering,1472-4561,1753-7800,2000,142,1,2001,148,4,,,,,Institution of Civil Engineers,,,,http://www.icevirtuallibrary.com/content/serial/wame,,,
