SO Name,JC IOP Archives 1999-2006,,,,,,,,,,,,,,,,,,,
SO Identifier,iop_archives 1999-2006_jc,,,,,,,,,,,,,,,,,,,
Provider,IOP,,,,,,,,,,,,,,,,,,,
Package Identifier,Archives 1999-2006,,,,,,,,,,,,,,,,,,,
Package Name,Archives 1999-2006,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Bioinspiration & Biomimetics,1748-3182,1748-3190,2006,,,,,,1748-3190,,full text,,,,IOPScience,host,http://iopscience.iop.org/1748-3190,IOPScience,administrative,
Biomedical Materials,1748-6041,1748-605X,2006,,,,,,1748-605X,,full text,,,,IOPScience,host,http://iopscience.iop.org/1748-605X,IOPScience,administrative,
Chinese Journal of Astronomy and Astrophysics,1009-9271,,2005,,,,,,1009-9271,,full text,,,,IOPScience,host,http://iopscience.iop.org/1009-9271,IOPScience,administrative,
Chinese Physics,1009-1963,1741-4199,2001,,,,,,1009-1963,,full text,,,,IOPScience,host,http://iopscience.iop.org/1009-1963,IOPScience,administrative,
Chinese Physics B,1674-1056,,2008,,,,,,1674-1056,,full text,,,,IOPScience,host,http://iopscience.iop.org/1674-1056,IOPScience,administrative,
Chinese Physics Letters,0256-307X,1741-3540,1999,,,,,,0256-307X,,full text,,,,IOPScience,host,http://iopscience.iop.org/0256-307X,IOPScience,administrative,
Classical and Quantum Gravity,0264-9381,1361-6382,1999,,,,,,0264-9381,,full text,,,,IOPScience,host,http://iopscience.iop.org/0264-9381,IOPScience,administrative,
Communications in Theoretical Physics,0253-6102,,2005,,,,,,0253-6102,,full text,,,,IOPScience,host,http://iopscience.iop.org/0253-6102,IOPScience,administrative,
Distributed Systems Engineering,0967-1846,1361-6390,1999,,,,,,0967-1846,,full text,,,,IOPScience,host,http://iopscience.iop.org/0967-1846,IOPScience,administrative,
Environmental Research Letters,,1748-9326,2006,,,,,,1748-9326,,full text,,,,IOPScience,host,http://iopscience.iop.org/1748-9326,IOPScience,administrative,
EPL (Europhysics Letters),0295-5075,1286-4854,1986,,,,,,0295-5075,,full text,,,,IOPScience,host,http://iopscience.iop.org/0295-5075,IOPScience,administrative,
European Journal of Physics,0143-0807,1361-6404,1999,,,,,,0143-0807,,full text,,,,IOPScience,host,http://iopscience.iop.org/0143-0807,IOPScience,administrative,
Fluid Dynamics Research,0169-5983,1873-7005,1999,,,,,,1873-7005,,full text,,,,IOPScience,host,http://iopscience.iop.org/1873-7005,IOPScience,administrative,
Inverse Problems,0266-5611,1361-6420,1999,,,,,,0266-5611,,full text,,,,IOPScience,host,http://iopscience.iop.org/0266-5611,IOPScience,administrative,
Journal of Cosmology and Astroparticle Physics,,1475-7516,2003,,,,,,1475-7516,,full text,,,,IOPScience,host,http://iopscience.iop.org/1475-7516,IOPScience,administrative,
Journal of Geophysics and Engineering,1742-2132,1742-2140,2004,,,,,,1742-2140,,full text,,,,IOPScience,host,http://iopscience.iop.org/1742-2140,IOPScience,administrative,
Journal of High Energy Physics,1126-6708,,1999,,,,,,,,full text,,,,IOPScience,host,http://iopscience.iop.org/1126-6708/,IOPScience,administrative,
Journal of Instrumentation,,1748-0221,2006,,,,,,1748-0221,,full text,,,,IOPScience,host,http://iopscience.iop.org/1748-0221,IOPScience,administrative,
Journal of Micromechanics and Microengineering,0960-1317,1361-6439,1999,,,,,,0960-1317,,full text,,,,IOPScience,host,http://iopscience.iop.org/0960-1317,IOPScience,administrative,
Journal of Neural Engineering,1741-2560,1741-2552,2004,,,,,,1741-2552,,full text,,,,IOPScience,host,http://iopscience.iop.org/1741-2552,IOPScience,administrative,
