SO Name,NESLI2 ISPG collection 2012_2014,,,,,,,,,,,,,,,,,,,,,
SO Identifier,ispg_collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,,,
Provider,ISPG,,,,,,,,,,,,,,,,,,,,,
Package Identifier,ISPG Collection,,,,,,,,,,,,,,,,,,,,,
Package Name,ISPG Collection,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_name,platform_role,platform_title_url
Molecular Biology of the Cell,1059-1524 ,1939-4586 ,1998,,,,,,,,,,American Society for Cell Biology ,,Molecular Biology of the Cell,host,http://www.molbiolcell.org ,Highwire,administrative,,,
Journal of Animal Science,0021-8812 ,1525-3163 ,1910,,,,,,,,,,American Society of Animal Science ,,Journal of Animal Science,host,http://jas.fass.org ,Highwire,administrative,,,
American Journal of Neuroradiology,0195-6108 ,1936-959X ,1995,,,,,,,,,,American Society of Neuroradiology ,,American Journal of Neuroradiology,host,http://www.ajnr.org ,Highwire,administrative,,,
American Journal of Audiology,1059-0889 ,1558-9137 ,2010,,,,,,,,,,American Speech-Language-Hearing Association ,,ASHA Journals,host,http://aja.asha.org ,Highwire,administrative,,,
American Journal of Speech-Language Pathology,1058-0360 ,1558-9110 ,2010,,,,,,,,,,American Speech-Language-Hearing Association ,,ASHA Journals,host,http://ajslp.asha.org ,Highwire,administrative,,,
"Journal of Speech, Language, and Hearing Research",1092-4388 ,1558-9102 ,2010,,,,,,,,,,American Speech-Language-Hearing Association ,,ASHA Journals,host,http://jslhr.asha.org ,Highwire,administrative,,,
"Language, Speech, and Hearing Services in Schools",0161-1461 ,1558-9129 ,2010,,,,,,,,,,American Speech-Language-Hearing Association ,,ASHA Journals,host,http://lshss.asha.org ,Highwire,administrative,,,
Endocrine-Related Cancer,1351-0088 ,1479-6821 ,2012,,,,,,,,,,BioScientifica ,,Society for Endocrinology Journals,host,http://erc.endocrinology-journals.org ,Highwire,administrative,Society for Endocrinology Journals,administrative,http://erc.endocrinology-journals.org 
Journal of Endocrinology,0022-0795 ,1479-6805 ,2012,,,,,,,,,,BioScientifica ,,Society for Endocrinology Journals,host,http://joe.endocrinology-journals.org ,Highwire,administrative,Society for Endocrinology Journals,administrative,http://joe.endocrinology-journals.org 
Journal of Molecular Endocrinology,0952-5041 ,1479-6813 ,2012,,,,,,,,,,BioScientifica ,,Society for Endocrinology Journals,host,http://jme.endocrinology-journals.org ,Highwire,administrative,Society for Endocrinology Journals,administrative,http://jme.endocrinology-journals.org 
European Journal of Endocrinology,0804-4643 ,1479-683X ,2012,,,,,,,,,,BioScientifica ,,European Journal of Endocrinology,host,http://www.eje-online.org ,Highwire,administrative,European Journal of Endocrinology,administrative,http://www.eje-online.org 
Reproduction,1470-1626 ,1741-7899 ,2012,,,,,,,,,,BioScientifica ,,Reproduction,host,http://www.reproduction-online.org ,Highwire,administrative,Reproduction,administrative,http://www.reproduction-online.org 
"Journal of Bone & Joint Surgery, British Volume",0301-620X ,2044-5377 ,2008,,,,,,,,,,British Editorial Society of Bone and Joint Surgery ,,"Journal of Bone & Joint Surgery, British Volume",host,http://web.jbjs.org.uk ,Highwire,administrative,,,
Development,0950-1991 ,1477-9129 ,1953,,,,,,,,,,Company of Biologists ,,Company of Biologists ,host,http://dev.biologists.org ,Highwire,administrative,,,
Journal of Cell Science,0021-9533 ,1477-9137 ,1853,,,,,,,,,,Company of Biologists ,,Company of Biologists ,host,http://jcs.biologists.org ,Highwire,administrative,,,
Journal of Experimental Biology,0022-0949 ,1477-9145 ,1923,,,,,,,,,,Company of Biologists ,,Company of Biologists ,host,http://jeb.biologists.org ,Highwire,administrative,,,
Limnology and Oceanography: Fluids and Environments,,2157-3689,2011,,,,,,,,,,Duke University Press,,Duke Journals,host,http://lofe.dukejournals.org/,Highwire,administrative,,,
European Respiratory Journal,0903-1936 ,1399-3003 ,2012,,,,,,,,,,European Respiratory Society ,,European Respiratory Journal,host,http://erj.ersjournals.com ,Highwire,administrative,,,
European Respiratory Monograph,1025-448x,2075-6674,2012,,,,,,,,,,European Respiratory Society ,,European Respiratory Monograph,host,http://erm.ersjournals.com/,Highwire,administrative,,,
Genetics,0016-6731 ,1943-2631 ,1916,,,,,,,,,,Genetics Society of America ,,Genetics,host,http://www.genetics.org ,Highwire,administrative,,,
Poultry Science,0032-5791 ,1525-3171 ,2012,,,,,,,,,,"Poultry Science Association, Inc. ",,Poultry Science,host,http://ps.fass.org ,Highwire,administrative,,,
Advances in Psychiatric Treatment,1355-5146 ,1472-1481 ,1977,,,,,,,,,,Royal College of Psychiatrists ,,Royal College of Psychiatrists ,host,http://apt.rcpsych.org ,Highwire,administrative,,,
British Journal of Psychiatry,0007-1250 ,1472-1465 ,1855,,,,,,,,,,Royal College of Psychiatrists ,,Royal College of Psychiatrists ,host,http://bjp.rcpsych.org ,Highwire,administrative,,,
The Psychiatrist,1758-3209 ,1758-3217 ,1994,,,,,,,,,,Royal College of Psychiatrists ,,Royal College of Psychiatrists ,host,http://pb.rcpsych.org ,Highwire,administrative,,,
Biology of Reproduction,0006-3363 ,1529-7268 ,1969,,,,,,,,,,Society for the Study of Reproduction ,,Biology of Reproduction,host,http://www.biolreprod.org ,Highwire,administrative,,,
Journal of Nuclear Medicine Technology,0091-4916 ,1535-5675 ,1997,,,,,,,,,,Society of Nuclear Medicine ,,SNM Journals,host,http://tech.snmjournals.org ,Highwire,administrative,,,
Journal of Nuclear Medicine,0161-5505 ,2159-662X ,1964,,,,,,,,,,Society of Nuclear Medicine  ,,SNM Journals,host,http://jnm.snmjournals.org ,Highwire,administrative,,,
Health Affairs,0278-2715 ,1544-5208 ,1981,,,,,,,,,,Project HOPE (People-to-People Health Foundation) ,,Health Affairs,host,http://content.healthaffairs.org ,Highwire,administrative,,,
