SO Name,NESLI2 Journal of Visualized Experiments (JoVE) 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,jove_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,JOVE,,,,,,,,,,,,,,,,,,,
Package Identifier,Journal of Visualized Experiments (JoVE),,,,,,,,,,,,,,,,,,,
Package Name,Journal of Visualized Experiments (JoVE),,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal of visualized experiments,1940-087X,,2006,,,,,,,,Audiovisual,combination of peer reviewed video and text,JoVe,,Journal of Visualized Experiments,host,http://www.jove.com/,,,
