SO Name,NESLI2 Karger Full Collection 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,karger_colection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,S. Karger AG,,,,,,,,,,,,,,,,,,,
Package Identifier,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Cytologica,0001-5547,1938-2650,1996,40,1,,,,1938-2650,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1938-2650,,,
Acta Haematologica,0001-5792,1421-9662,1998,99,1,,,,1421-9662,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9662,,,
American Journal of Nephrology,0250-8095,1421-9670,1998,18,1,,,,1421-9670,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9670,,,
Annales Nestlé,0517-8606,1661-4011,2006,64,1,2010,68,3,1661-4011,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4011,,,
Annales Nestlé - German Edition,0250-9652,1661-3740,2006,64,1,2008,66,3,1661-3740,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3740,,,
Annales Nestlé - French Edition ,0250-9644,1661-3732,2006,64,1,2010,68,3,1661-3732,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3732,,,
 Annales Nestlé - Spanish Edition,0252-8185,1661-4003,2006,64,1,2010,68,3,1661-4003,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4003,,,
Analytische Psychologie,0301-3006,1421-9689,1998,29,1,2003,34,4,1421-9689,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9689,,,
Annals of Nutrition and Metabolism,0250-6807,1421-9697,1998,42,1,,,,1421-9697,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9697,,,
Audiology and Neurotology,1420-3030,1421-9700,1998,3,1,,,,1421-9700,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9700,,,
Biological Signals and Receptors,1422-4933,1422-4992,1998,7,1,2001,10,6,1422-4992,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-4992,,,
Biology of the Neonate ,0006-3126,1421-9727,1998,73,1,2006,90,4,1421-9727,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9727,,,
Blood Purification,0253-5068,1421-9735,1998,16,1,,,,1421-9735,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9735,,,
"Brain, Behavior and Evolution",0006-8977,1421-9743,1998,51,1,,,,1421-9743,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9743,,,
Breast Care,1661-3791,1661-3805,2006,1,1,,,,1661-3805,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3805,,,
Cardiology,0008-6312,1421-9751,1998,89,1,,,,1421-9751,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9751,,,
Cardiorenal Medicine,1664-3828,1664-5502,2011,1,1,,,,1664-5502,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5502,,,
Caries Research,0008-6568,1421-976X,1998,32,1,,,,1421-976X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-976X,,,
Cells Tissues Organs,1422-6405,1422-6421,1998,161,1,,,,1422-6421,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-6421,,,
Cellular Physiology and Biochemistry,1015-8987,1421-9778,1998,8,1,,,,1421-9778,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9778,,,
