SO Name,NESLI2 Maney Archaeology and Heritage 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_archaeology and heritage_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Archaeology and Heritage,,,,,,,,,,,,,,,,,,,,,,
Package Name,Archaeology and Heritage,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Arms & Armour,1741-6124,1749-6268,2004,1,1,,,,aaa,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aaa,Ingenta Connect ,administrative,,Highwire,administrative,
Conservation and Management of Archaelogical Sites,1350-5033,1753-5522,1995,1,1,,,,cma,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cma,Ingenta Connect ,administrative,,Highwire,administrative,
English Heritage Historical Review,1752-0169,2046-9187,2006,1,1,,,,ehr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ehr,Ingenta Connect ,administrative,,Highwire,administrative,
Environmental Archaeology,1461-4103,1749-6314,1996,1,1,,,,env,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/env,Ingenta Connect ,administrative,,Highwire,administrative,
European Journal of Archaeology,1461-9571,1741-2722,2011,14,1,,,,eja,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/eja,Ingenta Connect ,administrative,,Highwire,administrative,
Industrial Archaeology Review,0309-0728,1745-8196,1976,1,1,,,,iar,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/iar,Ingenta Connect ,administrative,,Highwire,administrative,
Interdisciplinary Science Reviews,0308-0188,1743-2790,1976,1,1,,,,isr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/isr,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Conflict Archaeology,1574-0773,1574-0781,2005,1,1,,,,jca,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/jca,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Field Archaeology,0093-4690,2042-4582,1974,1,1,,,,jfa,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/jfa,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of the British Archaeological Association,0068-1288,1747-6704,1980,133,1,,,,jba,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/jba,Ingenta Connect ,administrative,,Highwire,administrative,
Language & History,1759-7536,1759-7544,2009,52,1,,,,lhi,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/lhi,Ingenta Connect ,administrative,,Highwire,administrative,
Levant ,0075-8914,1756-3801,1969,1,1,,,,lev,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/lev,Ingenta Connect ,administrative,,Highwire,administrative,
Medieval Archaeology,0076-6097,1745-817X,2007,44,1,,,,med,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/med,Ingenta Connect ,administrative,,Highwire,administrative,
Palestine Exploration Quarterly,0031-0328,1743-1301,2004,136,1,,,,peq,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/peq,Ingenta Connect ,administrative,,Highwire,administrative,
Post-Medieval Archaeology,0079-4236,1745-8137,2005,39,1,,,,pma,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pma,Ingenta Connect ,administrative,,Highwire,administrative,
Public Archaeology,1465-5187,1753-5530,2000,,1,,,,pua,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pua,Ingenta Connect ,administrative,,Highwire,administrative,
Studies in Conservation,0039-3630,2047-0584,2000,56,3,,,,sic,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sic,Ingenta Connect ,administrative,,Highwire,administrative,
Survey Review,0039-6265,1752-2706,1931,1,1,,,,sre,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sre,Ingenta Connect ,administrative,,Highwire,administrative,
