SO Name,NESLI2 Maney Full collection 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney Publishing,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
"Advances in Applied Ceramics: Structural, Functional and Bioceramics",1743-6753,1743-6761,1999,104,1,,,,aac,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aac,Ingenta Connect ,administrative,,Highwire,administrative,
Ambix:  The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,1937,1,1,,,,amb,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/amb,Ingenta Connect ,administrative,,Highwire,administrative,
Annals of Tropical Medicine & Parasitology,2046-9047,2046-9055,2002,93,1,2011,105,7,,,Full Text,,,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/atmp,Ingenta Connect ,administrative,,Highwire,administrative,
Annals of Tropical Paediatrics,2047-7724,2047-7732,2002,22,1,2011,31,4,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/atp,Ingenta Connect ,administrative,,Highwire,administrative,
Applied Earth Science (Transactions of the Institutions of Mining and Metallurgy: Section B),0371-7453,1743-2758,2000,109,1,,,,aes,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aes,Ingenta Connect ,administrative,,Highwire,administrative,
Arms & Armour,1741-6124,1749-6268,2004,1,1,,,,aaa,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aaa,Ingenta Connect ,administrative,,Highwire,administrative,
British Ceramic Transactions,0967-9782: ,1743-2766,1999,98,1,2004,103,6,bct,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bct,Ingenta Connect ,administrative,,Highwire,administrative,
British Corrosion Journals,0007-0599,,1965,1,1,,37,4,bjc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bcj,Ingenta Connect ,administrative,,Highwire,administrative,
Bronte Society Transactions,"0309-7765
",,2001,1,1,,26,2,,,Full Text,,Maney Publishing,,Ingenta Connect,host,,Ingenta Connect ,administrative,,Highwire,administrative,
Bronte Studies,1474-8932,1745-8226,2002,27,1,,,,bst,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bst,Ingenta Connect ,administrative,,Highwire,administrative,
"Bubble Science, Engineering & Technology",1758-8960,1758-8979,2009,1,1,,,,bub,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bub,Ingenta Connect ,administrative,,Highwire,administrative,
Bulletin for the Council for British Research in the Levant ,1752-7260,1752-7279,2006,1,1,2011,6,1,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/brl,Ingenta Connect ,administrative,,Highwire,administrative,
Byzantine and Modern Greek Studies,0307-0131,1749-625X,1975,1,1,,,,byz,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/byz,Ingenta Connect ,administrative,,Highwire,administrative,
Canadian Metallurgical Quarterly ,0008-4433,1879-1395,1962,1,1,,,,cmq,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cmq,Ingenta Connect ,administrative,,Highwire,administrative,
Central Europe,1479-0963,1745-8218,2003,1,1,,,,ceu,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ceu,Ingenta Connect ,administrative,,Highwire,administrative,
Cochlear Implants International,1467-0100,1754-7628,2000,1,1,,,,cii,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cii,Ingenta Connect ,administrative,,Highwire,administrative,
Comparative American Studies,1477-5700,1741-2676,2003,1,1,,,,cas,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cas,Ingenta Connect ,administrative,,Highwire,administrative,
Competition & Change,1024-5294,1477-2221,2002,1,1,,,,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/com,Ingenta Connect ,administrative,,Highwire,administrative,
Conservation and Management of Archaelogical Sites,1350-5033,1753-5522,1995,1,1,,,,cma,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cma,Ingenta Connect ,administrative,,Highwire,administrative,
"Corrosion Engineering, Science and Technology",1478-422X,1743-2782,1966,38,1,,,,cest,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cest,Ingenta Connect ,administrative,,Highwire,administrative,
Costume:  Journal of the Costume Society,0590-8876,1749-6306,1965,1,2,,,,cos,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cos,Ingenta Connect ,administrative,,Highwire,administrative,
Deafness & Education International,1464-3154,1557-069X,1999,1,1,,,,dei,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dei,Ingenta Connect ,administrative,,Highwire,administrative,
Dix-Neuf ,,1478-7318,2003,1,1,,,,dix,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dix,Ingenta Connect ,administrative,,Highwire,administrative,
