SO Name,NESLI2 Maney history and humanities 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_history and humanities_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney Publishing,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,History and Humanities,,,,,,,,,,,,,,,,,,,,,,
Package Name,History and Humanities,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Ambix:  The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,1937,1,1,,,,amb,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/amb,Ingenta Connect ,administrative,,Highwire,administrative,
Arms & Armour,1741-6124,1749-6268,2004,1,1,,,,aaa,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aaa,Ingenta Connect ,administrative,,Highwire,administrative,
Bronte Society Transactions,"0309-7765
",,2001,1,1,,26,2,,,Full Text,,Maney Publishing,,Ingenta Connect,host,,Ingenta Connect ,administrative,,Highwire,administrative,
Bronte Studies,1474-8932,1745-8226,2002,27,1,,,,bst,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bst,Ingenta Connect ,administrative,,Highwire,administrative,
Byzantine and Modern Greek Studies,0307-0131,1749-625X,1975,1,1,,,,byz,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/byz,Ingenta Connect ,administrative,,Highwire,administrative,
Central Europe,1479-0963,1745-8218,2003,1,1,,,,ceu,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ceu,Ingenta Connect ,administrative,,Highwire,administrative,
Comparative American Studies,1477-5700,1741-2676,2003,1,1,,,,cas,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cas,Ingenta Connect ,administrative,,Highwire,administrative,
Competition & Change,1024-5294,1477-2221,2002,1,1,,,,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/com,Ingenta Connect ,administrative,,Highwire,administrative,
Conservation and Management of Archaelogical Sites,1350-5033,1753-5522,1995,1,1,,,,cma,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cma,Ingenta Connect ,administrative,,Highwire,administrative,
Costume:  Journal of the Costume Society,0590-8876,1749-6306,1965,1,2,,,,cos,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cos,Ingenta Connect ,administrative,,Highwire,administrative,
