SO Name,NESLI2 Maney history 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_history_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,History ,,,,,,,,,,,,,,,,,,,,,,
Package Name,History ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Ambix:  The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,1937,1,1,,,,amb,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/amb,Ingenta Connect ,administrative,,Highwire,administrative,
Arms & Armour,1741-6124,1749-6268,2004,1,1,,,,aaa,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aaa,Ingenta Connect ,administrative,,Highwire,administrative,
Byzantine and Modern Greek Studies,0307-0131,1749-625X,1975,1,1,,,,byz,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/byz,Ingenta Connect ,administrative,,Highwire,administrative,
Costume:  Journal of the Costume Society,0590-8876,1749-6306,1965,1,2,,,,cos,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cos,Ingenta Connect ,administrative,,Highwire,administrative,
Dress,0361-2112,2042-1729,2010,36,1,,,,dre,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dre,Ingenta Connect ,administrative,,Highwire,administrative,
Dutch Crossing,0309-6564,1759-7854,2009,33,1,,,,dtc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dtc,Ingenta Connect ,administrative,,Highwire,administrative,
Early Medieval China,1529-9104,1946-7842,1994,1,1,,,,emc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/emc,Ingenta Connect ,administrative,,Highwire,administrative,
English Heritage Historical Review,1752-0169,2046-9187,2006,1,1,,,,ehr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ehr,Ingenta Connect ,administrative,,Highwire,administrative,
Exemplaria:  A Journal of Theory in Medieval Renaissance Studies,1041-2573,1753-3074,1989,1,1,,,,exm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/exm,Ingenta Connect ,administrative,,Highwire,administrative,
Family & Community History,1463-1180,1751-3812,2006,9,1,,,,fch,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/fch,Ingenta Connect ,administrative,,Highwire,administrative,
