SO Name,NESLI2 Maney Materials Sciences and Engineering 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_materials sciences and engineering_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Materials Sciences and Engineering,,,,,,,,,,,,,,,,,,,,,,
Package Name,Materials Sciences and Engineering,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
"Advances in Applied Ceramics: Structural, Functional and Bioceramics",1743-6753,1743-6761,1999,104,1,,,,aac,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aac,Ingenta Connect ,administrative,,Highwire,administrative,
Ambix:  The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,1937,1,1,,,,amb,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/amb,Ingenta Connect ,administrative,,Highwire,administrative,
Applied Earth Science (Transactions of the Institutions of Mining and Metallurgy: Section B),0371-7453,1743-2758,2000,109,1,,,,aes,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/aes,Ingenta Connect ,administrative,,Highwire,administrative,
"Bubble Science, Engineering & Technology",1758-8960,1758-8979,2009,1,1,,,,bub,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bub,Ingenta Connect ,administrative,,Highwire,administrative,
Canadian Metallurgical Quarterly ,0008-4433,1879-1395,1962,1,1,,,,cmq,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cmq,Ingenta Connect ,administrative,,Highwire,administrative,
"Corrosion Engineering, Science and Technology",1478-422X,1743-2782,1966,38,1,,,,cest,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cest,Ingenta Connect ,administrative,,Highwire,administrative,
"Imaging Science Journal, The",1368-2199,1743-131X,2004,52,1,,,,isj,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/isj,Ingenta Connect ,administrative,,Highwire,administrative,
Interdisciplinary Science Reviews,0308-0188,1743-2790,1976,1,1,,,,isr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/isr,Ingenta Connect ,administrative,,Highwire,administrative,
International Journal of Cast Metals Research,1364-0461,1743-1336,2004,17,1,,,,ijcmr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ijcmr,Ingenta Connect ,administrative,,Highwire,administrative,
International Materials Reviews,0950-6608,1743-2804,1956,32,1,,,,imr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/imr,Ingenta Connect ,administrative,,Highwire,administrative,
International Wood Products Journal ,2042-6445,2042-6453,2005,1,1,,,,iwp,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/iwp,Ingenta Connect ,administrative,,Highwire,administrative,
"Ironmaking & Steelmaking: Processes, Products and Applications",0301-9233,1743-2812,1999,26,1,,,,ias,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ias,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of the Energy Institute,1743-9671,1746-0220,2005,78,1,,,,eni,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/eni,Ingenta Connect ,administrative,,Highwire,administrative,
Materials Research Innovations,,1433-075X,2006,10,1,,,,mri,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mri,Ingenta Connect ,administrative,,Highwire,administrative,
Materials Science and Technology,0267-0836,1743-2847,1967,1,1,,,,mst,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mst,Ingenta Connect ,administrative,,Highwire,administrative,
Materials Technology: Advanced Performance Materials,1066-7857,1753-5557,2006,21,1,,,,mte,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mte,Ingenta Connect ,administrative,,Highwire,administrative,
Mineral Processing and Extractive Metallurgy (Transactions of the Institutions of Mining and Metallurgy: Section C),0371-9553,1743-2855,2000,109,1,,,,mpem,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mpem,Ingenta Connect ,administrative,,Highwire,administrative,
"Packaging, Transport, Storage & Security of Radioactive Material",1746-5095,1746-5109,1990,15,1,,,,ptssrm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ptssrm,Ingenta Connect ,administrative,,Highwire,administrative,
"Plastics, Rubber and Composites:  Macromolecular Engineering",1465-8011,1743-2898,1999,28,1,,,,prc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/prc,Ingenta Connect ,administrative,,Highwire,administrative,
Powder Metallurgy,0032-5899,1743-2901,1976,,1,,,,pm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pm,Ingenta Connect ,administrative,,Highwire,administrative,
Science and Technology of Welding and Joining ,,1743-2936,1996,1,1,,,,stwj,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/stwj,Ingenta Connect ,administrative,,Highwire,administrative,
Studies in Conservation,0039-3630,2047-0584,2000,56,3,,,,sic,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sic,Ingenta Connect ,administrative,,Highwire,administrative,
