SO Name,NESLI2 Multiscience Full Collection 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,multiscience_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Multi-Science,,,,,,,,,,,,,,,,,,,
Package Identifier,Multiscience Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Multiscience Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Adsorption Science & Technology ,0263-6174,,2000,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121490/,Metapress,administrative,
Advances in Structural Engineering ,1369-4332,,2000,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121491/,Metapress,administrative,
Building Acoustics ,1351-010X,,1999,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121492,Metapress,administrative,
Energy & Environment ,0958-305X,,1999,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121493/,Metapress,administrative,
Energy Exploration & Exploitation ,0144-5987,,2000,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121494,Metapress,administrative,
International Journal of Aeroacoustics ,1475-472X,,2002,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121495,Metapress,administrative,
International Journal of Aerospace Innovations ,1757-2258,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121496,Metapress,administrative,
International Journal of Emerging Multidisciplinary Fluid Sciences,1756-8315,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121498,Metapress,administrative,
International Journal of Flow Control,1756-8250,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121499,Metapress,administrative,
International Journal of Hypersonics ,1759-3107,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121662,Metapress,administrative,
International Journal of Innovation Science ,1757-2223,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121500,Metapress,administrative,
International Journal of Micro Air Vehicles ,1756-8293,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121501/,Metapress,administrative,
International Journal of Micro-Nano Scale Transport ,1759-3093,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121663,Metapress,administrative,
International Journal of Protective Structures ,2041-4196,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121736,Metapress,administrative,
International Journal of Space Structures ,0266-3511,,1999,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121503,Metapress,administrative,
International Journal of Sports Science & Coaching ,1747-9541,,2006,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121504,Metapress,administrative,
International Journal of Spray and Combustion Dynamics ,1756-8277,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121505,Metapress,administrative,
Journal of Algorithms & Computational Technology ,1748-3018,,2007,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121506,Metapress,administrative,
International Journal of Architectural Computing ,1478-0771,,,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121497,Metapress,administrative,
Journal of Healthcare Engineering ,2040-2295,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121507,Metapress,administrative,
Journal of Structural Fire Engineering ,2040-2317,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121508,Metapress,administrative,
"Low Frequency Noise, Vibration & Active Control ",0263-0923,,2000,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121510/,Metapress,administrative,
Noise & Vibration Worldwide ,0957-4565,,2006,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121511/,Metapress,administrative,
The International Journal of Multiphysics ,1750-9548,,2007,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121502,Metapress,administrative,
The International Journal of Ocean and Climate Systems  ,1759-3131,,2010,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121661,Metapress,administrative,
The Journal of Computational Multiphase Flows ,1757-482X,,2009,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121509,Metapress,administrative,
Wind Engineering ,0309-524X,,2008,,,,,,,,full text,,Multi-Science,,Metapress,host,http://multi-science.metapress.com/content/121513,Metapress,administrative,
