SO Name,NESLI2 Nature Publishing Group Journals 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,nature_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Nature,,,,,,,,,,,,,,,,,,,
Package Identifier,Nature Journals,,,,,,,,,,,,,,,,,,,
Package Name,Nature Journals,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Nature,,1476-4687,04/11/1869,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nature,,,
Nature Biotechnology,,1546-1696,01/03/1983,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nbt,,,
Nature Cell Biology,,1476-4679,01/05/1999,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/ncb,,,
Nature Chemical Biology,,1548-7105,03/05/2005,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nchembio,,,
Nature Chemistry,,1755-4349,22/02/2009,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nchem,,,
Nature Climate Change,,1758-678X,13/03/2011,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/natureclimatechange,,,
Nature Communications,,2041-1733,12/04/2010,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/naturecommunications,,,
Nature Genetics,,1546-1718,01/04/1992,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/ng,,,
Nature Geosciences,,1752-0908,02/12/2007,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/ngeo,,,
Nature Immunology,,1529-2916,01/07/2000,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/ni,,,
Nature Materials,,1476-4660 ,01/09/2002,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nmat,,,
Nature Medicine,,1546-170X,01/01/1995,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nm,,,
Nature Methods,,1548-7105,29/09/2004,,,,,,,,full text,,nature,,Nature.com,host,www.nature.com/nmeth,,,
