SO Name,NESLI2 OUP Master Law Collection 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_master_law collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Master Law Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Master Law Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
American Law and Economics Review,1465-7252 ,1465-7260 ,01/01/1999,,,,,,aler,,full text,,Oxford University Press ,,Oxford Journals,host,http://aler.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Arbitration Law Reports and Review,2044-8651 ,2044-9887 ,01/01/2001,,,,,,alrr,,full text,,Oxford University Press ,,Oxford Journals,host,http://alrr.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Capital Markets Law Journal,1750-7219 ,1750-7227 ,01/07/2006,,,,,,cmlj,,full text,,Oxford University Press ,,Oxford Journals,host,http://cmlj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Chinese Journal of International Law,1540-1650 ,1746-9937 ,01/01/2002,,,,,,chinesejil,,full text,,Oxford University Press ,,Oxford Journals,host,http://chinesejil.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Journal of International Law,0938-5428 ,1464-3596 ,01/01/1990,,,,,,ejil,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://ejil.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Human Rights Law Review,1461-7781,1744-1021 ,01/03/2001,,,,,,hrlr,,full text,,Oxford University Press ,,Oxford Journals,host,http://www.oxfordjournals.org/our_journals/hrlr/about.html,Highwire,administrative,,Oxford Journals,administrative,
Industrial Law Journal,0305-9332 ,1464-3669 ,01/01/1972,,,,,,ilj,,full text,,Oxford University Press ,,Oxford Journals,host,http://ilj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
International Journal of Constitutional Law,1474-2640 ,1474-2659 ,01/01/2003,,,,,,icon,,full text,,Oxford University Press ,,Oxford Journals,host,http://icon.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
International Journal of Law and Information Technology,0967-0769 ,1464-3693 ,01/01/1993,,,,,,ijlit,,full text,,Oxford University Press ,,Oxford Journals,host,http://ijlit.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"International Journal of Law, Policy and the Family",1360-9939 ,1464-3707 ,01/04/1987,,,,,,lawfam,,full text,,Oxford University Press ,,Oxford Journals,host,http://lawfam.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
International Journal of Refugee Law,0953-8186 ,1464-3715 ,01/01/1989,,,,,,ijrl,,full text,,Oxford University Press ,,Oxford Journals,host,http://ijrl.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
International Journal of Transitional Justice,1752-7716 ,1752-7724 ,01/03/2007,,,,,,ijtj,,full text,,Oxford University Press ,,Oxford Journals,host,http://ijtj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of Church and State,0021-969X ,2040-4867 ,01/11/1959,,,,,,jcs,,full text,,Oxford University Press ,,Oxford Journals,host,http://jcs.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of Competition Law and Economics,1744-6414 ,1744-6422 ,01/03/2005,,,,,,jcle,,full text,,Oxford University Press ,,Oxford Journals,host,http://jcle.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of Conflict & Security Law,1467-7954,1467-7962 ,01/06/1996,,,,,,jconsl,,full text,,Oxford University Press ,,Oxford Journals,host,http://www.oxfordjournals.org/our_journals/jconsl/about.html,Highwire,administrative,,Oxford Journals,administrative,
Journal of Environmental Law,0952-8873 ,1464-374X ,01/01/1989,,,,,,jel,,full text,,Oxford University Press ,,Oxford Journals,host,http://jel.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of European Competition Law & Practice,2041-7764 ,2041-7772 ,01/01/2010,,,,,,jeclap,,full text,,Oxford University Press ,,Oxford Journals,host,http://jeclap.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of Intellectual Property Law & Practice,1747-1532 ,1747-1540 ,01/11/2005,,,,,,jiplp,,full text,,Oxford University Press ,,Oxford Journals,host,http://jiplp.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of International Criminal Justice,1478-1387 ,1478-1395 ,01/04/2003,,,,,,jicj,,full text,,Oxford University Press ,,Oxford Journals,host,http://jicj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Journal of International Economic Law,1369-3034 ,1464-3758 ,01/03/1998,,,,,,jiel,,full text,,Oxford University Press ,,Oxford Journals,host,http://jiel.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"Law, Probability and Risk",1470-8396 ,1470-840X ,01/07/2002,,,,,,lpr,,full text,,Oxford University Press ,,Oxford Journals,host,http://lpr.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Medical Law Review,0967-0742 ,1464-3790 ,01/01/1993,,,,,,medlaw,,full text,,Oxford University Press ,,Oxford Journals,host,http://medlaw.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Oxford Journal of Legal Studies,0143-6503 ,1464-3820 ,01/03/1981,,,,,,ojls,,full text,,Oxford University Press ,,Oxford Journals,host,http://ojls.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Policing,1752-4512 ,1752-4520 ,01/01/2007,,,,,,policing,,full text,,Oxford University Press ,,Oxford Journals,host,http://policing.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"Reports of Patent, Design and Trade Mark Cases",0080-1364 ,1756-1000 ,01/01/1977,,,,,,rpc,,full text,,Oxford University Press ,,Oxford Journals,host,http://rpc.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Statute Law Review,0144-3593 ,1464-3863 ,01/01/1980,,,,,,slr,,full text,,Oxford University Press ,,Oxford Journals,host,http://slr.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
The British Journal of Criminology,0007-0955 ,1464-3529 ,01/07/1960,,,,,,bjc,,full text,,Oxford University Press ,,Oxford Journals,host,http://bjc.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"The Journal of Law, Economics, and Organization",8756-6222 ,1465-7341 ,01/01/1985,,,,,,jleo,,full text,,Oxford University Press ,,Oxford Journals,host,http://jleo.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
The Journal of World Energy Law & Business,1754-9957 ,1754-9965 ,01/05/2008,,,,,,jwelb,,full text,,Oxford University Press ,,Oxford Journals,host,http://jwelb.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
