SO Name,NESLI2 OUP Journals Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Biochimica et Biophysica Sinica,1672-9145 ,1745-7270 ,01/01/2004,,,,,,abbs,,full text,,Oxford University Press ,,Oxford Journals,host,http://abbs.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Adaptation,1755-0637 ,1755-0645 ,01/03/2008,,,,,,adaptation,,full text,,Oxford University Press ,,Oxford Journals,host,http://adaptation.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
African Affairs,0001-9909 ,1468-2621 ,01/10/1901,,,,,,afraf,,full text,,Oxford University Press ,,Oxford Journals,host,http://afraf.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Age and Ageing,0002-0729 ,1468-2834 ,01/02/1972,,,,,,ageing,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://ageing.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Alcohol and Alcoholism,0735-0414 ,1464-3502 ,01/06/1963,,,,,,alcalc,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://alcalc.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
American Journal of Agricultural Economics,0002-9092 ,1467-8276 ,01/06/1919,,,,,,ajae,,full text,,Oxford University Press ,,Oxford Journals,host,http://ajae.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
American Journal of Epidemiology,0002-9262 ,1476-6256 ,01/01/1921,,,,,,aje,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://aje.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
American Law and Economics Review,1465-7252 ,1465-7260 ,01/01/1999,,,,,,aler,,full text,,Oxford University Press ,,Oxford Journals,host,http://aler.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
American Literary History,0896-7148 ,1468-4365 ,01/01/1989,,,,,,alh,,full text,,Oxford University Press ,,Oxford Journals,host,http://alh.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Analysis,0003-2638 ,1467-8284 ,01/11/1933,,,,,,analysis,,full text,,Oxford University Press ,,Oxford Journals,host,http://analysis.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
