SO Name,NESLI2 OUP Humanities Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_humanities collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Humanities Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Humanities Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Adaptation,1755-0637 ,1755-0645 ,01/03/2008,,,,,,adaptation,,full text,,Oxford University Press ,,Oxford Journals,host,http://adaptation.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
American Literary History,0896-7148 ,1468-4365 ,01/01/1989,,,,,,alh,,full text,,Oxford University Press ,,Oxford Journals,host,http://alh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Analysis,0003-2638 ,1467-8284 ,01/11/1933,,,,,,analysis,,full text,,Oxford University Press ,,Oxford Journals,host,http://analysis.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Applied Linguistics,0142-6001 ,1477-450X ,01/01/1980,,,,,,applij,,full text,,Oxford University Press ,,Oxford Journals,host,http://applij.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Christian Bioethics,1380-3603 ,1744-4195 ,01/03/1995,,,,,,cb,,full text,,Oxford University Press ,,Oxford Journals,host,http://cb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Classical Receptions Journal,1759-5134 ,1759-5142 ,01/01/2009,,,,,,crj,,full text,,Oxford University Press ,,Oxford Journals,host,http://crj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Contemporary Women's Writing,1754-1484 ,1754-1476 ,01/12/2007,,,,,,cww,,full text,,Oxford University Press ,,Oxford Journals,host,http://cww.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Early Music,0306-1078 ,1741-7260 ,01/01/1973,,,,,,em,,full text,,Oxford University Press ,,Oxford Journals,host,http://em.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
ELT Journal,0951-0893 ,1477-4526 ,01/10/1946,,,,,,eltj,,full text,,Oxford University Press ,,Oxford Journals,host,http://eltj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
English,0013-8215 ,1756-1124 ,01/01/1936,,,,,,english,,full text,,Oxford University Press ,,Oxford Journals,host,http://english.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Enterprise and Society,1467-2227 ,1467-2235 ,01/03/2000,,,,,,es,,full text,,Oxford University Press ,,Oxford Journals,host,http://es.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Environmental History,1084-5453 ,1930-8892 ,01/01/1996,,,,,,envhis,,full text,,Oxford University Press ,,Oxford Journals,host,http://envhis.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Essays in Criticism,0014-0856 ,1471-6852 ,01/01/1951,,,,,,eic,,full text,,Oxford University Press ,,Oxford Journals,host,http://eic.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Review of Economic History,1361-4916,1474-0044 ,01/04/1997,,,,,,ereh,,full text,,Oxford University Press ,,Oxford Journals,host,http://ereh.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Forum for Modern Language Studies,0015-8518 ,1471-6860 ,01/01/1965,,,,,,fmls,,full text,,Oxford University Press ,,Oxford Journals,host,http://fmls.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
French History,0269-1191 ,1477-4542 ,01/01/1987,,,,,,fh,,full text,,Oxford University Press ,,Oxford Journals,host,http://fh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
French Studies,0016-1128 ,1468-2931 ,01/01/1947,,,,,,fs,,full text,,Oxford University Press ,,Oxford Journals,host,http://fs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
German History,0266-3554 ,1477-089X ,01/01/1984,,,,,,gh,,full text,,Oxford University Press ,,Oxford Journals,host,http://gh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
History Workshop Journal,1363-3554 ,1477-4569 ,01/01/1976,,,,,,hwj,,full text,,Oxford University Press ,,Oxford Journals,host,http://hwj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Holocaust and Genocide Studies,8756-6583 ,1476-7937 ,01/01/1986,,,,,,hgs,,full text,,Oxford University Press ,,Oxford Journals,host,http://hgs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Interdisciplinary Studies in Literature and Environment,1076-0962 ,1759-1090 ,01/04/1993,,,,,,isle,,full text,,Oxford University Press ,,Oxford Journals,host,http://isle.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal of Lexicography,0950-3846 ,1477-4577 ,01/01/1988,,,,,,ijl,,full text,,Oxford University Press ,,Oxford Journals,host,http://ijl.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of American History,0021-8723 ,Unknown,01/06/1914,,,,,,jah,,full text,,Oxford University Press ,,Oxford Journals,host,http://jah.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Church and State,0021-969X ,2040-4867 ,01/11/1959,,,,,,jcs,,full text,,Oxford University Press ,,Oxford Journals,host,http://jcs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Design History,0952-4649 ,1741-7279 ,01/01/1988,,,,,,jdh,,full text,,Oxford University Press ,,Oxford Journals,host,http://jdh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Islamic Studies,0955-2340 ,1471-6917 ,01/01/1990,,,,,,jis,,full text,,Oxford University Press ,,Oxford Journals,host,http://jis.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Semantics,0167-5133 ,1477-4593 ,01/01/1982,,,,,,jos,,full text,,Oxford University Press ,,Oxford Journals,host,http://jos.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Semitic Studies,0022-4480 ,1477-8556 ,01/01/1956,,,,,,jss,,full text,,Oxford University Press ,,Oxford Journals,host,http://jss.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Social History,0022-4529 ,1527-1897 ,01/09/1967,,,,,,jsh,,full text,,Oxford University Press ,,Oxford Journals,host,http://jsh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the American Academy of Religion,0002-7189 ,1477-4585 ,01/01/1933,,,,,,jaar,,full text,,Oxford University Press ,,Oxford Journals,host,http://jaar.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the History of Collections,0954-6650 ,1477-8564 ,01/01/1989,,,,,,jhc,,full text,,Oxford University Press ,,Oxford Journals,host,http://jhc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Literary and Linguistic Computing,0268-1145 ,1477-4615 ,01/01/1986,,,,,,llc,,full text,,Oxford University Press ,,Oxford Journals,host,http://llc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Literary Imagination,1523-9012 ,1752-6566 ,01/01/1999,,,,,,litimag,,full text,,Oxford University Press ,,Oxford Journals,host,http://litimag.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Literature and Theology,0269-1205 ,1477-4623 ,01/03/1987,,,,,,litthe,,full text,,Oxford University Press ,,Oxford Journals,host,http://litthe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Mind,0026-4423 ,1460-2113 ,1-Jan-1876,,,,,,mind,,full text,,Oxford University Press ,,Oxford Journals,host,http://mind.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Modern Judaism,0276-1114 ,1086-3273 ,01/01/1981,,,,,,mj,,full text,,Oxford University Press ,,Oxford Journals,host,http://mj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Music and Letters,0027-4224 ,1477-4631 ,01/01/1920,,,,,,ml,,full text,,Oxford University Press ,,Oxford Journals,host,http://ml.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Notes and Queries,0029-3970 ,1471-6941 ,3-Nov-1849,,,,,,nq,,full text,,Oxford University Press ,,Oxford Journals,host,http://nq.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
OAH Magazine of History,0882-228X ,Unknown,01/05/1985,,,,,,maghis,,full text,,Oxford University Press ,,Oxford Journals,host,http://maghis.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Oxford Art Journal,0142-6540 ,1741-7287 ,01/01/1978,,,,,,oaj,,full text,,Oxford University Press ,,Oxford Journals,host,http://oaj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Past & Present,0031-2746 ,1477-464X ,01/02/1952,,,,,,past,,full text,,Oxford University Press ,,Oxford Journals,host,http://past.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Philosophia Mathematica,0031-8019 ,1744-6406 ,01/06/1964,,,,,,philmat,,full text,,Oxford University Press ,,Oxford Journals,host,http://philmat.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Public Health Ethics,1754-9973 ,1754-9981 ,01/04/2008,,,,,,phe,,full text,,Oxford University Press ,,Oxford Journals,host,http://phe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Screen,0036-9543 ,1460-2474 ,01/01/1969,,,,,,screen,,full text,,Oxford University Press ,,Oxford Journals,host,http://screen.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social History of Medicine,0951-631X ,1477-4666 ,01/01/1988,,,,,,shm,,full text,,Oxford University Press ,,Oxford Journals,host,http://shm.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The British Journal for the Philosophy of Science,0007-0882 ,1464-3537 ,01/05/1950,,,,,,bjps,,full text,,Oxford University Press ,,Oxford Journals,host,http://bjps.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The British Journal of Aesthetics,0007-0904 ,1468-2842 ,01/01/1960,,,,,,bjaesthetics,,full text,,Oxford University Press ,,Oxford Journals,host,http://bjaesthetics.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Cambridge Quarterly,0008-199X ,1471-6836 ,01/01/1965,,,,,,camqtly,,full text,,Oxford University Press ,,Oxford Journals,host,http://camqtly.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The English Historical Review,0013-8266 ,1477-4534 ,01/01/1886,,,,,,ehr,,full text,,Oxford University Press ,,Oxford Journals,host,http://ehr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of Hindu Studies,1756-4255 ,1756-4263 ,16/10/2008,,,,,,jhs,,full text,,Oxford University Press ,,Oxford Journals,host,http://jhs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of Theological Studies,0022-5185 ,1477-4607 ,01/10/1899,,,,,,jts,,full text,,Oxford University Press ,,Oxford Journals,host,http://jts.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Leo Baeck Institute Yearbook,0075-8744 ,1758-437X ,01/01/1956,,,,,,leobaeck,,full text,,Oxford University Press ,,Oxford Journals,host,http://leobaeck.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Library,0024-2160 ,1744-8581 ,01/01/1889,,,,,,library,,full text,,Oxford University Press ,,Oxford Journals,host,http://library.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Musical Quarterly,0027-4631 ,1741-8399 ,01/01/1915,,,,,,mq,,full text,,Oxford University Press ,,Oxford Journals,host,http://mq.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Opera Quarterly,0736-0053 ,1476-2870 ,01/01/1983,,,,,,oq,,full text,,Oxford University Press ,,Oxford Journals,host,http://oq.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Oral History Review,0094-0798 ,1533-8592 ,01/01/1973,,,,,,ohr,,full text,,Oxford University Press ,,Oxford Journals,host,http://ohr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Review of English Studies,0034-6551 ,1471-6968 ,01/01/1925,,,,,,res,,full text,,Oxford University Press ,,Oxford Journals,host,http://res.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Year's Work in Critical and Cultural Theory,1077-4254 ,1471-681X ,01/01/1991,,,,,,ywcct,,full text,,Oxford University Press ,,Oxford Journals,host,http://ywcct.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Year's Work in English Studies,0084-4144 ,1471-6801 ,01/01/1921,,,,,,ywes,,full text,,Oxford University Press ,,Oxford Journals,host,http://ywes.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Twentieth Century British History,0955-2359 ,1477-4674 ,01/01/1990,,,,,,tcbh,,full text,,Oxford University Press ,,Oxford Journals,host,http://tcbh.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of the History of Medicine and Allied Sciences,0022-5045,1468-4373,01/01/1946,,,,,,jhmas,,full text,,Oxford University Press ,,Oxford Journals,host,http://jhmas.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
The Journal of Medicine and Philosophy,0360-5310,1744-5019,01/01/1976,,,,,,jmp,,full text,,Oxford University Press ,,Oxford Journals,host,http://jmp.oxfordjournals.org,Highwire,administrative,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
,,,,,,,,,,,,,,,,,,,,,Oxford journals,administrative,
