SO Name,NESLI2 OUPLife Sciences Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_lifesciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Life sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Life sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Acta Biochimica et Biophysica Sinica,1672-9145 ,1745-7270 ,01/01/2004,,,,,,abbs,,full text,,Oxford University Press ,,Oxford journals,host,http://abbs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Annals of Botany,0305-7364 ,1095-8290 ,01/08/1887,,,,,,aob,,full text,"free back issues after 12 months back to Jan 01, 1993",Oxford University Press ,,Oxford journals,host,http://aob.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Behavioral Ecology,1045-2249 ,1465-7279 ,01/01/1990,,,,,,beheco,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://beheco.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Bioinformatics,1367-4803 ,1460-2059 ,01/01/1985,,,,,,bioinformatics,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://bioinformatics.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Briefings in Bioinformatics,1467-5463 ,1477-4054 ,01/01/2000,,,,,,bib,,full text,free back issues after 24 months ,Oxford University Press ,,Oxford journals,host,http://bib.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Briefings in Functional Genomics,2041-2649 ,2041-2657 ,01/01/2002,,,,,,bfg,,full text,free back issues after 24 months ,Oxford University Press ,,Oxford journals,host,http://bfg.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Carcinogenesis,0143-3334 ,1460-2180 ,01/01/1980,,,,,,carcin,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://carcin.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Cerebral Cortex,1047-3211 ,1460-2199 ,01/01/1991,,,,,,cercor,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://cercor.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Chemical Senses,0379-864X ,1464-3553 ,01/01/1974,,,,,,chemse,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://chemse.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Environmental History,1084-5453 ,1930-8892 ,01/01/1996,,,,,,envhis,,full text,,Oxford University Press ,,Oxford journals,host,http://envhis.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Review of Agricultural Economics,0165-1587 ,1464-3618 ,01/01/1973,,,,,,erae,,full text,,Oxford University Press ,,Oxford journals,host,http://erae.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Forestry,0015-752X ,1464-3626 ,01/01/1927,,,,,,forestry,,full text,,Oxford University Press ,,Oxford journals,host,http://forestry.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Glycobiology,0959-6658 ,1460-2423 ,01/09/1990,,,,,,glycob,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://glycob.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
