SO Name,NESLI2 OUP Mathematics and Physical Sciences Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_mathematics and physical sciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Oxford University Press ,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Mathematics and physical sciences  collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Mathematics and physical sciences  collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Biometrika,0006-3444 ,1464-3510 ,01/01/1996,,,,,,biomet,,full text,,Oxford University Press ,,Oxford journals,host,http://biomet.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the London Mathematical Society,0024-6107 ,1469-7750 ,01/01/1996,,,,,,jlms,,full text,,Oxford University Press ,,Oxford journals,host,http://jlms.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Quarterly Journal of Mathematics,0033-5606 ,1464-3847 ,01/01/1996,,,,,,qjmath,,full text,,Oxford University Press ,,Oxford journals,host,http://qjmath.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Quarterly Journal of Mechanics and Applied Mathematics,0033-5614 ,1464-3855 ,01/01/1996,,,,,,qjmam,,full text,,Oxford University Press ,,Oxford journals,host,http://qjmam.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Electron Microscopy,0022-0744 ,1477-9986 ,01/01/1996,,,,,,jmicro,,full text,,Oxford University Press ,,Oxford journals,host,http://jmicro.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Computer Journal,0010-4620 ,1460-2067 ,01/01/1996,,,,,,comjnl,,full text,,Oxford University Press ,,Oxford journals,host,http://comjnl.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Petrology,0022-3530 ,1460-2415 ,01/01/1996,,,,,,petrology,,full text,,Oxford University Press ,,Oxford journals,host,http://petrology.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Philosophia Mathematica,0031-8019 ,1744-6406 ,01/01/1996,,,,,,philmat,,full text,,Oxford University Press ,,Oxford journals,host,http://philmat.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Bulletin of the London Mathematical Society,0024-6093 ,1469-2120 ,01/01/1996,,,,,,blms,,full text,,Oxford University Press ,,Oxford journals,host,http://blms.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
IMA Journal of Numerical Analysis,0272-4979 ,1464-3642 ,01/01/1996,,,,,,imajna,,full text,,Oxford University Press ,,Oxford journals,host,http://imajna.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Radiation Protection Dosimetry,0144-8420 ,1742-3406 ,01/01/1996,,,,,,rpd,,full text,,Oxford University Press ,,Oxford journals,host,http://rpd.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Teaching Mathematics and its Applications,0268-3679 ,1471-6976 ,01/01/1996,,,,,,teamat,,full text,,Oxford University Press ,,Oxford journals,host,http://teamat.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Molecular Biology and Evolution,0737-4038 ,1537-1719 ,01/01/1996,,,,,,mbe,,full text,,Oxford University Press ,,Oxford journals,host,http://mbe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
IMA Journal of Mathematical Control and Information,0265-0754 ,1471-6887 ,01/01/1996,,,,,,imamci,,full text,,Oxford University Press ,,Oxford journals,host,http://imamci.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Mathematical Medicine and Biology,1477-8599 ,1477-8602 ,01/01/1996,,,,,,imammb,,full text,,Oxford University Press ,,Oxford journals,host,http://imammb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Bioinformatics,1367-4803 ,1460-2059 ,01/01/1996,,,,,,bioinformatics,,full text,,Oxford University Press ,,Oxford journals,host,http://bioinformatics.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
IMA Journal of Management Mathematics,1471-678X ,1471-6798 ,01/01/1996,,,,,,imaman,,full text,,Oxford University Press ,,Oxford journals,host,http://imaman.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Logic and Computation,0955-792X ,1465-363X ,01/01/1996,,,,,,logcom,,full text,,Oxford University Press ,,Oxford journals,host,http://logcom.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Mathematics Research Notices,1073-7928 ,1687-0247 ,01/01/1996,,,,,,imrn,,full text,,Oxford University Press ,,Oxford journals,host,http://imrn.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Logic Journal of IGPL,1367-0751 ,1368-9894 ,01/01/1996,,,,,,jigpal,,full text,,Oxford University Press ,,Oxford journals,host,http://jigpal.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
ITNOW,1746-5702 ,1746-5710 ,01/01/1996,,,,,,itnow,,full text,,Oxford University Press ,,Oxford journals,host,http://itnow.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Briefings in Bioinformatics,1467-5463 ,1477-4054 ,01/01/2000,,,,,,bib,,full text,,Oxford University Press ,,Oxford journals,host,http://bib.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Biostatistics,1465-4644 ,1468-4357 ,01/03/2000,,,,,,biostatistics,,full text,,Oxford University Press ,,Oxford journals,host,http://biostatistics.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
"Law, Probability and Risk",1470-8396 ,1470-840X ,01/07/2002,,,,,,lpr,,full text,,Oxford University Press ,,Oxford journals,host,http://lpr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Applied Mathematics Research eXpress,1687-1200 ,1687-1197 ,01/01/2003,,,,,,amrx,,full text,,Oxford University Press ,,Oxford journals,host,http://amrx.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Acta Biochimica et Biophysica Sinica,1672-9145 ,1745-7270 ,01/01/2004,,,,,,abbs,,full text,,Oxford University Press ,,Oxford journals,host,http://abbs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the ICRU,1473-6691 ,1742-3422 ,01/06/2004,,,,,,jicru,,full text,,Oxford University Press ,,Oxford journals,host,http://jicru.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Mathematics Research Papers,1687-3017 ,1687-3009 ,01/01/2005,,,01/01/2008,,,imrp,,full text,,Oxford University Press ,,Oxford journals,host,http://imrp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal of Low-Carbon Technologies,1748-1317 ,Unknown,01/01/2006,,,,,,ijlct,,full text,,Oxford University Press ,,Oxford journals,host,http://ijlct.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Proceedings of the London Mathematical Society,0024-6115 ,1460-244X ,01/01/1996,,,,,,plms,,full text,,Oxford University Press ,,Oxford journals,host,http://plms.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
