SO Name,NESLI2 OUP Medicine Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_medicine collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Medicine collection,,,,,,,,,,,,,,,,,,,,,,
Package Name,Medicine collection,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Age and Ageing,0002-0729 ,1468-2834 ,01/02/1972,,,,,,ageing,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://ageing.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Alcohol and Alcoholism,0735-0414 ,1464-3502 ,01/06/1963,,,,,,alcalc,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://alcalc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
American Journal of Epidemiology,0002-9262 ,1476-6256 ,01/01/1921,,,,,,aje,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://aje.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Annals of Oncology,0923-7534 ,1569-8041 ,01/01/1990,,,,,,annonc,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://annonc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Archives of Clinical Neuropsychology,0887-6177 ,1873-5843 ,01/01/1986,,,,,,acn,,full text,,Oxford University Press ,,Oxford journals,host,http://acn.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
BJA: British Journal of Anaesthesia,0007-0912 ,1471-6771 ,01/07/1923,,,,,,bja,,full text,"free back issues after 12 months back to Jan 01, 1995",Oxford University Press ,,Oxford journals,host,http://bja.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Brain,0006-8950 ,1460-2156 ,01/04/1878,,,,,,brain,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://brain.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
British Medical Bulletin,0007-1420 ,1471-8391 ,01/03/1943,,,,,,bmb,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://bmb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Carcinogenesis,0143-3334 ,1460-2180 ,01/01/1980,,,,,,carcin,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://carcin.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Cardiovascular Research,0008-6363 ,Unknown,01/01/1967,,,,,,cardiovascres,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://cardiovascres.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Cerebral Cortex,1047-3211 ,1460-2199 ,01/01/1991,,,,,,cercor,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://cercor.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Chemical Senses,0379-864X ,1464-3553 ,01/01/1974,,,,,,chemse,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://chemse.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Children & Schools,1532-8759,1545-682X  ,01/01/1997,,,,,,cs,,full text,,Oxford University Press ,,Oxford journals,host,http://cs.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Christian Bioethics,1380-3603 ,1744-4195 ,01/03/1995,,,,,,cb,,full text,,Oxford University Press ,,Oxford journals,host,http://cb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Clinical Infectious Diseases,1058-4838 ,1537-6591 ,15/02/2011,,,,,,cid,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://cid.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
"Continuing Education in Anaesthesia, Critical Care & Pain",1743-1816 ,1743-1824 ,01/02/2001,,,,,,ceaccp,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://ceaccp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Europace,1099-5129 ,1532-2092 ,01/01/1999,,,,,,europace,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://europace.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Heart Journal,0195-668X ,1522-9645 ,02/01/1980,,,,,,eurheartj,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://eurheartj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Journal of Cardio-Thoracic Surgery,1010-7940,1873-734X ,01/02/1995,,,,,,ejcts,,full text,,Oxford University Press ,,Oxford journals,host,http://ejcts.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
European Journal of Echocardiography,1525-2167 ,1532-2114 ,01/03/2000,,,01/12/2011,,,ejechocard,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://ejechocard.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Journal of Heart Failure,1388-9842 ,1879-0844 ,01/03/1999,,,,,,eurjhf,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://eurjhf.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Family Practice,0263-2136 ,1460-2229 ,01/03/1984,,,,,,fampra,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://fampra.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Glycobiology,0959-6658 ,1460-2423 ,01/09/1990,,,,,,glycob,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://glycob.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Health & Social Work,0360-7283,1545-6854  ,01/02/1997,,,,,,hsw,,full text,,Oxford University Press ,,Oxford journals,host,http://hsw.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Health Education Research,0268-1153 ,1465-3648 ,01/03/1986,,,,,,her,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://her.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
