SO Name,NESLI2 OUP Social Sciences Collection 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_socieal sciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
African Affairs,0001-9909 ,1468-2621 ,01/10/1901,,,,,,afraf,,full text,,Oxford University Press ,,Oxford journals,host,http://afraf.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
American Journal of Agricultural Economics,0002-9092 ,1467-8276 ,01/06/1919,,,,,,ajae,,full text,,Oxford University Press ,,Oxford journals,host,http://ajae.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Applied Economic Perspectives and Policy,2040-5790 ,2040-5804 ,01/01/1988,,,,,,aepp,,full text,,Oxford University Press ,,Oxford journals,host,http://aepp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Cambridge Journal of Economics,0309-166X ,1464-3545 ,01/03/1977,,,,,,cje,,full text,,Oxford University Press ,,Oxford journals,host,http://cje.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
"Cambridge Journal of Regions, Economy and Society",1752-1378 ,1752-1386 ,01/04/2008,,,,,,cjres,,full text,,Oxford University Press ,,Oxford journals,host,http://cjres.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
CESifo Economic Studies,1610-241X ,1612-7501 ,01/01/2003,,,,,,cesifo,,full text,,Oxford University Press ,,Oxford journals,host,http://cesifo.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Children & Schools,1532-8759,1545-682X  ,01/01/1997,,,,,,cs,,full text,,Oxford University Press ,,Oxford journals,host,http://cs.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Community Development Journal,0010-3802 ,1468-2656 ,01/01/1966,,,,,,cdj,,full text,,Oxford University Press ,,Oxford journals,host,http://cdj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Contributions to Political Economy,0277-5921 ,1464-3588 ,01/03/1982,,,,,,cpe,,full text,,Oxford University Press ,,Oxford journals,host,http://cpe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Enterprise and Society,1467-2227 ,1467-2235 ,01/03/2000,,,,,,es,,full text,,Oxford University Press ,,Oxford journals,host,http://es.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Review of Agricultural Economics,0165-1587 ,1464-3618 ,01/01/1973,,,,,,erae,,full text,,Oxford University Press ,,Oxford journals,host,http://erae.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
European Sociological Review,0266-7215 ,1468-2672 ,01/05/1985,,,,,,esr,,full text,,Oxford University Press ,,Oxford journals,host,http://esr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Health & Social Work,0360-7283,1545-6854  ,01/02/1997,,,,,,hsw,,full text,,Oxford University Press ,,Oxford journals,host,http://hsw.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Industrial and Corporate Change,0960-6491 ,1464-3650 ,01/01/1992,,,,,,icc,,full text,,Oxford University Press ,,Oxford journals,host,http://icc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal of Public Opinion Research,0954-2892 ,1471-6909 ,01/03/1989,,,,,,ijpor,,full text,,Oxford University Press ,,Oxford journals,host,http://ijpor.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal of Transitional Justice,1752-7716 ,1752-7724 ,01/03/2007,,,,,,ijtj,,full text,,Oxford University Press ,,Oxford journals,host,http://ijtj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Relations of the Asia-Pacific,1470-482X ,1470-4838 ,01/01/2001,,,,,,irap,,full text,,Oxford University Press ,,Oxford journals,host,http://irap.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of African Economies,0963-8024 ,1464-3723 ,01/03/1992,,,,,,jae,,full text,,Oxford University Press ,,Oxford journals,host,http://jae.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Church and State,0021-969X ,2040-4867 ,01/11/1959,,,,,,jcs,,full text,,Oxford University Press ,,Oxford journals,host,http://jcs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Economic Geography,1468-2702 ,1468-2710 ,01/01/2001,,,,,,joeg,,full text,,Oxford University Press ,,Oxford journals,host,http://joeg.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Financial Econometrics,1479-8409 ,1479-8417 ,01/03/2003,,,,,,jfec,,full text,,Oxford University Press ,,Oxford journals,host,http://jfec.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Human Rights Practice,1757-9619 ,1757-9627 ,01/03/2009,,,,,,jhrp,,full text,,Oxford University Press ,,Oxford journals,host,http://jhrp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Public Administration Research and Theory,1053-1858 ,1477-9803 ,01/01/1991,,,,,,jpart,,full text,,Oxford University Press ,,Oxford journals,host,http://jpart.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Refugee Studies,0951-6328 ,1471-6925 ,01/01/1988,,,,,,jrs,,full text,,Oxford University Press ,,Oxford journals,host,http://jrs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
