SO Name,JC RSC Archives ,,,,,,,,,,,,,,,,,,,
SO Identifier,rsc_archives_jc,,,,,,,,,,,,,,,,,,,
Provider,RSC,,,,,,,,,,,,,,,,,,,
Package Identifier,Archives ,,,,,,,,,,,,,,,,,,,
Package Name,Archives ,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,JISC Collections,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Analyst ,0003-2654,1364-5528,1876,1,1,1996, , ,1364-5528, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-5528,RSC Publishing,administrative,
Analytical Communications ,1359-7337,1364-5536,1996,1,1,1996,,,1364-5536, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-5536,RSC Publishing,administrative,
Analytical Proceedings ,0144-557X,,1980,17,1,1993,30,12,0144-557X, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0144-557X,RSC Publishing,administrative,
Analytical Proceedings including Analytical Communications ,0144-557X,,1994,31,1,1995,32,12,0144-557X, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0144-557X,RSC Publishing,administrative,
Annual Reports on Analytical Atomic Spectroscopy ,0306-1353,,1971,10,1,1984,14, ,0306-1353, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0306-1353,RSC Publishing,administrative,
Annual Reports on the Progress of Chemistry ,0365-6217,,1904,1,1,1966,63, ,0365-6217, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0365-6217,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. A: General Physical and Inorganic Chemistry ",0069-3022,,1967,64,1,1972,69, ,0069-3022, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0069-3022,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. A ",0260-1818,1460-4760,1979,76,1, , , ,1460-4760, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4760,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. A: Physical and Inorganic Chemistry",0308-6003,,1973,70,1,1978,75, ,0308-6003, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0308-6003,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. B ",0069-3030,1460-4779,1967,64,1, , , ,1460-4779, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4779,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. C ",0260-1826,1460-4787,1979,76,1, , , ,1460-4787, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4787,RSC Publishing,administrative,
Chemical Communications (London),0009-241X,,1965, ,1,1968, ,24,, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0009-241X,RSC Publishing,administrative,
Chemical Communications (Cambridge),1359-7345,1364-548X,1996, ,1, , , ,1364-548X, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-548X,RSC Publishing,administrative,
Chemical Society Reviews ,0306-0012,1460-4744,1972,1,1, , , ,1460-4744, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4744,RSC Publishing,administrative,
Contemporary Organic Synthesis ,1350-4894,,1994,1,1,1996,,,1350-4894, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1350-4894,RSC Publishing,administrative,
CrystEngComm,n/a,1466-8033,1999,1,1, , , ,1466-8033, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1466-8033,RSC Publishing,administrative,
Dalton Transactions,1477-9226,1477-9234,2003, ,1, , , ,1477-9234,,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1477-9234,RSC Publishing,administrative,
Discussions of the Faraday Society ,0366-9033,,1947,2,1,1971,52, ,0366-9033, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0366-9033,RSC Publishing,administrative,
Faraday Discussions ,1359-6640,,1991,92,1, , , ,1359-6640, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1359-6640,RSC Publishing,administrative,
Faraday Discussions of the Chemical Society ,0301-7249,,1972,53,1,1991,91, ,0301-7249, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0301-7249,RSC Publishing,administrative,
Faraday Special Discussions of the Chemical Society ,0370-9302,,1972,2, ,1972, , ,0370-9302, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0370-9302,RSC Publishing,administrative,
Faraday Symposia of the Chemical Society ,0301-5696,,1972,6,1,1984,19, ,0301-5696, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0301-5696,RSC Publishing,administrative,
Geochemical Transactions,,1467-4866,2000,1,1,1996,,,1467-4866, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1467-4866,RSC Publishing,administrative,
Green Chemistry,1463-9262,1463-9270,1999,1,1, , , ,1463-9270, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1463-9270,RSC Publishing,administrative,
Journal and Proceedings of the Institute of Chemistry of Great Britain and Ireland ,0368-3958,,1920,44,1,1943,67, ,0368-3958, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0368-3958,RSC Publishing,administrative,
Journal and Proceedings of the Royal Institute of Chemistry ,0368-3958,,1949,73,1,1949,73, ,0368-3958, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0368-3958,RSC Publishing,administrative,
Journal and Proceedings of the Royal Institute of Chemistry of Great Britain and Ireland ,0368-3958,,1944,68,1,1948,72, ,0368-3958, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=0368-3958,RSC Publishing,administrative,
Journal of Analytical Atomic Spectrometry ,0267-9477,1364-5544,1986,1,1, , , ,1364-5544, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-5544,RSC Publishing,administrative,
Journal of Environmental Monitoring,1464-0325,1464-0333,1999,1,1, , , ,1464-0333, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1464-0333,RSC Publishing,administrative,
