SO Name,NESLI2 RSC  Free Titles 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,rsc_free titles_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,RSC,,,,,,,,,,,,,,,,,,,
Package Identifier,Free Titles,,,,,,,,,,,,,,,,,,,
Package Name,Free Titles,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Catalysis Science & Technology,2044-4753,2044-4761,2011,,,,,,,,fulltext,,,,RSC Publishing,host,http://pubs.rsc.org/en/Journals/JournalIssues/CY,RSC Publishing,administrative,
