SO Name,NESLI2 RSC Gold 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,rsc_gold_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,RSC,,,,,,,,,,,,,,,,,,,
Package Identifier,Gold,,,,,,,,,,,,,,,,,,,
Package Name,Gold,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Analyst ,0003-2654,1364-5528,1997,,, , , ,1364-5528, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-5528,RSC Publishing,administrative,
Analytical Methods,1759-9660,1759-9679,2009,1,1, , , ,1759-9679, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1759-9679,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. A ",0260-1818,1460-4760,1997,,, , , ,1460-4760, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4760,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. B ",0069-3030,1460-4779,1997,,, , , ,1460-4779, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4779,RSC Publishing,administrative,
"Annual Reports on the Progress of Chemistry, Sect. C ",0260-1826,1460-4787,1997,,, , , ,1460-4787, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4787,RSC Publishing,administrative,
Chemical Science,2041-6520,2041-6539,2010,1,1, , , ,2041-6539, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=2041-6539,RSC Publishing,administrative,
Chemical Society Reviews ,0306-0012,1460-4744,1997,,, , , ,1460-4744, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1460-4744,RSC Publishing,administrative,
Chemistry World,1473-7604,1749-5318,2004,1,1, , , ,1749-5318, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1749-5318,RSC Publishing,administrative,
CrystEngComm,,1466-8033,1999,1,1, , , ,1466-8033, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1466-8033,RSC Publishing,administrative,
Dalton Transactions,1477-9226,1477-9234,2003, ,1, , , ,1477-9234, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1477-9234,RSC Publishing,administrative,
