SO Name,NESLI2 SAGE Premier 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,SAGE_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,SAGE,,,,,,,,,,,,,,,,,,,
Package Identifier,SAGE Premier,,,,,,,,,,,,,,,,,,,
Package Name,SAGE Premier,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Interpretation,0020-9643,2159-340X,1999-01,,,,,,int,,full text,,SAGE,,SAGE Journals,host,http://int.SAGEpub.com/,Highwire,administrative,
Journalism & Mass Communication Quarterly,1077-6990,2161-430X,1999-01,,,,,,jmq,,full text,,SAGE,,SAGE Journals,host,http://jmq.SAGEpub.com/,Highwire,administrative,
Journalism & Mass Communication Educator,1077-6958,2161-4326,1999-01,,,,,,jmc,,full text,,SAGE,,SAGE Journals,host,http://jmc.SAGEpub.com/,Highwire,administrative,
Journal of Literacy Research,1086-296X,1554-8430,1999-01,,,,,,jlr,,full text,,SAGE,,SAGE Journals,host,http://jlr.SAGEpub.com/,Highwire,administrative,
Proceedings of the Human Factors and Ergonomics Society Annual Meeting ,,1541-9312,1999-01,,,,,,pro,,full text,,SAGE,,SAGE Journals,host,http://pro.SAGEpub.com/,Highwire,administrative,
Psychology of Women Quarterly,0361-6843,1471-6402,1999-01,,,,,,pwq,,full text,,SAGE,,SAGE Journals,host,http://pwq.SAGEpub.com/,Highwire,administrative,
Teaching Public Administration,0144-7394,2047-8720,1999-01,,,2007-09,27,2,tpa,,full text,,SAGE,,SAGE Journals,host,http://tpa.SAGEpub.com/,Highwire,administrative,
Prosthetics & Orthotics International,0309-3646,1746-1553,1999-01,,,,,,poi,,full text,,SAGE,,SAGE Journals,host,http://poi.SAGEpub.com/,Highwire,administrative,
Gifted Child Today,1076-2175,,1999-01,,,,,,gct,,full text,,SAGE,,SAGE Journals,host,http://gct.SAGEpub.com/,Highwire,administrative,
"Journal of Accounting, Auditing & Finance",0148-558X,,1999-01,,,,,,jaf,,full text,,SAGE,,SAGE Journals,host,http://jaf.SAGEpub.com/,Highwire,administrative,
